GEOID,xsite,renter.hh,num_filings,num_filings_hist_avg,filing_rate,filing_rate_hist_avg,quartile_current,quartile_historical
12057000101,TAMPA,1154,43,67.5,4.108918408059187,5.849220103986135,3,4
12057000102,TAMPA,1731,56,102.5,3.567433036454488,5.921432697862508,3,4
12057000201,TAMPA,1261,103,96.5,9.007141984374364,7.652656621728787,4,4
12057000202,TAMPA,1279,62,137,5.345471466803985,10.711493354182956,4,4
12057000300,TAMPA,1794,96,139.75,5.900837636027443,7.7898550724637685,4,4
12057000401,TAMPA,373,11,33.75,3.2519864250828188,9.048257372654156,3,4
12057000402,TAMPA,582,16,22.5,3.031529988268394,3.865979381443299,3,3
12057000500,TAMPA,284,6,12.75,2.329688098378792,4.48943661971831,2,3
12057000601,TAMPA,1411,158,113,12.34795232110243,8.008504606661942,4,4
12057000602,TAMPA,566,12,23.75,2.3379202118006255,4.196113074204947,2,3
12057000700,TAMPA,1431,95,198.75,7.320636488965738,13.88888888888889,4,4
12057000800,TAMPA,627,37,58,6.507273401851236,9.250398724082935,4,4
12057000901,TAMPA,680,52,60.5,8.432557312955394,8.897058823529411,4,4
12057000902,TAMPA,1881,176,159.25,10.317838907439798,8.466241360978204,4,4
12057001001,TAMPA,1153,35,79.25,3.3473691381736335,6.873373807458803,3,4
12057001002,TAMPA,874,40,58.5,5.046769030812945,6.693363844393593,3,4
12057001100,TAMPA,323,13,15.5,4.438188059450208,4.798761609907121,3,3
12057001200,TAMPA,601,23,32.5,4.220056200391091,5.40765391014975,3,3
12057001300,TAMPA,1260,19,24.5,1.6628302882079318,1.9444444444444444,1,1
12057001400,TAMPA,650,26,28,4.410876132930514,4.3076923076923075,3,3
12057001500,TAMPA,165,3,6.75,2.0049436967865972,4.090909090909091,2,3
12057001600,TAMPA,371,7,10.75,2.0806019494955255,2.8975741239892185,2,2
12057001700,TAMPA,523,14,28.25,2.9518291520567495,5.401529636711281,2,3
12057001800,TAMPA,987,57,89.75,6.368286210158036,9.093211752786221,4,4
12057001900,TAMPA,522,26,42.75,5.492470280469031,8.189655172413794,4,4
12057002000,TAMPA,499,18,41.75,3.977744007652768,8.366733466933868,3,4
12057002100,TAMPA,317,10,22.25,3.478608937642361,7.018927444794953,3,4
12057002200,TAMPA,273,7,11.75,2.8274847005964836,4.304029304029304,2,3
12057002300,TAMPA,670,9,16.5,1.4812643729990533,2.462686567164179,1,2
12057002400,TAMPA,988,39,33,4.352838289076165,3.340080971659919,3,2
12057002500,TAMPA,2135,58,94.75,2.995676998945782,4.437939110070258,3,3
12057002600,TAMPA,460,27,33.25,6.472481282017602,7.228260869565218,4,4
12057002700,TAMPA,1099,41,41.25,4.11387446428915,3.7534121929026387,3,3
12057002800,TAMPA,294,2,7.75,0.7501490021990669,2.6360544217687076,1,2
12057002900,TAMPA,315,13,16.75,4.55090394667434,5.317460317460317,3,3
12057003000,TAMPA,727,32,54.5,4.8537839151917614,7.49656121045392,3,4
12057003100,TAMPA,542,26,39.25,5.289796100377922,7.24169741697417,4,4
12057003200,TAMPA,614,30,35.75,5.387878012537273,5.822475570032573,4,4
12057003300,TAMPA,655,23,41.75,3.8721431701298403,6.374045801526718,3,4
12057003400,TAMPA,703,31,47.5,4.862630160769769,6.756756756756757,3,4
12057003500,TAMPA,506,37,49,8.063360519685228,9.683794466403162,4,4
12057003600,TAMPA,928,58,76.75,6.891993957703928,8.270474137931034,4,4
12057003700,TAMPA,191,10,29.5,5.773398079751981,15.44502617801047,4,4
12057003800,TAMPA,235,11,18,5.161663559812303,7.659574468085107,3,4
12057003900,TAMPA,976,4,32.75,0.45193403001337235,3.355532786885246,1,2
12057004000,TAMPA,398,8,9,2.2165206698143285,2.2613065326633164,2,1
12057004100,TAMPA,638,15,20.25,2.5925996079137033,3.1739811912225706,2,2
