State,Total Funding,Total LSC Funding,% reliance
Alabama,"$12,290,353","$9,212,680",75%
Alaska,"$7,041,046","$2,198,932",31%
American Samoa,"$430,001","$387,448",90%
Arizona,"$26,204,536","$16,959,737",65%
Arkansas,"$9,510,606","$5,347,669",56%
California,"$268,144,904","$58,752,453",22%
Colorado,"$24,831,633","$7,390,981",30%
Connecticut,"$5,075,166","$4,203,639",83%
Delaware,"$4,403,142","$1,335,287",30%
District of Columbia,"$6,558,983","$1,585,126",24%
Florida,"$78,511,952","$36,450,790",46%
Georgia,"$39,682,117","$16,986,375",43%
Guam,"$613,075","$466,914",76%
Hawaii,"$8,183,370","$2,230,173",27%
Idaho,"$5,261,948","$2,485,149",47%
Illinois,"$73,922,106","$18,310,416",25%
Indiana,"$24,388,151","$9,518,964",39%
Iowa,"$13,381,292","$4,874,286",36%
Kansas,"$10,202,231","$4,050,445",40%
Kentucky,"$24,175,665","$9,657,640",40%
Louisiana,"$29,774,892","$13,091,258",44%
Maine,"$13,134,344","$2,359,186",18%
Maryland,"$46,383,395","$6,500,550",14%
Massachusetts,"$53,660,854","$7,878,921",15%
Michigan,"$45,123,234","$16,769,924",37%
Micronesia,"$2,861,189","$2,189,788",77%
Minnesota,"$32,463,784","$6,983,131",22%
Mississippi,"$8,828,977","$6,674,819",76%
Missouri,"$42,430,247","$9,676,837",23%
Montana,"$10,464,621","$2,281,695",22%
Nebraska,"$12,753,848","$2,344,149",18%
Nevada,"$7,596,125","$4,823,753",64%
New Hampshire,"$2,388,522","$1,144,189",48%
New Jersey,"$66,512,536","$10,046,969",15%
New Mexico,"$13,653,715","$6,186,064",45%
New York,"$213,998,567","$30,394,437",14%
North Carolina,"$43,198,418","$19,743,101",46%
North Dakota,"$3,259,369","$1,604,023",49%
Ohio,"$79,941,715","$18,537,478",23%
Oklahoma,"$31,556,661","$9,506,961",30%
Oregon,"$14,296,024","$6,107,417",43%
Pennsylvania,"$59,033,821","$18,490,812",31%
Puerto Rico,"$23,371,700","$17,027,184",73%
Rhode Island,"$7,810,161","$1,342,310",17%
South Carolina,"$14,052,121","$8,605,498",61%
South Dakota,"$4,342,247","$2,737,007",63%
Tennessee,"$30,680,542","$11,477,320",37%
Texas,"$125,551,004","$50,518,346",40%
Utah,"$6,993,091","$3,553,475",51%
Vermont,"$2,224,912","$1,075,394",48%
Virgin Islands,"$3,349,416","$350,593",10%
Virginia,"$33,647,885","$10,388,205",31%
Washington,"$54,506,619","$9,714,797",18%
West Virginia,"$11,846,186","$3,484,178",29%
Wisconsin,"$23,041,211","$7,869,477",34%
Wyoming,"$1,763,515","$954,149",54%
