"fips","name","numDays"
"1","Alabama",60
"2","Alaska",101
"4","Arizona",222
"6","California",352
"8","Colorado",119
"9","Connecticut",363
"10","Delaware",107
"11","District of Columbia",364
"12","Florida",183
"15","Hawaii",362
"16","Idaho",47
"17","Illinois",358
"18","Indiana",150
"19","Iowa",71
"20","Kansas",284
"21","Kentucky",163
"22","Louisiana",92
"23","Maine",139
"24","Maryland",363
"25","Massachusetts",293
"26","Michigan",119
"27","Minnesota",363
"28","Mississippi",60
"30","Montana",57
"31","Nebraska",68
"32","Nevada",289
"33","New Hampshire",107
"34","New Jersey",363
"35","New Mexico",355
"36","New York",363
"37","North Carolina",274
"38","North Dakota",28
"41","Oregon",360
"42","Pennsylvania",167
"99","Puerto Rico",353
"44","Rhode Island",108
"45","South Carolina",60
"47","Tennessee",81
"48","Texas",71
"49","Utah",46
"50","Vermont",362
"51","Virginia",116
"53","Washington",361
"54","West Virginia",57
"55","Wisconsin",61
"5","Arkansas",0
"13","Georgia",0
"29","Missouri",0
"39","Ohio",0
"40","Oklahoma",0
"46","South Dakota",0
"56","Wyoming",0
