month_of_payment,total_assistance,pct
01/01/2021,14439455.62,0.06812006816784243
02/01/2021,30957242.57,0.14604494308192166
03/01/2021,125559394.08,0.5923432786479655
04/01/2021,276077860.772,1.3024343292673768
05/01/2021,451597968.81,2.1304739755691967
06/01/2021,821917544.2860926,3.8775062314374345
07/01/2021,919028978.9460061,4.335642446749288
08/01/2021,1346425191.6199846,6.35194139237596
09/01/2021,1738685511.0719526,8.202482050127412
10/01/2021,1810410675.9914992,8.540855133729108
11/01/2021,1715101362.313242,8.091220665806338
12/01/2021,1428392138.932005,6.738631457801346
01/01/2022,1235935177.5116358,5.8306899344954026
02/01/2022,1071845474.048392,5.056574754552267
03/01/2022,1454085337.17931,6.859842565901024
04/01/2022,1061958283.3195434,5.00993060645123
05/01/2022,1032730727.04477,4.872045690411922
06/01/2022,1046499816.77,4.937003217577465
07/01/2022,683729020.261,3.225583338751343
08/01/2022,687327145.4277,3.24255797672125
09/01/2022,596175594.728,2.8125383131912953
10/01/2022,412969163.38925,1.9482374060091172
11/01/2022,374020701.114,1.764492812373068
12/01/2022,336562738.9,1.58777985264681
01/01/2023,224255664.7,1.0579561701224866
02/01/2023,161559363.335,0.76217796107838475
03/01/2023,138818190.1265522,0.65489342695574885
