month_of_payment,geoid,pct_county_all_spending_monthly,county_total_dataset_spending,county_total_unique_assisted_addresses,name
08/01/2021,01001,1.6336588219696893,3713891.43,642,"Autauga County, AL"
09/01/2021,01001,3.0466310415215845,3713891.43,642,"Autauga County, AL"
10/01/2021,01001,7.073012792651904,3713891.43,642,"Autauga County, AL"
11/01/2021,01001,3.009890009600245,3713891.43,642,"Autauga County, AL"
12/01/2021,01001,2.458384440342084,3713891.43,642,"Autauga County, AL"
01/01/2022,01001,3.567582967373629,3713891.43,642,"Autauga County, AL"
02/01/2022,01001,3.596362459908564,3713891.43,642,"Autauga County, AL"
03/01/2022,01001,4.960736908437222,3713891.43,642,"Autauga County, AL"
04/01/2022,01001,9.554504386784297,3713891.43,642,"Autauga County, AL"
05/01/2022,01001,4.987821843762781,3713891.43,642,"Autauga County, AL"
06/01/2022,01001,6.349489564488583,3713891.43,642,"Autauga County, AL"
07/01/2022,01001,4.17699469132551,3713891.43,642,"Autauga County, AL"
08/01/2022,01001,5.539229618760703,3713891.43,642,"Autauga County, AL"
09/01/2022,01001,6.0170099967792,3713891.43,642,"Autauga County, AL"
10/01/2022,01001,9.162365702266396,3713891.43,642,"Autauga County, AL"
11/01/2022,01001,5.171956754813089,3713891.43,642,"Autauga County, AL"
12/01/2022,01001,6.655276188865535,3713891.43,642,"Autauga County, AL"
01/01/2023,01001,5.5642641344299015,3713891.43,642,"Autauga County, AL"
02/01/2023,01001,4.4004293124560405,3713891.43,642,"Autauga County, AL"
03/01/2023,01001,3.0743983634630383,3713891.43,642,"Autauga County, AL"
10/01/2021,01005,2.952864600399292,2247685.08,629,"Barbour County, AL"
11/01/2021,01005,4.334273644599136,2247685.08,629,"Barbour County, AL"
02/01/2022,01005,3.798502377592345,2247685.08,629,"Barbour County, AL"
03/01/2022,01005,4.417778332675522,2247685.08,629,"Barbour County, AL"
05/01/2022,01005,2.9300849795075825,2247685.08,629,"Barbour County, AL"
06/01/2022,01005,5.583841208334668,2247685.08,629,"Barbour County, AL"
07/01/2022,01005,11.353651450172904,2247685.08,629,"Barbour County, AL"
08/01/2022,01005,13.35036492268496,2247685.08,629,"Barbour County, AL"
09/01/2022,01005,10.76994059096727,2247685.08,629,"Barbour County, AL"
10/01/2022,01005,9.507343340646392,2247685.08,629,"Barbour County, AL"
11/01/2022,01005,8.247418639444632,2247685.08,629,"Barbour County, AL"
12/01/2022,01005,6.58395470021166,2247685.08,629,"Barbour County, AL"
01/01/2023,01005,6.900481440362674,2247685.08,629,"Barbour County, AL"
02/01/2023,01005,6.173896817929036,2247685.08,629,"Barbour County, AL"
03/01/2023,01005,3.0956029544719312,2247685.08,629,"Barbour County, AL"
03/01/2022,01007,10.970804983408744,711308.44,213,"Bibb County, AL"
06/01/2022,01007,8.466364978875228,711308.44,213,"Bibb County, AL"
07/01/2022,01007,11.227541765696936,711308.44,213,"Bibb County, AL"
08/01/2022,01007,11.091787875898012,711308.44,213,"Bibb County, AL"
09/01/2022,01007,8.723259018929456,711308.44,213,"Bibb County, AL"
10/01/2022,01007,12.693516632985425,711308.44,213,"Bibb County, AL"
11/01/2022,01007,6.112479066463983,711308.44,213,"Bibb County, AL"
12/01/2022,01007,15.974733619385209,711308.44,213,"Bibb County, AL"
01/01/2023,01007,14.73951205835701,711308.44,213,"Bibb County, AL"
10/01/2021,01009,15.41062461264017,950442.52,292,"Blount County, AL"
01/01/2022,01009,9.058884108541603,950442.52,292,"Blount County, AL"
04/01/2022,01009,16.36232023722425,950442.52,292,"Blount County, AL"
05/01/2022,01009,6.887201246590085,950442.52,292,"Blount County, AL"
07/01/2022,01009,7.360517694476548,950442.52,292,"Blount County, AL"
08/01/2022,01009,4.289564119683239,950442.52,292,"Blount County, AL"
09/01/2022,01009,14.442953412759575,950442.52,292,"Blount County, AL"
12/01/2022,01009,10.722143213719884,950442.52,292,"Blount County, AL"
01/01/2023,01009,15.465791354364637,950442.52,292,"Blount County, AL"
02/01/2022,01011,6.313551513028005,785777.06,182,"Bullock County, AL"
04/01/2022,01011,9.448302335946575,785777.06,182,"Bullock County, AL"
06/01/2022,01011,10.099255186770096,785777.06,182,"Bullock County, AL"
07/01/2022,01011,6.924939005696237,785777.06,182,"Bullock County, AL"
08/01/2022,01011,12.274350274334816,785777.06,182,"Bullock County, AL"
09/01/2022,01011,12.205246583589032,785777.06,182,"Bullock County, AL"
10/01/2022,01011,13.411730658085814,785777.06,182,"Bullock County, AL"
11/01/2022,01011,4.780522700358023,785777.06,182,"Bullock County, AL"
12/01/2022,01011,8.87268271025108,785777.06,182,"Bullock County, AL"
03/01/2023,01011,15.669419031940318,785777.06,182,"Bullock County, AL"
08/01/2021,01013,3.069503058401096,1357889.7,388,"Butler County, AL"
09/01/2021,01013,5.000302228115032,1357889.7,388,"Butler County, AL"
10/01/2021,01013,7.117801922961149,1357889.7,388,"Butler County, AL"
11/01/2021,01013,3.040882200296063,1357889.7,388,"Butler County, AL"
12/01/2021,01013,1.8433012046431176,1357889.7,388,"Butler County, AL"
01/01/2022,01013,4.787158832752311,1357889.7,388,"Butler County, AL"
02/01/2022,01013,4.209588517903265,1357889.7,388,"Butler County, AL"
03/01/2022,01013,5.175552738137326,1357889.7,388,"Butler County, AL"
05/01/2022,01013,2.9234676795186747,1357889.7,388,"Butler County, AL"
06/01/2022,01013,6.845155230120225,1357889.7,388,"Butler County, AL"
07/01/2022,01013,9.62066260288276,1357889.7,388,"Butler County, AL"
08/01/2022,01013,9.810317774510407,1357889.7,388,"Butler County, AL"
09/01/2022,01013,4.621634034110937,1357889.7,388,"Butler County, AL"
10/01/2022,01013,5.147075508681379,1357889.7,388,"Butler County, AL"
11/01/2022,01013,8.300678840671495,1357889.7,388,"Butler County, AL"
12/01/2022,01013,7.222440333429425,1357889.7,388,"Butler County, AL"
01/01/2023,01013,5.230234976621892,1357889.7,388,"Butler County, AL"
02/01/2023,01013,4.002896252710307,1357889.7,388,"Butler County, AL"
03/01/2023,01013,2.031346063533137,1357889.7,388,"Butler County, AL"
08/01/2021,01015,2.572426249060561,5813316.28,1123,"Calhoun County, AL"
09/01/2021,01015,2.0204167257154944,5813316.28,1123,"Calhoun County, AL"
10/01/2021,01015,6.143469668602084,5813316.28,1123,"Calhoun County, AL"
11/01/2021,01015,5.337462912177086,5813316.28,1123,"Calhoun County, AL"
12/01/2021,01015,2.7456233451092174,5813316.28,1123,"Calhoun County, AL"
01/01/2022,01015,4.131125802655407,5813316.28,1123,"Calhoun County, AL"
02/01/2022,01015,5.218097179785025,5813316.28,1123,"Calhoun County, AL"
03/01/2022,01015,4.710308497498255,5813316.28,1123,"Calhoun County, AL"
04/01/2022,01015,3.5436999740140704,5813316.28,1123,"Calhoun County, AL"
05/01/2022,01015,3.07661873691196,5813316.28,1123,"Calhoun County, AL"
06/01/2022,01015,3.89382754979548,5813316.28,1123,"Calhoun County, AL"
07/01/2022,01015,4.5178368316597535,5813316.28,1123,"Calhoun County, AL"
08/01/2022,01015,7.210396691823999,5813316.28,1123,"Calhoun County, AL"
09/01/2022,01015,6.609433817995812,5813316.28,1123,"Calhoun County, AL"
10/01/2022,01015,6.934901106662365,5813316.28,1123,"Calhoun County, AL"
11/01/2022,01015,8.721968100887532,5813316.28,1123,"Calhoun County, AL"
12/01/2022,01015,8.380446725401242,5813316.28,1123,"Calhoun County, AL"
01/01/2023,01015,5.832171327116515,5813316.28,1123,"Calhoun County, AL"
02/01/2023,01015,4.930612432172173,5813316.28,1123,"Calhoun County, AL"
03/01/2023,01015,3.469156324955975,5813316.28,1123,"Calhoun County, AL"
08/01/2021,01017,1.0813903048547409,3752208.4,802,"Chambers County, AL"
09/01/2021,01017,1.348684198488415,3752208.4,802,"Chambers County, AL"
10/01/2021,01017,4.946543320116648,3752208.4,802,"Chambers County, AL"
11/01/2021,01017,4.6238057877145415,3752208.4,802,"Chambers County, AL"
12/01/2021,01017,1.816062715334604,3752208.4,802,"Chambers County, AL"
01/01/2022,01017,4.21242737221558,3752208.4,802,"Chambers County, AL"
02/01/2022,01017,5.185207644603259,3752208.4,802,"Chambers County, AL"
03/01/2022,01017,7.400378883207373,3752208.4,802,"Chambers County, AL"
04/01/2022,01017,6.455172569378452,3752208.4,802,"Chambers County, AL"
05/01/2022,01017,7.271345490135577,3752208.4,802,"Chambers County, AL"
06/01/2022,01017,3.686185178217743,3752208.4,802,"Chambers County, AL"
07/01/2022,01017,4.764571177128453,3752208.4,802,"Chambers County, AL"
08/01/2022,01017,7.504354508036816,3752208.4,802,"Chambers County, AL"
09/01/2022,01017,7.951543227875171,3752208.4,802,"Chambers County, AL"
10/01/2022,01017,6.697449057142507,3752208.4,802,"Chambers County, AL"
11/01/2022,01017,5.601341285775566,3752208.4,802,"Chambers County, AL"
12/01/2022,01017,6.141896515310783,3752208.4,802,"Chambers County, AL"
01/01/2023,01017,5.810483225430181,3752208.4,802,"Chambers County, AL"
02/01/2023,01017,2.198177872434538,3752208.4,802,"Chambers County, AL"
03/01/2023,01017,5.302979666599051,3752208.4,802,"Chambers County, AL"
05/01/2022,01019,29.13360588882817,408484.05,176,"Cherokee County, AL"
07/01/2022,01019,9.789746021613094,408484.05,176,"Cherokee County, AL"
09/01/2022,01019,5.617846115397166,408484.05,176,"Cherokee County, AL"
11/01/2022,01019,11.545928128084324,408484.05,176,"Cherokee County, AL"
12/01/2022,01019,15.020473184811843,408484.05,176,"Cherokee County, AL"
01/01/2023,01019,23.171398533644865,408484.05,176,"Cherokee County, AL"
03/01/2023,01019,5.721002127620537,408484.05,176,"Cherokee County, AL"
09/01/2021,01021,2.9326801475824182,1900160.65,619,"Chilton County, AL"
10/01/2021,01021,9.3375883471593,1900160.65,619,"Chilton County, AL"
11/01/2021,01021,5.784898937518545,1900160.65,619,"Chilton County, AL"
01/01/2022,01021,4.582451864675049,1900160.65,619,"Chilton County, AL"
02/01/2022,01021,4.953804336057545,1900160.65,619,"Chilton County, AL"
03/01/2022,01021,4.374816993634445,1900160.65,619,"Chilton County, AL"
04/01/2022,01021,10.136962365561644,1900160.65,619,"Chilton County, AL"
05/01/2022,01021,5.147642442091319,1900160.65,619,"Chilton County, AL"
06/01/2022,01021,6.386740879151754,1900160.65,619,"Chilton County, AL"
07/01/2022,01021,3.4128140405125853,1900160.65,619,"Chilton County, AL"
08/01/2022,01021,4.393935051764205,1900160.65,619,"Chilton County, AL"
09/01/2022,01021,3.4051275390223763,1900160.65,619,"Chilton County, AL"
10/01/2022,01021,12.525345461045662,1900160.65,619,"Chilton County, AL"
11/01/2022,01021,8.620809879698417,1900160.65,619,"Chilton County, AL"
12/01/2022,01021,5.071187805314869,1900160.65,619,"Chilton County, AL"
01/01/2023,01021,2.7156179317440827,1900160.65,619,"Chilton County, AL"
02/01/2023,01021,4.515005680501695,1900160.65,619,"Chilton County, AL"
03/01/2023,01021,1.7025702969640857,1900160.65,619,"Chilton County, AL"
06/01/2022,01023,29.92671606140693,473458.16,178,"Choctaw County, AL"
07/01/2022,01023,18.549558071299035,473458.16,178,"Choctaw County, AL"
12/01/2022,01023,26.13904440021083,473458.16,178,"Choctaw County, AL"
01/01/2023,01023,25.384681467083205,473458.16,178,"Choctaw County, AL"
10/01/2021,01025,11.333000400948004,1884276.69,460,"Clarke County, AL"
02/01/2022,01025,6.067802274481736,1884276.69,460,"Clarke County, AL"
03/01/2022,01025,4.038939826009146,1884276.69,460,"Clarke County, AL"
04/01/2022,01025,2.3299050272129955,1884276.69,460,"Clarke County, AL"
05/01/2022,01025,2.9901759355020543,1884276.69,460,"Clarke County, AL"
06/01/2022,01025,9.56896474206776,1884276.69,460,"Clarke County, AL"
07/01/2022,01025,5.1358486771768765,1884276.69,460,"Clarke County, AL"
08/01/2022,01025,10.966541650795527,1884276.69,460,"Clarke County, AL"
09/01/2022,01025,5.38869312610311,1884276.69,460,"Clarke County, AL"
10/01/2022,01025,5.6555619617569,1884276.69,460,"Clarke County, AL"
11/01/2022,01025,4.988089846684642,1884276.69,460,"Clarke County, AL"
12/01/2022,01025,5.517999923214394,1884276.69,460,"Clarke County, AL"
01/01/2023,01025,10.662633196252154,1884276.69,460,"Clarke County, AL"
02/01/2023,01025,11.011766982223255,1884276.69,460,"Clarke County, AL"
03/01/2023,01025,4.344076429571446,1884276.69,460,"Clarke County, AL"
04/01/2022,01027,6.991289507170959,695404.62,228,"Clay County, AL"
05/01/2022,01027,23.45564457653228,695404.62,228,"Clay County, AL"
07/01/2022,01027,8.208559603227982,695404.62,228,"Clay County, AL"
08/01/2022,01027,4.052313429722017,695404.62,228,"Clay County, AL"
09/01/2022,01027,11.54248388307197,695404.62,228,"Clay County, AL"
10/01/2022,01027,15.868075984938647,695404.62,228,"Clay County, AL"
11/01/2022,01027,16.561551820082737,695404.62,228,"Clay County, AL"
12/01/2022,01027,5.973923798192165,695404.62,228,"Clay County, AL"
02/01/2023,01027,7.34615739706124,695404.62,228,"Clay County, AL"
02/01/2022,01029,79.78818783473226,181499.72,82,"Cleburne County, AL"
09/01/2022,01029,20.211812165267737,181499.72,82,"Cleburne County, AL"
10/01/2021,01031,5.17212883966028,2404162.85,529,"Coffee County, AL"
11/01/2021,01031,4.029243642327219,2404162.85,529,"Coffee County, AL"
01/01/2022,01031,3.225324073732283,2404162.85,529,"Coffee County, AL"
02/01/2022,01031,6.868977695669895,2404162.85,529,"Coffee County, AL"
03/01/2022,01031,6.166372034107249,2404162.85,529,"Coffee County, AL"
04/01/2022,01031,3.068389173842315,2404162.85,529,"Coffee County, AL"
05/01/2022,01031,3.934482426755671,2404162.85,529,"Coffee County, AL"
06/01/2022,01031,5.445151446583192,2404162.85,529,"Coffee County, AL"
07/01/2022,01031,5.517592210664506,2404162.85,529,"Coffee County, AL"
08/01/2022,01031,7.695475622458938,2404162.85,529,"Coffee County, AL"
09/01/2022,01031,8.251813618110312,2404162.85,529,"Coffee County, AL"
10/01/2022,01031,6.605186996585058,2404162.85,529,"Coffee County, AL"
11/01/2022,01031,8.225896210064532,2404162.85,529,"Coffee County, AL"
12/01/2022,01031,9.736259021073538,2404162.85,529,"Coffee County, AL"
01/01/2023,01031,7.067840160485682,2404162.85,529,"Coffee County, AL"
02/01/2023,01031,3.949158736249706,2404162.85,529,"Coffee County, AL"
03/01/2023,01031,5.040708091629626,2404162.85,529,"Coffee County, AL"
08/01/2021,01033,2.851119200411236,2202006.67,505,"Colbert County, AL"
10/01/2021,01033,4.287081786334844,2202006.67,505,"Colbert County, AL"
11/01/2021,01033,8.675649778133467,2202006.67,505,"Colbert County, AL"
12/01/2021,01033,4.64156289028965,2202006.67,505,"Colbert County, AL"
01/01/2022,01033,2.7232627560127534,2202006.67,505,"Colbert County, AL"
02/01/2022,01033,5.055231710529746,2202006.67,505,"Colbert County, AL"
03/01/2022,01033,3.634950199382962,2202006.67,505,"Colbert County, AL"
04/01/2022,01033,4.15860082445424,2202006.67,505,"Colbert County, AL"
05/01/2022,01033,3.284338378308359,2202006.67,505,"Colbert County, AL"
06/01/2022,01033,7.515892148998067,2202006.67,505,"Colbert County, AL"
07/01/2022,01033,3.688863585932109,2202006.67,505,"Colbert County, AL"
08/01/2022,01033,6.64857740110137,2202006.67,505,"Colbert County, AL"
09/01/2022,01033,6.489167081691975,2202006.67,505,"Colbert County, AL"
10/01/2022,01033,4.909774117289769,2202006.67,505,"Colbert County, AL"
11/01/2022,01033,5.926481059538409,2202006.67,505,"Colbert County, AL"
12/01/2022,01033,11.336463605426076,2202006.67,505,"Colbert County, AL"
01/01/2023,01033,4.861508643169231,2202006.67,505,"Colbert County, AL"
02/01/2023,01033,5.35684029040561,2202006.67,505,"Colbert County, AL"
03/01/2023,01033,3.954634542590121,2202006.67,505,"Colbert County, AL"
11/01/2021,01035,11.69725407441906,730274.77,194,"Conecuh County, AL"
01/01/2022,01035,9.160513308940171,730274.77,194,"Conecuh County, AL"
02/01/2022,01035,7.680522124982837,730274.77,194,"Conecuh County, AL"
04/01/2022,01035,7.353135531619638,730274.77,194,"Conecuh County, AL"
05/01/2022,01035,5.420926467952221,730274.77,194,"Conecuh County, AL"
