"","cbsaname","before","after","sub_shift","direction","row","city","states","state","metro","metro_fact","highlighted"
"1","El Paso, TX (Metro)",0.0727020967559815,0.107903538475271,-0.0352014417192894,"more suburban",1,"El Paso"," TX ","TX","El Paso, TX","El Paso, TX","false"
"2","Tallahassee, FL (Metro)",0.0912155321587166,0.123858749309216,-0.0326432171504991,"more suburban",2,"Tallahassee"," FL ","FL","Tallahassee, FL","Tallahassee, FL","false"
"3","Montgomery, AL (Metro)",0.10498887386802,0.129697227019242,-0.0247083531512221,"more suburban",3,"Montgomery"," AL ","AL","Montgomery, AL","Montgomery, AL","false"
"4","Durham-Chapel Hill, NC (Metro)",0.106875895304335,0.192447990044571,-0.0855720947402362,"more suburban",4,"Durham"," NC ","NC","Durham, NC","Durham, NC","false"
"5","Milwaukee-Waukesha-West Allis, WI (Metro)",0.150483096290881,0.170448911547302,-0.0199658152564213,"more suburban",5,"Milwaukee"," WI ","WI","Milwaukee, WI","Milwaukee, WI","false"
"6","San Antonio-New Braunfels, TX (Metro)",0.153302914436211,0.238416684104622,-0.0851137696684108,"more suburban",6,"San Antonio"," TX ","TX","San Antonio, TX","San Antonio, TX","false"
"7","Evansville, IN-KY (Metro)",0.16499818039328,0.192233435350626,-0.0272352549573462,"more suburban",7,"Evansville"," IN-KY ","IN","Evansville, IN","Evansville, IN","false"
"8","Tucson, AZ (Metro)",0.166936687163594,0.17259533618708,-0.0056586490234859,"more suburban",8,"Tucson"," AZ ","AZ","Tucson, AZ","Tucson, AZ","false"
"9","Winston-Salem, NC (Metro)",0.171537569315427,0.206665694249229,-0.0351281249338023,"more suburban",9,"Winston"," NC ","NC","Winston, NC","Winston, NC","false"
"10","Macon, GA (Metro)",0.17201897069196,0.19645050218089,-0.0244315314889299,"more suburban",10,"Macon"," GA ","GA","Macon, GA","Macon, GA","false"
"11","Cedar Rapids, IA (Metro)",0.19349728786993,0.229565582001184,-0.0360682941312543,"more suburban",11,"Cedar Rapids"," IA ","IA","Cedar Rapids, IA","Cedar Rapids, IA","false"
"12","Greensboro-High Point, NC (Metro)",0.222248808630052,0.234648243146399,-0.0123994345163467,"more suburban",12,"Greensboro"," NC ","NC","Greensboro, NC","Greensboro, NC","false"
"13","Toledo, OH (Metro)",0.227261814402622,0.223231819422626,0.00402999497999665,"more urban",13,"Toledo"," OH ","OH","Toledo, OH","Toledo, OH","false"
"14","Erie, PA (Metro)",0.247198935736229,0.313459007853877,-0.0662600721176478,"more suburban",14,"Erie"," PA ","PA","Erie, PA","Erie, PA","false"
"15","Bridgeport-Stamford-Norwalk, CT (Metro)",0.247774698754537,0.281641950491992,-0.0338672517374543,"more suburban",15,"Bridgeport"," CT ","CT","Bridgeport, CT","Bridgeport, CT","false"
"16","Huntsville, AL (Metro)",0.252101858905297,0.275475013113628,-0.0233731542083311,"more suburban",16,"Huntsville"," AL ","AL","Huntsville, AL","Huntsville, AL","false"
