type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
County,35001,Other,01/2020,1013,589.2,2023-04-08
County,35001,Other,02/2020,881,447.866666666667,2023-04-08
County,35001,Other,03/2020,694,480.066666666667,2023-04-08
County,35001,Other,04/2020,297,489.533333333333,2023-04-08
County,35001,Other,05/2020,268,530.388888888889,2023-04-08
County,35001,Other,06/2020,300,610.933333333333,2023-04-08
County,35001,Other,07/2020,294,573.466666666667,2023-04-08
County,35001,Other,08/2020,410,578.611111111111,2023-04-08
County,35001,Other,09/2020,385,602.6,2023-04-08
County,35001,Other,10/2020,415,558,2023-04-08
County,35001,Other,11/2020,424,591.266666666667,2023-04-08
County,35001,Other,12/2020,215,543,2023-04-08
County,35001,Other,01/2021,542,691.266666666667,2023-04-08
County,35001,Other,02/2021,421,563.933333333333,2023-04-08
County,35001,Other,03/2021,408,456,2023-04-08
County,35001,Other,04/2021,339,448.466666666667,2023-04-08
County,35001,Other,05/2021,460,497,2023-04-08
County,35001,Other,06/2021,490,572.866666666667,2023-04-08
County,35001,Other,07/2021,489,534.133333333333,2023-04-08
County,35001,Other,08/2021,455,656.666666666667,2023-04-08
County,35001,Other,09/2021,416,558.933333333333,2023-04-08
County,35001,Other,10/2021,474,590.388888888889,2023-04-08
County,35001,Other,11/2021,415,552.266666666667,2023-04-08
County,35001,Other,12/2021,403,504.066666666667,2023-04-08
County,35001,Other,01/2022,540,545.166666666667,2023-04-08
County,35001,Other,02/2022,560,519.466666666667,2023-04-08
County,35001,Other,03/2022,597,427.2,2023-04-08
County,35001,Other,04/2022,524,410.533333333333,2023-04-08
County,35001,Other,05/2022,623,557.733333333333,2023-04-08
County,35001,Other,06/2022,612,526.866666666667,2023-04-08
County,35001,Other,07/2022,671,575.888888888889,2023-04-08
County,35001,Other,08/2022,757,615,2023-04-08
County,35001,Other,09/2022,591,511.733333333333,2023-04-08
County,35001,Other,10/2022,604,561.444444444445,2023-04-08
County,35001,Other,11/2022,635,499.8,2023-04-08
County,35001,Other,12/2022,599,464.133333333333,2023-04-08
County,35001,Other,01/2023,785,632.133333333333,2023-04-08
County,35001,Other,02/2023,731,498,2023-04-08
County,35001,Other,03/2023,803,406.933333333333,2023-04-08
County,35001,Other,04/2023,115,39.1666666666667,2023-04-08
County,sealed,,01/2020,11,2.2,2023-04-08
County,sealed,,02/2020,7,3.2,2023-04-08
County,sealed,,03/2020,4,4.86666666666667,2023-04-08
County,sealed,,04/2020,1,1.8,2023-04-08
County,sealed,,05/2020,3,3.72222222222222,2023-04-08
County,sealed,,06/2020,1,4.4,2023-04-08
County,sealed,,07/2020,1,2.6,2023-04-08
County,sealed,,08/2020,0,2.33333333333333,2023-04-08
County,sealed,,09/2020,1,2.4,2023-04-08
County,sealed,,10/2020,1,3.6,2023-04-08
County,sealed,,11/2020,1,2.4,2023-04-08
County,sealed,,12/2020,0,2.6,2023-04-08
County,sealed,,01/2021,8,2.6,2023-04-08
County,sealed,,02/2021,2,4.13333333333333,2023-04-08
County,sealed,,03/2021,1,4.66666666666667,2023-04-08
County,sealed,,04/2021,3,1.6,2023-04-08
County,sealed,,05/2021,3,3.11111111111111,2023-04-08
County,sealed,,06/2021,0,4.13333333333333,2023-04-08
County,sealed,,07/2021,0,2.33333333333333,2023-04-08
County,sealed,,08/2021,0,2.66666666666667,2023-04-08
County,sealed,,09/2021,0,2.33333333333333,2023-04-08
County,sealed,,10/2021,0,4,2023-04-08
County,sealed,,11/2021,1,2.13333333333333,2023-04-08
County,sealed,,12/2021,0,2.53333333333333,2023-04-08
County,sealed,,01/2022,1,1.94444444444444,2023-04-08
County,sealed,,02/2022,0,3.93333333333333,2023-04-08
County,sealed,,03/2022,0,3.86666666666667,2023-04-08
County,sealed,,04/2022,0,1.53333333333333,2023-04-08
County,sealed,,05/2022,0,3.53333333333333,2023-04-08
County,sealed,,06/2022,0,3.73333333333333,2023-04-08
County,sealed,,07/2022,1,2.55555555555556,2023-04-08
County,sealed,,08/2022,0,2.53333333333333,2023-04-08
County,sealed,,09/2022,3,2.26666666666667,2023-04-08
County,sealed,,10/2022,0,3.61111111111111,2023-04-08
County,sealed,,11/2022,0,2,2023-04-08
County,sealed,,12/2022,0,2.26666666666667,2023-04-08
County,sealed,,01/2023,10,2.33333333333333,2023-04-08
County,sealed,,02/2023,7,3.93333333333333,2023-04-08
County,sealed,,03/2023,7,3.6,2023-04-08
County,sealed,,04/2023,2,0.333333333333333,2023-04-08
