group,month,month_last_day,month_filings,avg_filings,month_diff
Black,January,,0,137.554365079365,0
Black,February,,7,134.761111111111,0.0519437688090036
Black,March,,40,124.755952380952,0.320625984064125
Black,April,,0,123.649422799423,0
Black,May,,0,133.520526695527,0
Black,June,06/06/2020,0,26.8831168831169,0
Other,January,,1,109.475793650794,0.00913443937378343
Other,February,,6,80.7904761904762,0.0742661794176588
Other,March,,23,79.6380952380952,0.288806505620665
Other,April,,0,76.711507936508,0
Other,May,,0,93.8083333333333,0
Other,June,06/06/2020,0,16.4,0
White,January,,6,1022.93888888889,0.00586545302478154
White,February,,41,860.874350649351,0.0476259978811937
White,March,,323,858.068686868687,0.376426741755034
White,April,,0,864.425360750361,0
White,May,,0,1018.85465367965,0
White,June,06/06/2020,18,234.871031746032,0.0766378035902851
