month,month_last_day,month_filings,avg_filings,percentage_diff
01/2020,,650,620.75,1.04712041884817
01/2021,,312,620.75,0.50261780104712
02/2020,,610,636.5,0.958366064414768
02/2021,,303,615,0.492682926829268
03/2020,,480,677.25,0.70874861572536
03/2021,,454,677.25,0.670358065706903
04/2020,,96,592.833333333333,0.161934214225471
04/2021,,253,592.833333333333,0.426764127073376
05/2020,,4,635.666666666667,0.00629260618772942
05/2021,29/05/2021,225,600.75,0.374531835205993
06/2020,,8,628.416666666667,0.0127304071078106
07/2020,,13,746.666666666667,0.0174107142857143
08/2020,,11,782.75,0.0140530182050463
09/2020,,16,664.75,0.0240691989469726
10/2020,,38,700.416666666667,0.0542534205829863
11/2020,,318,610.75,0.520671305771592
12/2020,,461,573.833333333333,0.803369154806854
