group,month,month_last_day,month_filings,avg_filings,month_diff
Black,January,,174,190,0.91578947368421
Black,February,,171,207.25,0.825090470446321
Black,March,,101,187.75,0.537949400798935
Black,April,,6,163.5,0.036697247706422
Black,May,,0,185,0
Black,June,,2,181.25,0.0110344827586207
Black,July,,0,225,0
Black,August,01/08/2020,0,9,0
Latinx,January,,28,38.25,0.73202614379085
Latinx,February,,33,38.5,0.857142857142857
Latinx,March,,32,37.75,0.847682119205298
Latinx,April,,7,35.5,0.197183098591549
Latinx,May,,1,34.5,0.0289855072463768
Latinx,June,,0,40,0
Latinx,July,,1,50.5,0.0198019801980198
Latinx,August,01/08/2020,0,1.5,0
Other,January,,190,185.25,1.02564102564103
Other,February,,211,184,1.14673913043478
Other,March,,166,210.666666666667,0.787974683544304
Other,April,,29,167.166666666667,0.173479561316052
Other,May,,1,188.416666666667,0.00530738611233967
Other,June,,1,193,0.00518134715025907
Other,July,,5,215.916666666667,0.0231570822076418
Other,August,01/08/2020,0,8,0
White,January,,229,205.75,1.11300121506683
White,February,,171,205.75,0.831105710814095
White,March,,150,240.083333333333,0.624783061437001
White,April,,52,226.166666666667,0.229918938835667
White,May,,2,226.5,0.00883002207505519
White,June,,3,213.416666666667,0.0140570089808669
White,July,,5,253.166666666667,0.0197498354180382
White,August,01/08/2020,0,8.08333333333333,0
