group,month,month_last_day,month_filings,avg_filings,month_diff
White,01/2022,,68,59.3333333333333,1.14606741573034
White,02/2022,,57,68.6666666666667,0.830097087378641
White,03/2022,,116,68,1.70588235294118
White,04/2022,,99,67.6666666666667,1.46305418719212
White,05/2022,07/05/2022,19,19.3333333333333,0.982758620689655
White,12/2021,,60,67,0.895522388059702
Black,01/2022,,4,10,0.4
Black,02/2022,,5,7.33333333333333,0.681818181818182
Black,03/2022,,5,6,0.833333333333333
Black,04/2022,,4,4,1
Black,05/2022,07/05/2022,0,1,0
Black,12/2021,,6,4,1.5
Latinx,01/2022,,59,84,0.702380952380952
Latinx,02/2022,,51,72.3333333333333,0.705069124423963
Latinx,03/2022,,121,77.6666666666667,1.55793991416309
Latinx,04/2022,,80,87.3333333333333,0.916030534351145
Latinx,05/2022,07/05/2022,24,20,1.2
Latinx,12/2021,,43,86,0.5
Other,01/2022,,116,174.333333333333,0.665391969407266
Other,02/2022,,111,163,0.680981595092025
Other,03/2022,,275,153,1.79738562091503
Other,04/2022,,233,147.666666666667,1.57787810383747
Other,05/2022,07/05/2022,49,39.3333333333333,1.24576271186441
Other,12/2021,,100,170.333333333333,0.587084148727984
