xfilemonth,filings_ratio,site_name,site_name_full
01/01/2021,0.518529424232647,AVERAGE,"Average"
02/01/2021,0.530732638877866,AVERAGE,"Average"
09/01/2020,0.486936149649303,AVERAGE,"Average"
10/01/2020,0.504988672209111,AVERAGE,"Average"
11/01/2020,0.575340266099549,AVERAGE,"Average"
12/01/2020,0.657561746347148,AVERAGE,"Average"
01/01/2021,0.500601684717208,BOSTON,"Boston, MA"
02/01/2021,0.477069199457259,BOSTON,"Boston, MA"
10/01/2020,0.0496833901607404,BOSTON,"Boston, MA"
11/01/2020,0.520671305771592,BOSTON,"Boston, MA"
12/01/2020,0.803369154806854,BOSTON,"Boston, MA"
01/01/2021,0.38041958041958,CHARLESTON,"Charleston, SC"
02/01/2021,0.382092015679802,CHARLESTON,"Charleston, SC"
09/01/2020,0.424173318129989,CHARLESTON,"Charleston, SC"
10/01/2020,0.369928859834647,CHARLESTON,"Charleston, SC"
11/01/2020,0.453906572964035,CHARLESTON,"Charleston, SC"
12/01/2020,0.380799357300663,CHARLESTON,"Charleston, SC"
01/01/2021,0.66965857092573,CINCINNATI,"Cincinnati, OH"
02/01/2021,0.746341463414634,CINCINNATI,"Cincinnati, OH"
09/01/2020,0.549874416935773,CINCINNATI,"Cincinnati, OH"
10/01/2020,0.633853326161018,CINCINNATI,"Cincinnati, OH"
11/01/2020,0.746299770690015,CINCINNATI,"Cincinnati, OH"
12/01/2020,0.86753916319651,CINCINNATI,"Cincinnati, OH"
01/01/2021,0.462106159523134,CLEVELAND,"Cleveland, OH"
02/01/2021,0.422082459818309,CLEVELAND,"Cleveland, OH"
09/01/2020,0.334293948126801,CLEVELAND,"Cleveland, OH"
10/01/2020,0.383509108341323,CLEVELAND,"Cleveland, OH"
11/01/2020,0.496296296296296,CLEVELAND,"Cleveland, OH"
12/01/2020,0.644433545855812,CLEVELAND,"Cleveland, OH"
01/01/2021,0.571369806663924,COLUMBUS,"Columbus, OH"
02/01/2021,0.638380190869229,COLUMBUS,"Columbus, OH"
09/01/2020,0.621869158878505,COLUMBUS,"Columbus, OH"
10/01/2020,0.748866213151928,COLUMBUS,"Columbus, OH"
11/01/2020,0.835707187810533,COLUMBUS,"Columbus, OH"
12/01/2020,1.22091310751105,COLUMBUS,"Columbus, OH"
01/01/2021,0.549079287779638,FORTWORTH,"Fort Worth, TX"
02/01/2021,0.362647325475975,FORTWORTH,"Fort Worth, TX"
09/01/2020,0.36382962569281,FORTWORTH,"Fort Worth, TX"
10/01/2020,0.383749388154675,FORTWORTH,"Fort Worth, TX"
11/01/2020,0.440780085619153,FORTWORTH,"Fort Worth, TX"
12/01/2020,0.574698029243484,FORTWORTH,"Fort Worth, TX"
01/01/2021,0.655045871559633,GAINESVILLE,"Gainesville, FL"
02/01/2021,0.931952662721893,GAINESVILLE,"Gainesville, FL"
09/01/2020,0.8,GAINESVILLE,"Gainesville, FL"
10/01/2020,0.933014354066986,GAINESVILLE,"Gainesville, FL"
11/01/2020,1.00558659217877,GAINESVILLE,"Gainesville, FL"
12/01/2020,0.822857142857143,GAINESVILLE,"Gainesville, FL"
01/01/2021,0.610769786772678,GREENVILLE,"Greenville, SC"
02/01/2021,0.638069705093834,GREENVILLE,"Greenville, SC"
09/01/2020,0.574159021406728,GREENVILLE,"Greenville, SC"
10/01/2020,0.585824403083286,GREENVILLE,"Greenville, SC"
11/01/2020,0.682245031666303,GREENVILLE,"Greenville, SC"
12/01/2020,0.654885232581759,GREENVILLE,"Greenville, SC"
01/01/2021,0.498348526885982,HOUSTON,"Houston, TX"
02/01/2021,0.454173682944431,HOUSTON,"Houston, TX"
09/01/2020,0.34799548856762,HOUSTON,"Houston, TX"
10/01/2020,0.444353602452734,HOUSTON,"Houston, TX"
11/01/2020,0.581145071028842,HOUSTON,"Houston, TX"
12/01/2020,0.722586479764865,HOUSTON,"Houston, TX"
01/01/2021,0.749518522714399,INDIANAPOLIS,"Indianapolis, IN"
02/01/2021,0.683200472394449,INDIANAPOLIS,"Indianapolis, IN"
09/01/2020,0.572479194890652,INDIANAPOLIS,"Indianapolis, IN"
10/01/2020,0.595025448958033,INDIANAPOLIS,"Indianapolis, IN"
11/01/2020,0.619006479481642,INDIANAPOLIS,"Indianapolis, IN"
12/01/2020,0.725542532203783,INDIANAPOLIS,"Indianapolis, IN"
01/01/2021,0.83793902656445,JACKSONVILLE,"Jacksonville, FL"
02/01/2021,0.902739726027397,JACKSONVILLE,"Jacksonville, FL"
09/01/2020,0.751525235718247,JACKSONVILLE,"Jacksonville, FL"
10/01/2020,0.89322191272052,JACKSONVILLE,"Jacksonville, FL"
11/01/2020,0.965493601462523,JACKSONVILLE,"Jacksonville, FL"
12/01/2020,1.05977152182783,JACKSONVILLE,"Jacksonville, FL"
01/01/2021,0.319903788334336,KANSASCITY,"Kansas City, MO"
02/01/2021,0.272340425531915,KANSASCITY,"Kansas City, MO"
09/01/2020,0.33751146438398,KANSASCITY,"Kansas City, MO"
10/01/2020,0.431852072770653,KANSASCITY,"Kansas City, MO"
11/01/2020,0.394155114275009,KANSASCITY,"Kansas City, MO"
12/01/2020,0.467247499193288,KANSASCITY,"Kansas City, MO"
01/01/2021,0.328282314654734,MEMPHIS,"Memphis, TN"
02/01/2021,0.192424796005359,MEMPHIS,"Memphis, TN"
09/01/2020,0.513453903837671,MEMPHIS,"Memphis, TN"
10/01/2020,0.685196883554433,MEMPHIS,"Memphis, TN"
11/01/2020,0.657057772483621,MEMPHIS,"Memphis, TN"
12/01/2020,0.719479525449675,MEMPHIS,"Memphis, TN"
01/01/2021,0.544407283537718,MILWAUKEE,"Milwaukee, WI"
02/01/2021,0.719076005961252,MILWAUKEE,"Milwaukee, WI"
09/01/2020,0.342916522341531,MILWAUKEE,"Milwaukee, WI"
10/01/2020,0.552525074784445,MILWAUKEE,"Milwaukee, WI"
11/01/2020,0.622236260265319,MILWAUKEE,"Milwaukee, WI"
12/01/2020,0.731836475323025,MILWAUKEE,"Milwaukee, WI"
09/01/2020,0.349817202232057,NEWYORK,"New York, NY"
10/01/2020,0.409387817104664,NEWYORK,"New York, NY"
11/01/2020,0.384801623160731,NEWYORK,"New York, NY"
12/01/2020,0.409618484685653,NEWYORK,"New York, NY"
01/01/2021,0.307437560369808,PHILADELPHIA,"Philadelphia, PA"
02/01/2021,0.396429111817219,PHILADELPHIA,"Philadelphia, PA"
09/01/2020,0.325364266515773,PHILADELPHIA,"Philadelphia, PA"
10/01/2020,0.400965569813238,PHILADELPHIA,"Philadelphia, PA"
11/01/2020,0.347255369928401,PHILADELPHIA,"Philadelphia, PA"
12/01/2020,0.303427719821162,PHILADELPHIA,"Philadelphia, PA"
01/01/2021,0.56796235822887,PHOENIX,"Phoenix, AZ"
02/01/2021,0.693128223211531,PHOENIX,"Phoenix, AZ"
10/01/2020,0,PHOENIX,"Phoenix, AZ"
11/01/2020,0.54709552815332,PHOENIX,"Phoenix, AZ"
12/01/2020,0.792150067801718,PHOENIX,"Phoenix, AZ"
01/01/2021,0.295694557270512,PITTSBURGH,"Pittsburgh, PA"
02/01/2021,0.31306990881459,PITTSBURGH,"Pittsburgh, PA"
09/01/2020,0.547065076178103,PITTSBURGH,"Pittsburgh, PA"
10/01/2020,0.398814996424558,PITTSBURGH,"Pittsburgh, PA"
11/01/2020,0.379454411403293,PITTSBURGH,"Pittsburgh, PA"
12/01/2020,0.282491417361452,PITTSBURGH,"Pittsburgh, PA"
01/01/2021,0.158679446219382,RICHMOND,"Richmond, VA"
02/01/2021,0.152287581699346,RICHMOND,"Richmond, VA"
09/01/2020,0.458450046685341,RICHMOND,"Richmond, VA"
10/01/2020,0.58405281868969,RICHMOND,"Richmond, VA"
11/01/2020,0.186681844052362,RICHMOND,"Richmond, VA"
12/01/2020,0.104854368932039,RICHMOND,"Richmond, VA"
01/01/2021,0.714792899408284,SOUTHBEND,"South Bend, IN"
02/01/2021,0.469361147327249,SOUTHBEND,"South Bend, IN"
09/01/2020,0.541293532338309,SOUTHBEND,"South Bend, IN"
10/01/2020,0.469914040114613,SOUTHBEND,"South Bend, IN"
11/01/2020,0.422090729783038,SOUTHBEND,"South Bend, IN"
12/01/2020,0.660351826792963,SOUTHBEND,"South Bend, IN"
01/01/2021,0.525375403915605,STLOUIS,"St Louis, MO"
02/01/2021,0.379848866498741,STLOUIS,"St Louis, MO"
09/01/2020,0.350107836089145,STLOUIS,"St Louis, MO"
10/01/2020,0.298438783894823,STLOUIS,"St Louis, MO"
11/01/2020,0.432542097788598,STLOUIS,"St Louis, MO"
12/01/2020,0.760127670022097,STLOUIS,"St Louis, MO"
01/01/2021,0.824823015514385,TAMPA,"Tampa, FL"
02/01/2021,1.0483806477409,TAMPA,"Tampa, FL"
09/01/2020,0.685387229475944,TAMPA,"Tampa, FL"
10/01/2020,0.88267988583446,TAMPA,"Tampa, FL"
11/01/2020,0.998161088635528,TAMPA,"Tampa, FL"
12/01/2020,0.999824837975127,TAMPA,"Tampa, FL"
01/01/2021,0.335431881138252,WILMINGTON,"Wilmington, DE"
02/01/2021,0.401022436807725,WILMINGTON,"Wilmington, DE"
09/01/2020,0.434092654210392,WILMINGTON,"Wilmington, DE"
10/01/2020,0.479881510738089,WILMINGTON,"Wilmington, DE"
11/01/2020,0.514156285390714,WILMINGTON,"Wilmington, DE"
12/01/2020,0.415115005476451,WILMINGTON,"Wilmington, DE"
