month,month_last_day,month_filings,avg_filings,percentage_diff
01/2020,,1282,1024,1.251953125
01/2021,,544,1024,0.53125
01/2022,,800,1024,0.78125
01/2023,,1001,1024,0.9775390625
01/2024,,1047,1024,1.0224609375
01/2025,,932,1024,0.91015625
02/2020,,1216,862.5,1.40985507246377
02/2021,,464,860.5,0.539221382916909
02/2022,,688,860.5,0.799535153980244
02/2023,,788,860.5,0.915746658919233
02/2024,,937,862.5,1.0863768115942
02/2025,,882,860.5,1.02498547356188
03/2020,,605,771.5,0.784186649384316
03/2021,,458,771.5,0.593648736228127
03/2022,,972,771.5,1.2598833441348
03/2023,,827,771.5,1.07193778353856
03/2024,,716,771.5,0.928062216461439
03/2025,,959,771.5,1.24303305249514
04/2020,,3,743.5,0.00403496973772697
04/2021,,354,743.5,0.476126429051782
04/2022,,662,743.5,0.890383322125084
04/2023,,729,743.5,0.980497646267653
04/2024,,758,743.5,1.01950235373235
04/2025,,817,743.5,1.09885675857431
05/2020,,311,873,0.356242840778923
05/2021,,335,873,0.383734249713631
05/2022,,656,873,0.751431844215349
05/2023,,886,873,1.01489117983963
05/2024,,860,873,0.985108820160367
05/2025,,879,873,1.00687285223368
06/2020,,443,843,0.525504151838671
06/2021,,430,843,0.510083036773428
06/2022,,804,843,0.953736654804271
06/2023,,854,843,1.01304863582444
06/2024,,832,843,0.986951364175563
06/2025,,839,843,0.995255041518387
07/2020,,449,908,0.494493392070485
07/2021,,408,908,0.449339207048458
07/2022,,742,908,0.817180616740088
07/2023,,902,908,0.993392070484581
07/2024,,914,908,1.00660792951542
08/2020,,494,832,0.59375
08/2021,,391,832,0.469951923076923
08/2022,,835,832,1.00360576923077
08/2023,,872,832,1.04807692307692
08/2024,,792,832,0.951923076923077
09/2020,,644,874,0.736842105263158
09/2021,,594,874,0.679633867276888
09/2022,,911,874,1.04233409610984
09/2023,,835,874,0.955377574370709
09/2024,,913,874,1.04462242562929
10/2020,,481,937,0.513340448239061
10/2021,,598,937,0.63820704375667
10/2022,,871,937,0.929562433297759
10/2023,,958,937,1.02241195304162
10/2024,,916,937,0.977588046958378
11/2020,,550,772,0.712435233160622
11/2021,,534,772,0.691709844559586
11/2022,,759,772,0.983160621761658
11/2023,,718,772,0.930051813471503
11/2024,,826,772,1.0699481865285
12/2020,,474,851.5,0.556664709336465
12/2021,,526,851.5,0.617733411626541
12/2022,,795,851.5,0.93364650616559
12/2023,,863,851.5,1.01350557839107
12/2024,,840,851.5,0.986494421608925
