month_date,median_claim,sub1000,sub_med_rent,over_six_months_rent,median_claim_prepandemic
2020-01-01,944.835,0.526,0.478,0.046,950
2020-02-01,950,0.527,0.473,0.054,950
2020-03-01,1021.5,0.45,0.408,0.102,950
2020-04-01,1015,0.461,0.424,0.051,950
2020-05-01,1191.15,0.348,0.326,0.057,950
2020-06-01,1495,0.321,0.287,0.088,950
2020-07-01,1182.5,0.367,0.334,0.096,950
2020-08-01,1305,0.369,0.349,0.071,950
2020-09-01,1250,0.387,0.332,0.072,950
2020-10-01,1500,0.3,0.283,0.099,950
2020-11-01,1450,0.31,0.279,0.055,950
2020-12-01,1477.3,0.294,0.278,0.073,950
2021-01-01,1500,0.297,0.265,0.065,950
2021-02-01,1524.76,0.294,0.278,0.074,950
2021-03-01,1661.505,0.298,0.277,0.079,950
2021-04-01,1574.88,0.311,0.293,0.109,950
2021-05-01,1430.48,0.298,0.276,0.093,950
2021-06-01,1107.36,0.465,0.431,0.079,950
2021-07-01,1258.9,0.385,0.361,0.141,950
2021-08-01,1000,0.498,0.461,0.079,950
2021-09-01,1110,0.464,0.404,0.071,950
2021-10-01,1100,0.461,0.414,0.075,950
2021-11-01,1200,0.426,0.391,0.083,950
2021-12-01,1064.255,0.458,0.401,0.075,950
2022-01-01,1350,0.377,0.329,0.09,950
2022-02-01,1198,0.424,0.376,0.081,950
2022-03-01,1300,0.406,0.365,0.099,950
2022-04-01,1100,0.433,0.38,0.079,950
2022-05-01,1187.085,0.406,0.359,0.087,950
2022-06-01,1238.505,0.396,0.352,0.069,950
2022-07-01,1220,0.385,0.334,0.08,950
2022-08-01,1350.5,0.338,0.29,0.075,950
2022-09-01,1390,0.358,0.302,0.129,950
2022-10-01,1405.155,0.339,0.29,0.097,950
2022-11-01,1570,0.267,0.236,0.111,950
2022-12-01,1376.88,0.326,0.285,0.097,950
2023-01-01,1427.77,0.326,0.261,0.118,950
2023-02-01,1523.2350000000001,0.281,0.235,0.108,950
2023-03-01,1517.5,0.302,0.26,0.127,950
2023-04-01,2165.5,0.146,0.134,0.134,950
