group,month,month_last_day,month_filings,avg_filings,month_diff
White,01/2023,07/01/2023,2,17.25,0.115942028985507
White,08/2022,,97,139.5,0.695340501792115
White,09/2022,,92,116.75,0.788008565310492
White,10/2022,,104,118.25,0.879492600422833
White,11/2022,,108,113.75,0.949450549450549
White,12/2022,,110,101.5,1.08374384236453
Black,01/2023,07/01/2023,7,59.5,0.117647058823529
Black,08/2022,,226,432.5,0.522543352601156
Black,09/2022,,345,404.75,0.852378011117974
Black,10/2022,,290,420.25,0.690065437239738
Black,11/2022,,261,336.75,0.775055679287305
Black,12/2022,,262,349.75,0.749106504646176
Latinx,01/2023,07/01/2023,0,1.5,0
Latinx,08/2022,,12,13.5,0.888888888888889
Latinx,09/2022,,7,18.75,0.373333333333333
Latinx,10/2022,,12,11.75,1.02127659574468
Latinx,11/2022,,3,11.5,0.260869565217391
Latinx,12/2022,,3,11,0.272727272727273
Other,01/2023,07/01/2023,1,33,0.0303030303030303
Other,08/2022,,173,209,0.827751196172249
Other,09/2022,,222,209.5,1.05966587112172
Other,10/2022,,190,210.25,0.903686087990488
Other,11/2022,,169,148.25,1.13996627318718
Other,12/2022,,148,155.75,0.95024077046549
