type,GEOID,racial_majority,week,week_date,filings_2020,filings_avg,last_updated
County,39049,White,1,2019-12-29,103,114,2023-04-08
County,39049,White,2,2020-01-05,195,351,2023-04-08
County,39049,White,3,2020-01-12,390,478,2023-04-08
County,39049,White,4,2020-01-19,592,387,2023-04-08
County,39049,White,5,2020-01-26,291,328.666666666667,2023-04-08
County,39049,White,6,2020-02-02,177,343,2023-04-08
County,39049,White,7,2020-02-09,251,357.333333333333,2023-04-08
County,39049,White,8,2020-02-16,582,311.666666666667,2023-04-08
County,39049,White,9,2020-02-23,368,287.666666666667,2023-04-08
County,39049,White,10,2020-03-01,217,301,2023-04-08
County,39049,White,11,2020-03-08,159,358.333333333333,2023-04-08
County,39049,White,12,2020-03-15,256,481.666666666667,2023-04-08
County,39049,White,13,2020-03-22,178,403,2023-04-08
County,39049,White,14,2020-03-29,63,174,2023-04-08
County,39049,White,15,2020-04-05,32,192.333333333333,2023-04-08
County,39049,White,16,2020-04-12,38,448.666666666667,2023-04-08
County,39049,White,17,2020-04-19,87,427.333333333333,2023-04-08
County,39049,White,18,2020-04-26,85,269.666666666667,2023-04-08
County,39049,White,19,2020-05-03,96,270.666666666667,2023-04-08
County,39049,White,20,2020-05-10,93,409,2023-04-08
County,39049,White,21,2020-05-17,109,562.333333333333,2023-04-08
County,39049,White,22,2020-05-24,85,283.666666666667,2023-04-08
County,39049,White,23,2020-05-31,96,291.666666666667,2023-04-08
County,39049,White,24,2020-06-07,157,289.666666666667,2023-04-08
County,39049,White,25,2020-06-14,143,359.333333333333,2023-04-08
County,39049,White,26,2020-06-21,242,387.666666666667,2023-04-08
County,39049,White,27,2020-06-28,129,241.333333333333,2023-04-08
County,39049,White,28,2020-07-05,141,332.666666666667,2023-04-08
County,39049,White,29,2020-07-12,146,364,2023-04-08
County,39049,White,30,2020-07-19,192,471.333333333333,2023-04-08
County,39049,White,31,2020-07-26,197,435.666666666667,2023-04-08
County,39049,White,32,2020-08-02,161,388.333333333333,2023-04-08
County,39049,White,33,2020-08-09,107,348.666666666667,2023-04-08
County,39049,White,34,2020-08-16,378,391.666666666667,2023-04-08
County,39049,White,35,2020-08-23,303,372.333333333333,2023-04-08
County,39049,White,36,2020-08-30,372,337,2023-04-08
County,39049,White,37,2020-09-06,139,401,2023-04-08
