month,month_last_day,month_filings,avg_filings,percentage_diff
01/2020,,1641,1721,0.953515398024404
01/2021,,550,1721,0.31958163858222
01/2022,29/01/2022,1194,1569.33333333333,0.760832625318607
02/2020,,1450,1546,0.937904269081501
02/2021,,595,1546,0.384864165588616
03/2020,,1238,1468.66666666667,0.842941443486155
03/2021,,879,1468.66666666667,0.598502042669088
04/2020,,167,1326,0.125942684766214
04/2021,,724,1326,0.546003016591252
05/2020,,23,1591.66666666667,0.0144502617801047
05/2021,,610,1591.66666666667,0.383246073298429
06/2020,,29,1683.66666666667,0.0172243120174223
06/2021,,694,1683.66666666667,0.412195604830727
07/2020,,154,1830.66666666667,0.084122359796067
07/2021,,391,1830.66666666667,0.213583394027677
08/2020,,135,1897,0.0711649973642594
08/2021,,556,1897,0.293094359515024
09/2020,,192,1712.33333333333,0.112127700992797
09/2021,,1041,1712.33333333333,0.607942378820323
10/2020,,302,1858,0.16254036598493
10/2021,,914,1858,0.491926803013994
11/2020,,472,1537.66666666667,0.306958595274225
11/2021,,1121,1537.66666666667,0.729026663776284
12/2020,,543,1512,0.359126984126984
12/2021,,1225,1512,0.810185185185185
