group,month,month_last_day,month_filings,avg_filings,month_diff
White,04/2022,,291,244.333333333333,1.19099590723056
White,05/2022,,279,290.333333333333,0.960964408725603
White,06/2022,,299,277,1.07942238267148
White,07/2022,,364,316.666666666667,1.14947368421053
White,08/2022,,287,299.666666666667,0.957730812013348
White,09/2022,10/09/2022,92,53.6666666666667,1.71428571428571
Black,04/2022,,871,781,1.11523687580026
Black,05/2022,,737,839.333333333333,0.878077839555203
Black,06/2022,,748,900.666666666667,0.830495928941525
Black,07/2022,,922,929,0.992465016146394
Black,08/2022,,843,936.666666666667,0.9
Black,09/2022,10/09/2022,246,149.666666666667,1.64365256124722
Latinx,04/2022,,847,794,1.06675062972292
Latinx,05/2022,,716,907,0.78941565600882
Latinx,06/2022,,885,965,0.917098445595855
Latinx,07/2022,,963,991.666666666667,0.97109243697479
Latinx,08/2022,,859,1036.66666666667,0.828617363344051
Latinx,09/2022,10/09/2022,219,157.333333333333,1.39194915254237
Other,04/2022,,1415,1189,1.19007569386039
Other,05/2022,,1422,1272.66666666667,1.117338920901
Other,06/2022,,1663,1329.66666666667,1.25068939583856
Other,07/2022,,1641,1409.33333333333,1.16438032166509
Other,08/2022,,1510,1424.33333333333,1.06014509712146
Other,09/2022,10/09/2022,367,217.666666666667,1.68606431852986
