type,GEOID,week,week_date,filings_2020,filings_avg,last_updated
Census Tract,10001040100,1,2019-12-29,0,0.25,2021-07-24
Census Tract,10001040100,2,2020-01-05,0,0.5,2021-07-24
Census Tract,10001040100,3,2020-01-12,0,0.75,2021-07-24
Census Tract,10001040100,4,2020-01-19,1,0.25,2021-07-24
Census Tract,10001040100,5,2020-01-26,1,0.75,2021-07-24
Census Tract,10001040100,6,2020-02-02,0,0.75,2021-07-24
Census Tract,10001040100,7,2020-02-09,0,0.75,2021-07-24
Census Tract,10001040100,8,2020-02-16,0,0.5,2021-07-24
Census Tract,10001040100,9,2020-02-23,0,0,2021-07-24
Census Tract,10001040100,10,2020-03-01,0,0.25,2021-07-24
Census Tract,10001040100,11,2020-03-08,0,1.25,2021-07-24
Census Tract,10001040100,12,2020-03-15,0,0.25,2021-07-24
Census Tract,10001040100,13,2020-03-22,0,0.25,2021-07-24
Census Tract,10001040100,14,2020-03-29,0,0.5,2021-07-24
Census Tract,10001040100,15,2020-04-05,0,0.75,2021-07-24
Census Tract,10001040100,16,2020-04-12,0,0.5,2021-07-24
Census Tract,10001040100,17,2020-04-19,0,0.25,2021-07-24
Census Tract,10001040100,18,2020-04-26,0,0.25,2021-07-24
Census Tract,10001040100,19,2020-05-03,0,0.5,2021-07-24
Census Tract,10001040100,20,2020-05-10,0,0.5,2021-07-24
Census Tract,10001040100,21,2020-05-17,0,0,2021-07-24
Census Tract,10001040100,22,2020-05-24,0,0.25,2021-07-24
Census Tract,10001040100,23,2020-05-31,0,1,2021-07-24
Census Tract,10001040100,24,2020-06-07,0,0,2021-07-24
Census Tract,10001040100,25,2020-06-14,0,0.75,2021-07-24
Census Tract,10001040100,26,2020-06-21,0,0.5,2021-07-24
Census Tract,10001040100,27,2020-06-28,0,0.25,2021-07-24
Census Tract,10001040100,28,2020-07-05,0,0.5,2021-07-24
Census Tract,10001040100,29,2020-07-12,0,0.25,2021-07-24
Census Tract,10001040100,30,2020-07-19,0,0.25,2021-07-24
Census Tract,10001040100,31,2020-07-26,0,0.25,2021-07-24
Census Tract,10001040100,32,2020-08-02,2,0.25,2021-07-24
Census Tract,10001040100,33,2020-08-09,0,0.75,2021-07-24
Census Tract,10001040100,34,2020-08-16,0,1.25,2021-07-24
Census Tract,10001040100,35,2020-08-23,0,0.25,2021-07-24
Census Tract,10001040100,36,2020-08-30,1,0.75,2021-07-24
Census Tract,10001040100,37,2020-09-06,0,1.25,2021-07-24
Census Tract,10001040100,38,2020-09-13,0,0.75,2021-07-24
Census Tract,10001040100,39,2020-09-20,0,0.25,2021-07-24
Census Tract,10001040100,40,2020-09-27,1,0.5,2021-07-24
Census Tract,10001040100,41,2020-10-04,0,0,2021-07-24
Census Tract,10001040100,42,2020-10-11,0,0.75,2021-07-24
Census Tract,10001040100,43,2020-10-18,0,0.75,2021-07-24
Census Tract,10001040100,44,2020-10-25,1,0,2021-07-24
Census Tract,10001040100,45,2020-11-01,1,0.5,2021-07-24
Census Tract,10001040100,46,2020-11-08,0,0.25,2021-07-24
Census Tract,10001040100,47,2020-11-15,0,0.25,2021-07-24
Census Tract,10001040100,48,2020-11-22,0,0,2021-07-24
Census Tract,10001040100,49,2020-11-29,0,0,2021-07-24
Census Tract,10001040100,50,2020-12-06,0,0.25,2021-07-24
Census Tract,10001040100,51,2020-12-13,0,0.5,2021-07-24
Census Tract,10001040100,52,2020-12-20,2,0,2021-07-24
Census Tract,10001040100,53,2020-12-27,0,0.25,2021-07-24
Census Tract,10001040100,54,2021-01-03,0,0.75,2021-07-24
Census Tract,10001040100,55,2021-01-10,0,0.5,2021-07-24
Census Tract,10001040100,56,2021-01-17,0,0.5,2021-07-24
Census Tract,10001040100,57,2021-01-24,0,0.5,2021-07-24
Census Tract,10001040100,58,2021-01-31,0,0.25,2021-07-24
Census Tract,10001040100,59,2021-02-07,0,1.5,2021-07-24
Census Tract,10001040100,60,2021-02-14,2,0.25,2021-07-24
Census Tract,10001040100,61,2021-02-21,0,0.25,2021-07-24
Census Tract,10001040100,62,2021-02-28,0,0,2021-07-24
Census Tract,10001040100,63,2021-03-07,0,1.5,2021-07-24
Census Tract,10001040100,64,2021-03-14,1,0.25,2021-07-24
Census Tract,10001040100,65,2021-03-21,0,0,2021-07-24
Census Tract,10001040100,66,2021-03-28,0,0.5,2021-07-24
