month,month_last_day,month_filings,avg_filings,percentage_diff
01/2020,,1253,1147.2,1.09222454672245
02/2020,,944,759.4,1.24308664735317
03/2020,,632,744.8,0.848549946294307
04/2020,,43,885,0.0485875706214689
05/2020,,32,948.8,0.0337268128161889
06/2020,,57,1107.6,0.0514626218851571
07/2020,,56,1158.2,0.0483508893109998
08/2020,,838,1117.2,0.750089509488006
09/2020,,936,1131.8,0.827001236967662
10/2020,,947,1076.8,0.87945765230312
11/2020,,845,874,0.966819221967963
12/2020,,634,979.2,0.647467320261438
