site_id,serial_share,filings_pandemic,filings_past_year,filings_past_month,filings_ytd,filings_pandemic_pct_hist,filings_past_year_pct_hist,filings_past_month_pct_hist,filings_ytd_pct_hist,median_rent,renter_hh,hhs_threatened_rate,eviction_filing_rate,site,latest_update
05119,0.07820677,27692,5764,557,3958,0.9039334094989391,1.2188623387608375,1.229580573951435,1.2390045390514948,1090,115817,0.042731205263476,0.049768168748974675,littlerock,2026-09-01
12001,0.0772,11950,2353,226,1239,0.8508063080702004,1.0558671752299753,1.0917874396135265,1.0764552562988705,1400,58424,0.03368478707380528,0.04027454470765439,gainesville,2026-07-01
18,0.17149491582554635,413432,71009,6024,47788,0.8662443336521609,0.9651764961737641,0.8815394746469598,0.9538237378122412,1104,812741,0.065704818632258,0.0873697770876577,indiana,2026-09-01
18097,0.19512066603435557,148290,24105,2117,16199,0.8597792717184279,0.9078070274545249,0.8515687851971038,0.8922856592029524,1215,178049,0.10658863571264092,0.13538407966346344,indianapolis,2026-09-01
18141,,15898,2808,234,1854,0.8520056807524318,0.9701157367420971,1.0042918454935623,0.9760463279810476,1120,32840,,0.08550548112058465,southbend,2026-09-01
32003,0.29350765199453627,305727,45989,4165,24267,0.9029442775754676,0.8682084198602983,0.8394638718129598,0.7669479472835877,1739,375458,0.09554464147787502,0.12248773497967816,lasvegas,2026-08-01
12086,0.162,95446,15756,1298,7652,0.8558951181893181,0.8873120459537084,0.88,0.8548765501061334,2050,475504,0.0281490797133147,0.03313536794643158,miami,2026-07-01
29,0.18163245451892207,256392,44964,4372,26576,0.8477870546416467,0.9495591573834539,1.0517199903776762,0.9590069284064665,1067,805811,0.03826827878993957,0.055799685037806634,missouri,2026-08-01
29510,,92534,17452,1732,10388,0.8234833450506812,0.9916190800875024,1.1455026455026456,1.0151470731945667,1171,204421,,0.08537283351514766,stlouis,2026-08-01
29095,,57743,10105,928,5742,0.8142966937661733,0.9111401650060863,0.9459734964322121,0.876507403449855,1249,124491,,0.08117052638343335,kansascity,2026-08-01
