site,serial_share,filings_pandemic,filings_past_year,filings_past_month,filings_pandemic_pct_hist,filings_past_year_pct_hist,filings_past_month_pct_hist,renter_hh,hhs_threatened_rate,eviction_filing_rate
Charleston,0.337030191004313,20940,9697,1001,0.24294034387544378,0.6503688799463447,0.7,57055,0.11378494435194111,0.16995881167294716
Cincinnati,0.2294057281462823,30254,12649,968,0.40657202294241285,0.9891923173173173,0.8519626826262982,143075,0.07491874890791543,0.08840817752926787
Cleveland,0.14255844896407527,13957,5726,497,0.2889274162246086,0.6886142930158444,0.7368421052631579,99850,0.05268903355032549,0.05734601902854281
Columbus,0.24582296480625668,49267,21199,2030,0.4636981402002861,1.1578458681522747,1.252570958453309,257009,0.06567085199350996,0.08248349279597213
Bridgeport,0.09140727750986409,7778,4689,350,0.33497947113037985,1.1711764216135205,1.0616784630940332,118307,0.03856069378819512,0.039634172111540314
Hartford,0.11264822134387352,12101,7495,574,0.34523651026114077,1.2393209502287383,1.0830188679245283,121667,0.058224498015073935,0.061602570951860405
Connecticut,0.10267369952710076,38032,23128,1742,0.3333284642104863,1.174924645239949,1.0122022080185937,476797,0.046124451286396514,0.0485070166129401
Dallas,0.17263145868441346,84341,43033,3424,0.36046910861100945,1.066246551809577,0.9133914280633105,482309,0.07259039329558437,0.0892228840846843
Wilmington,0.25520906166969654,17509,7952,813,0.2666808823361422,0.7041062534587714,0.817907444668008,70242,0.10180518777939125,0.11320862162239116
Delaware,0.24669811320754717,26515,11787,1232,0.25990957322975505,0.6716622029745285,0.7828435266084194,108545,0.09765535031553733,0.10859090699709797
Fort Worth,0.23432514358647097,82362,42996,3742,0.3779057162816467,0.5725700131836523,0.5694719220818749,641098,0.0391079054996272,0.0670661895685215
Fort Worth,0.23432514358647097,82362,42996,3742,0.3779057162816467,0.5725700131836523,0.5694719220818749,641098,0.0391079054996272,0.0670661895685215
Gainesville,0.08011869436201781,3720,1963,187,0.39325545747661084,1.2431918936035466,1.342105263157898,47058,0.028645501296272684,0.041714480003400056
Houston,0.2689161380295583,155373,83441,7665,0.4590271453609595,0.7147225600877117,0.675151942217916,1571040,0.03742680008147469,0.05311195131887157
Houston,0.2689161380295583,155373,83441,7665,0.4590271453609595,0.7147225600877117,0.675151942217916,1571040,0.03742680008147469,0.05311195131887157
Greenville,0.35831330565872843,31935,13958,1413,0.38088138827598544,0.9639669193183584,1.0213227322009397,61820,0.1480750566159819,0.22578453574894855
Tampa,0.08312297151099891,43492,18737,1840,0.4260851249344835,0.532664316579486,0.5537998495109104,248258,0.022339662770182633,0.07547390215018247
Tampa,0.08312297151099891,43492,18737,1840,0.4260851249344835,0.532664316579486,0.5537998495109104,248258,0.022339662770182633,0.07547390215018247
Indianapolis,0.24599843841499122,59147,26609,2632,0.3411157617605119,0.8922532672752727,0.9240761871324498,169686,0.12076423511662718,0.156813172565798
South Bend,0.15258964143426296,5980,2899,253,0.3367923067175422,0.9473856209150326,0.892416225749559,32277,0.07776435232518511,0.08981627784490503
Indiana,0.17923037250237078,161872,71697,6976,0.38229405481873613,0.9841797129698899,1.0280745707759193,774845,0.07757293394162704,0.0925307642173596
Jacksonville,0.1543859649122807,30427,14384,1280,0.4391013337412582,1.2084348483575569,1.1410233553218043,166485,0.08045769889179205,0.08639817400967054
Las Vegas,0.3786546657526898,109047,55982,4837,0.514182248554191,1.5335118440245714,1.603646912556983,370204,0.09063381270866873,0.15121932772201274
Memphis,0.23237586081913736,56408,26539,1391,0.3608253028039954,0.9856547292968496,0.565849689819994,163597,0.13491689945414648,0.16222180113327261
Milwaukee,0.22801598837209303,29973,13270,1326,0.3951114954468518,1.019765154309603,1.2318840579710144,193302,0.05694716040185823,0.06864905691612089
Minneapolis-Saint Paul,0.07829457364341086,16352,12009,1236,0.3473384595777221,1.4781444726517425,1.6104234527687296,191444,0.0539061030901987,0.06272852635757716
Minnesota,0.09288488961007031,33702,23739,2287,0.34531003055863646,1.4101608328259352,1.47989970071989,615932,0.0330182552619445,0.03854159225369034
Kansas City,0.17939282428702852,17728,8459,797,0.3364744958481613,0.9338706116140428,1.0015708451146716,122228,0.062252511699446934,0.06920672840920247
St Louis,0.18871548619447778,29440,14166,1330,0.3371314056684798,0.9434722522852529,1.0574438481415225,76083,0.16422853988407396,0.18619139623831868
Missouri,0.16799489958559133,82902,35183,3260,0.33756982060164564,0.8324234161229838,0.8631760111206725,770131,0.0407333297841536,0.04568443550512835
Albuquerque,0.2295365278868814,17509,7572,795,0.27713468681411446,0.6945089886266353,0.7963272120200336,103857,0.06128619159035982,0.07290794072619082
Newmexico,0.18073386142219794,29653,12662,1318,0.30208534957875316,0.7475793119735501,0.8474067723960583,254299,0.04318931651323835,0.04979178054180315
New Orleans,0.11745052685684913,11418,5802,395,0.320298473967684,0.9452590420332356,0.9207459207459208,75311,0.05166575931802791,0.07704053856674324
Providence,0.1962809917355372,12717,5575,671,0.34774167526883193,0.8837633258035112,1.133924799324039,108750,0.04450574712643678,0.051264367816091956
Rhode_island,0.20412014467683598,16857,7356,851,0.3762034627590486,0.9469131352659492,1.3263715710723192,161721,0.03932080558492713,0.045485743966460754
Wisconsin,0.17529844310290046,60679,25449,2538,0.37588583652702534,0.9182944431080108,1.1934169278996845,781395,0.02819444711061627,0.03256867525387288
Austin,NA,13242,9394,659,0.24755103566888506,1.019240506329114,0.7829702970297027,270488,NA,0.03472982165567419
Boston,NA,68970,33335,3278,1.5157964139850917,4.252048853598647,5.280708819975835,292933,NA,0.1137973529783261
Miami-Ft. Lauderdale,NA,222067,114787,14528,0.88373209771977,2.6497052984718614,3.598860492960657,457495,NA,0.25090328856053074
Nashville,NA,23682,11788,1215,0.39107172345461555,1.127247226826469,1.1527514231499052,146398,NA,0.08052022568614325
New York,NA,207647,114065,11353,0.1592117988394584,0.5059661107168208,0.5692343689937001,553296,NA,0.2061554755501576
Pennsylvania,NA,224940,109372,10096,0.3388284630068202,0.9556667678791043,0.9978996268748919,1571478,NA,0.06959817445742161
Philadelphia,NA,26962,14585,1392,0.21994265273908628,0.6897693280838033,0.7683179246584794,311986,NA,0.04674889257851314
Phoenix,NA,153699,76345,14062,0.4133911636458702,1.1943686562120623,2.4688366866814144,583611,NA,0.13081487497665398
Pittsburgh,NA,21405,11430,1093,0.2544467722873187,0.7743867462206587,0.8251050793048826,186277,NA,0.06136023234215711
Richmond,NA,28817,16537,1724,0.20456086177216987,0.6812849536011865,0.7146113989637306,54944,NA,0.30097917880023295
Virginia,NA,203578,111303,12743,0.21689895795210767,0.6880132530157724,0.8244027883355707,1079291,NA,0.10312603366469283
