month,month_last_day,month_filings,avg_filings,percentage_diff
01/2020,,3970,3315.25,1.19749641806802
01/2021,09/01/2021,308,394.5,0.780735107731306
02/2020,,3729,2811.25,1.32645620275678
03/2020,,1789,2253.25,0.793964273826695
04/2020,,116,2720.25,0.042643139417333
05/2020,,422,3115.75,0.135440905079034
06/2020,,872,3192,0.273182957393484
07/2020,,891,3414,0.260984182776801
08/2020,,1466,3461.25,0.423546406644998
09/2020,,1588,3325.75,0.477486281289935
10/2020,,1364,3562.25,0.382904063443049
11/2020,,1388,3143.25,0.441581165990615
12/2020,,1792,3133.5,0.571884474230094
