month,month_last_day,month_filings,avg_filings,percentage_diff
January,,510,527,0.967741935483871
February,,484,481.666666666667,1.00484429065744
March,,378,429.666666666667,0.879751745539178
April,,55,392.333333333333,0.14018691588785
May,,4,475.666666666667,0.00840925017519271
June,,10,511.666666666667,0.0195439739413681
July,,44,559,0.0787119856887299
August,,34,601.333333333333,0.0565410199556541
September,,40,543.333333333333,0.0736196319018405
October,03/10/2020,4,72.6666666666667,0.055045871559633
