type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
County,09003,White,01/2020,507,311.4,2023-04-08
County,09003,White,02/2020,483,271.4,2023-04-08
County,09003,White,03/2020,378,289.466666666667,2023-04-08
County,09003,White,04/2020,55,235.333333333333,2023-04-08
County,09003,White,05/2020,4,294.111111111111,2023-04-08
County,09003,White,06/2020,10,334.733333333333,2023-04-08
County,09003,White,07/2020,45,308.8,2023-04-08
County,09003,White,08/2020,37,349.555555555556,2023-04-08
County,09003,White,09/2020,40,328.333333333333,2023-04-08
County,09003,White,10/2020,98,324.866666666667,2023-04-08
County,09003,White,11/2020,154,310.666666666667,2023-04-08
County,09003,White,12/2020,148,305,2023-04-08
County,09003,White,01/2021,147,367.8,2023-04-08
County,09003,White,02/2021,178,328,2023-04-08
County,09003,White,03/2021,243,276.466666666667,2023-04-08
County,09003,White,04/2021,209,224.533333333333,2023-04-08
County,09003,White,05/2021,191,275.833333333333,2023-04-08
County,09003,White,06/2021,203,318.666666666667,2023-04-08
County,09003,White,07/2021,122,296.466666666667,2023-04-08
County,09003,White,08/2021,184,397.6,2023-04-08
County,09003,White,09/2021,338,308.8,2023-04-08
County,09003,White,10/2021,265,343.944444444444,2023-04-08
County,09003,White,11/2021,337,294.8,2023-04-08
County,09003,White,12/2021,417,291.866666666667,2023-04-08
County,09003,White,01/2022,400,289.888888888889,2023-04-08
County,09003,White,02/2022,374,308.066666666667,2023-04-08
County,09003,White,03/2022,713,261.133333333333,2023-04-08
County,09003,White,04/2022,694,208.666666666667,2023-04-08
County,09003,White,05/2022,622,313.266666666667,2023-04-08
County,09003,White,06/2022,675,301.8,2023-04-08
County,09003,White,07/2022,560,318.722222222222,2023-04-08
County,09003,White,08/2022,637,379.133333333333,2023-04-08
County,09003,White,09/2022,665,291.133333333333,2023-04-08
County,09003,White,10/2022,639,326.166666666667,2023-04-08
County,09003,White,11/2022,703,276.8,2023-04-08
County,09003,White,12/2022,571,275.4,2023-04-08
County,09003,White,01/2023,569,337.8,2023-04-08
County,09003,White,02/2023,485,300.266666666667,2023-04-08
County,09003,White,03/2023,637,250.333333333333,2023-04-08
County,09003,White,04/2023,97,59.1666666666667,2023-04-08
County,sealed,,01/2020,2,2.8,2023-04-08
County,sealed,,02/2020,1,3.8,2023-04-08
County,sealed,,03/2020,4,3.46666666666667,2023-04-08
County,sealed,,04/2020,5,3,2023-04-08
County,sealed,,05/2020,0,4.27777777777778,2023-04-08
County,sealed,,06/2020,0,3.66666666666667,2023-04-08
County,sealed,,07/2020,0,2.93333333333333,2023-04-08
County,sealed,,08/2020,1,4.11111111111111,2023-04-08
County,sealed,,09/2020,0,4,2023-04-08
County,sealed,,10/2020,2,6.53333333333333,2023-04-08
County,sealed,,11/2020,0,3.53333333333333,2023-04-08
County,sealed,,12/2020,0,2.06666666666667,2023-04-08
County,sealed,,01/2021,1,3.2,2023-04-08
County,sealed,,02/2021,2,4.2,2023-04-08
County,sealed,,03/2021,6,3.4,2023-04-08
County,sealed,,04/2021,3,2.86666666666667,2023-04-08
County,sealed,,05/2021,4,4,2023-04-08
County,sealed,,06/2021,2,3.46666666666667,2023-04-08
County,sealed,,07/2021,3,2.8,2023-04-08
County,sealed,,08/2021,0,4.66666666666667,2023-04-08
County,sealed,,09/2021,4,3.8,2023-04-08
County,sealed,,10/2021,4,6.88888888888889,2023-04-08
County,sealed,,11/2021,8,3.33333333333333,2023-04-08
County,sealed,,12/2021,5,1.93333333333333,2023-04-08
County,sealed,,01/2022,3,2.55555555555556,2023-04-08
County,sealed,,02/2022,5,4,2023-04-08
County,sealed,,03/2022,9,3.06666666666667,2023-04-08
County,sealed,,04/2022,10,2.66666666666667,2023-04-08
County,sealed,,05/2022,7,4.6,2023-04-08
County,sealed,,06/2022,5,3.2,2023-04-08
County,sealed,,07/2022,7,3,2023-04-08
County,sealed,,08/2022,8,4.2,2023-04-08
County,sealed,,09/2022,2,3.66666666666667,2023-04-08
County,sealed,,10/2022,9,6.22222222222222,2023-04-08
County,sealed,,11/2022,5,3.06666666666667,2023-04-08
County,sealed,,12/2022,1,1.93333333333333,2023-04-08
County,sealed,,01/2023,5,3.06666666666667,2023-04-08
County,sealed,,02/2023,5,3.93333333333333,2023-04-08
County,sealed,,03/2023,9,2.8,2023-04-08
County,sealed,,04/2023,3,0.833333333333333,2023-04-08
