group,month,month_last_day,month_filings,avg_filings,month_diff
White,01/2020,,388,417.8,0.928674006701771
White,01/2021,,314,417.8,0.751555768310196
White,02/2020,,329,292,1.12671232876712
White,02/2021,,208,289.2,0.719225449515906
White,03/2020,,235,268.6,0.874906924795235
White,03/2021,,210,268.6,0.781831720029784
White,04/2020,,15,310.4,0.0483247422680412
White,04/2021,03/04/2021,2,24,0.0833333333333333
White,05/2020,,12,336,0.0357142857142857
White,06/2020,,27,403.8,0.0668647845468054
White,07/2020,,23,406.6,0.0565666502705362
White,08/2020,,289,395.6,0.730535894843276
White,09/2020,,337,378.8,0.889651531151003
White,10/2020,,292,396.8,0.735887096774194
White,11/2020,,260,309.4,0.840336134453782
White,12/2020,,279,341.6,0.816744730679157
Black,01/2020,,392,324.8,1.20689655172414
Black,01/2021,,248,324.8,0.763546798029557
Black,02/2020,,276,195.8,1.40960163432074
Black,02/2021,,234,191.8,1.22002085505735
Black,03/2020,,158,217.2,0.72744014732965
Black,03/2021,,198,217.2,0.911602209944751
Black,04/2020,,7,262,0.0267175572519084
Black,04/2021,03/04/2021,1,24.4,0.0409836065573771
Black,05/2020,,9,285.4,0.0315346881569727
Black,06/2020,,17,304.4,0.0558475689881735
Black,07/2020,,17,340.4,0.0499412455934195
Black,08/2020,,304,325.6,0.933660933660934
Black,09/2020,,273,340.2,0.802469135802469
Black,10/2020,,253,303.2,0.8344327176781
Black,11/2020,,282,263.4,1.07061503416856
Black,12/2020,,250,283.2,0.882768361581921
Other,01/2020,,495,404.6,1.22343054869006
Other,01/2021,,377,404.6,0.931784478497281
Other,02/2020,,334,271.6,1.22974963181149
Other,02/2021,,250,267.8,0.933532486930545
Other,03/2020,,238,259,0.918918918918919
Other,03/2021,,292,259,1.12741312741313
Other,04/2020,,21,312.6,0.0671785028790787
Other,04/2021,03/04/2021,2,18.2,0.10989010989011
Other,05/2020,,10,327.4,0.030543677458766
Other,06/2020,,13,399.4,0.0325488232348523
Other,07/2020,,16,411.2,0.0389105058365759
Other,08/2020,,245,396,0.618686868686869
Other,09/2020,,325,412.8,0.787306201550388
Other,10/2020,,416,376.8,1.10403397027601
Other,11/2020,,301,301.2,0.99933598937583
Other,12/2020,,508,354.4,1.4334085778781
