month,month_last_day,month_filings,avg_filings,percentage_diff
01/2020,,881,804.5,1.09509011808577
01/2021,,307,804.5,0.381603480422623
01/2022,,669,804.5,0.831572405220634
01/2023,,875,804.5,1.08763206960845
01/2024,,886,804.5,1.10130515848353
01/2025,,787,804.5,0.978247358607831
02/2020,,695,830,0.837349397590361
02/2021,,303,814,0.372235872235872
02/2022,,679,814,0.834152334152334
02/2023,,937,814,1.15110565110565
02/2024,,844,830,1.01686746987952
02/2025,,713,814,0.875921375921376
03/2020,,494,772,0.639896373056995
03/2021,,463,772,0.599740932642487
03/2022,,656,772,0.849740932642487
03/2023,,917,772,1.18782383419689
03/2024,,771,772,0.998704663212435
03/2025,,704,772,0.911917098445596
04/2020,,180,708.5,0.254057868736768
04/2021,,348,708.5,0.491178546224418
04/2022,,695,708.5,0.980945659844742
04/2023,,889,708.5,1.25476358503881
04/2024,,643,708.5,0.907551164431898
04/2025,,797,708.5,1.12491178546224
05/2020,,232,769,0.301690507152146
05/2021,,398,769,0.517555266579974
05/2022,,653,769,0.849154746423927
05/2023,,810,769,1.05331599479844
05/2024,,858,769,1.11573472041612
05/2025,,784,769,1.01950585175553
06/2020,,338,769.5,0.439246263807667
06/2021,,571,769.5,0.742040285899935
06/2022,,743,769.5,0.965562053281351
06/2023,,1035,769.5,1.34502923976608
06/2024,,619,769.5,0.80441845354126
06/2025,,727,769.5,0.944769330734243
07/2020,,379,752.5,0.503654485049834
07/2021,,456,752.5,0.605980066445183
07/2022,,820,752.5,1.08970099667774
07/2023,,771,752.5,1.02458471760797
07/2024,,879,752.5,1.16810631229236
07/2025,,948,752.5,1.25980066445183
08/2020,,509,776.5,0.655505473277527
08/2021,,483,776.5,0.62202189311011
08/2022,,933,776.5,1.20154539600773
08/2023,,866,776.5,1.1152607855763
08/2024,,834,776.5,1.07405022537025
08/2025,,962,776.5,1.23889246619446
09/2020,,485,577,0.840554592720971
09/2021,,710,577,1.23050259965338
09/2022,,823,577,1.4263431542461
09/2023,,473,577,0.819757365684575
09/2024,,856,577,1.48353552859619
09/2025,,817,577,1.4159445407279
10/2020,,410,850.5,0.48206937095826
10/2021,,681,850.5,0.800705467372134
10/2022,,958,850.5,1.12639623750735
10/2023,,1059,850.5,1.24514991181658
10/2024,,811,850.5,0.953556731334509
10/2025,,739,850.5,0.868900646678424
11/2020,,325,710.5,0.457424349049965
11/2021,,489,710.5,0.688247712878255
11/2022,,854,710.5,1.20197044334975
11/2023,,830,710.5,1.16819141449683
11/2024,,700,710.5,0.985221674876847
11/2025,,661,710.5,0.930330752990852
12/2020,,432,558.5,0.773500447627574
12/2021,,391,558.5,0.700089525514772
12/2022,,533,558.5,0.954341987466428
12/2023,,408,558.5,0.730528200537153
12/2024,,779,558.5,1.39480752014324
12/2025,,619,558.5,1.10832587287377
