group,month,month_last_day,month_filings,avg_filings,month_diff
White,06/2022,,363,358,1.01396648044693
White,07/2022,,363,400,0.9075
White,08/2022,,438,406.5,1.07749077490775
White,09/2022,,365,364.25,1.00205902539465
White,10/2022,,419,359.5,1.16550764951321
White,11/2022,05/11/2022,21,48.25,0.435233160621762
Black,06/2022,,159,284,0.559859154929578
Black,07/2022,,195,309.25,0.63055780113177
Black,08/2022,,183,284,0.644366197183099
Black,09/2022,,213,281,0.758007117437722
Black,10/2022,,256,248,1.03225806451613
Black,11/2022,05/11/2022,12,33.25,0.360902255639098
Latinx,06/2022,,12,16,0.75
Latinx,07/2022,,17,19.25,0.883116883116883
Latinx,08/2022,,27,17.5,1.54285714285714
Latinx,09/2022,,30,20,1.5
Latinx,10/2022,,16,18.75,0.853333333333333
Latinx,11/2022,05/11/2022,0,2.75,0
Other,06/2022,,153,145.25,1.05335628227194
Other,07/2022,,184,178,1.03370786516854
Other,08/2022,,186,170.75,1.08931185944363
Other,09/2022,,158,139,1.13669064748201
Other,10/2022,,161,141.25,1.13982300884956
Other,11/2022,05/11/2022,3,19.75,0.151898734177215
