month,month_last_day,month_filings,avg_filings,percentage_diff
Jan-20,,3038,3255,0.933333333
Jan-21,,1828,3255,0.561597542
Jan-22,,4261,3255,1.30906298
Feb-20,,2991,2789.25,1.072331272
Feb-21,,2103,2771.5,0.758794876
Feb-22,,4488,2771.5,1.619339708
Mar-20,,1161,2623.25,0.442580768
Mar-21,,2751,2623.25,1.048699133
Mar-22,,4561,2623.25,1.738682931
Apr-20,,66,2798.75,0.023581956
Apr-21,,2088,2798.75,0.746047343
Apr-22,,4016,2798.75,1.434926306
May-20,,115,3101.75,0.037075844
May-21,,1995,3101.75,0.643185299
May-22,,3844,3101.75,1.239300395
Jun-20,,157,3223.25,0.048708602
Jun-21,,4281,3223.25,1.328162569
Jun-22,,5074,3223.25,1.574187544
Jul-20,,256,3064,0.083550914
Jul-21,,3490,3064,1.139033943
Jul-22,,5117,3064,1.670039164
Aug-20,,566,3282.5,0.172429551
Aug-21,,3589,3282.5,1.093373953
Aug-22,,5554,3282.5,1.692003046
Sep-20,,825,3181.75,0.259291271
Sep-21,,3805,3181.75,1.195882769
Sep-22,30/9/2022,5076,3181.75,1.595348472
Oct-20,,3307,3185.5,1.038141579
Oct-21,,4253,3185.5,1.335112227
Nov-20,,5018,3016.25,1.663655201
Nov-21,,3855,3016.25,1.278077082
Dec-20,,2749,3002.25,0.915646598
Dec-21,,4018,3002.25,1.338329586
