group,month,month_last_day,month_filings,avg_filings,month_diff
White,02/2022,,880,450.5,1.95338512763596
White,03/2022,,839,437,1.91990846681922
White,04/2022,,818,450,1.81777777777778
White,05/2022,,648,498.75,1.29924812030075
White,06/2022,,886,495.5,1.78809283551968
White,07/2022,30/07/2022,893,456.25,1.9572602739726
Black,02/2022,,21,20,1.05
Black,03/2022,,23,18.5,1.24324324324324
Black,04/2022,,12,21.75,0.551724137931035
Black,05/2022,,17,22,0.772727272727273
Black,06/2022,,30,24,1.25
Black,07/2022,30/07/2022,29,19.5,1.48717948717949
Latinx,02/2022,,1001,710,1.40985915492958
Latinx,03/2022,,1017,655.75,1.55089592070149
Latinx,04/2022,,951,713.5,1.33286615276804
Latinx,05/2022,,918,805.25,1.14001862775536
Latinx,06/2022,,1158,857,1.3512252042007
Latinx,07/2022,30/07/2022,1041,773.25,1.3462657613967
Other,02/2022,,2578,1582.5,1.62906793048973
Other,03/2022,,2676,1505,1.778073089701
Other,04/2022,,2226,1605.5,1.38648396138275
Other,05/2022,,2257,1767.25,1.2771254774367
Other,06/2022,,2994,1837.25,1.62960947067628
Other,07/2022,30/07/2022,3086,1734,1.77970011534025
