type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Census Tract,32003000101,Latinx,01/2016,6,,2024-06-08
Census Tract,32003000101,Latinx,04/2016,2,,2024-06-08
Census Tract,32003000101,Latinx,05/2016,1,,2024-06-08
Census Tract,32003000101,Latinx,06/2016,6,,2024-06-08
Census Tract,32003000101,Latinx,07/2016,2,,2024-06-08
Census Tract,32003000101,Latinx,08/2016,3,,2024-06-08
Census Tract,32003000101,Latinx,09/2016,2,,2024-06-08
Census Tract,32003000101,Latinx,10/2016,5,,2024-06-08
Census Tract,32003000101,Latinx,12/2016,1,,2024-06-08
Census Tract,32003000101,Latinx,01/2017,3,,2024-06-08
Census Tract,32003000101,Latinx,02/2017,1,,2024-06-08
Census Tract,32003000101,Latinx,03/2017,2,,2024-06-08
Census Tract,32003000101,Latinx,04/2017,2,,2024-06-08
Census Tract,32003000101,Latinx,05/2017,1,,2024-06-08
Census Tract,32003000101,Latinx,06/2017,3,,2024-06-08
Census Tract,32003000101,Latinx,07/2017,4,,2024-06-08
Census Tract,32003000101,Latinx,08/2017,3,,2024-06-08
Census Tract,32003000101,Latinx,10/2017,7,,2024-06-08
Census Tract,32003000101,Latinx,11/2017,1,,2024-06-08
Census Tract,32003000101,Latinx,12/2017,2,,2024-06-08
Census Tract,32003000101,Latinx,01/2018,6,,2024-06-08
Census Tract,32003000101,Latinx,02/2018,3,,2024-06-08
Census Tract,32003000101,Latinx,03/2018,2,,2024-06-08
Census Tract,32003000101,Latinx,04/2018,1,,2024-06-08
Census Tract,32003000101,Latinx,05/2018,4,,2024-06-08
Census Tract,32003000101,Latinx,06/2018,3,,2024-06-08
Census Tract,32003000101,Latinx,07/2018,4,,2024-06-08
Census Tract,32003000101,Latinx,08/2018,3,,2024-06-08
Census Tract,32003000101,Latinx,09/2018,6,,2024-06-08
Census Tract,32003000101,Latinx,10/2018,1,,2024-06-08
Census Tract,32003000101,Latinx,11/2018,1,,2024-06-08
Census Tract,32003000101,Latinx,12/2018,5,,2024-06-08
Census Tract,32003000101,Latinx,01/2019,1,,2024-06-08
Census Tract,32003000101,Latinx,02/2019,4,,2024-06-08
Census Tract,32003000101,Latinx,03/2019,2,,2024-06-08
Census Tract,32003000101,Latinx,04/2019,3,,2024-06-08
Census Tract,32003000101,Latinx,05/2019,6,,2024-06-08
Census Tract,32003000101,Latinx,06/2019,4,,2024-06-08
Census Tract,32003000101,Latinx,07/2019,4,,2024-06-08
Census Tract,32003000101,Latinx,08/2019,4,,2024-06-08
Census Tract,32003000101,Latinx,09/2019,5,,2024-06-08
Census Tract,32003000101,Latinx,10/2019,2,,2024-06-08
Census Tract,32003000101,Latinx,11/2019,2,,2024-06-08
Census Tract,32003000101,Latinx,12/2019,4,,2024-06-08
Census Tract,32003000101,Latinx,01/2020,3,4,2024-06-08
Census Tract,32003000101,Latinx,02/2020,4,2,2024-06-08
Census Tract,32003000101,Latinx,03/2020,1,1.5,2024-06-08
Census Tract,32003000101,Latinx,04/2020,0,2,2024-06-08
Census Tract,32003000101,Latinx,05/2020,1,3,2024-06-08
Census Tract,32003000101,Latinx,06/2020,1,4.25,2024-06-08
Census Tract,32003000101,Latinx,07/2020,2,3.5,2024-06-08
Census Tract,32003000101,Latinx,08/2020,1,3.25,2024-06-08
Census Tract,32003000101,Latinx,09/2020,2,3.25,2024-06-08
Census Tract,32003000101,Latinx,10/2020,2,3.75,2024-06-08
Census Tract,32003000101,Latinx,11/2020,1,1,2024-06-08
Census Tract,32003000101,Latinx,12/2020,1,3,2024-06-08
Census Tract,32003000101,Latinx,01/2021,2,4,2024-06-08
Census Tract,32003000101,Latinx,02/2021,4,2,2024-06-08
Census Tract,32003000101,Latinx,03/2021,1,1.5,2024-06-08
Census Tract,32003000101,Latinx,04/2021,5,2,2024-06-08
Census Tract,32003000101,Latinx,05/2021,2,3,2024-06-08
Census Tract,32003000101,Latinx,06/2021,5,4.25,2024-06-08
Census Tract,32003000101,Latinx,07/2021,1,3.5,2024-06-08
Census Tract,32003000101,Latinx,08/2021,6,3.25,2024-06-08
Census Tract,32003000101,Latinx,09/2021,3,3.25,2024-06-08
Census Tract,32003000101,Latinx,10/2021,0,3.75,2024-06-08
Census Tract,32003000101,Latinx,11/2021,3,1,2024-06-08
Census Tract,32003000101,Latinx,12/2021,7,3,2024-06-08
Census Tract,32003000101,Latinx,01/2022,4,4,2024-06-08
Census Tract,32003000101,Latinx,02/2022,4,2,2024-06-08
Census Tract,32003000101,Latinx,03/2022,3,1.5,2024-06-08
Census Tract,32003000101,Latinx,04/2022,4,2,2024-06-08
Census Tract,32003000101,Latinx,05/2022,1,3,2024-06-08
Census Tract,32003000101,Latinx,06/2022,5,4.25,2024-06-08
Census Tract,32003000101,Latinx,07/2022,2,3.5,2024-06-08
Census Tract,32003000101,Latinx,08/2022,4,3.25,2024-06-08
Census Tract,32003000101,Latinx,09/2022,5,3.25,2024-06-08
Census Tract,32003000101,Latinx,10/2022,4,3.75,2024-06-08
Census Tract,32003000101,Latinx,11/2022,2,1,2024-06-08
Census Tract,32003000101,Latinx,12/2022,3,3,2024-06-08
Census Tract,32003000101,Latinx,01/2023,0,4,2024-06-08
Census Tract,32003000101,Latinx,02/2023,1,2,2024-06-08
Census Tract,32003000101,Latinx,03/2023,2,1.5,2024-06-08
Census Tract,32003000101,Latinx,04/2023,4,2,2024-06-08
Census Tract,32003000101,Latinx,05/2023,1,3,2024-06-08
Census Tract,32003000101,Latinx,06/2023,2,4.25,2024-06-08
Census Tract,32003000101,Latinx,07/2023,1,3.5,2024-06-08
Census Tract,32003000101,Latinx,08/2023,7,3.25,2024-06-08
Census Tract,32003000101,Latinx,09/2023,3,3.25,2024-06-08
Census Tract,32003000101,Latinx,10/2023,5,3.75,2024-06-08
Census Tract,32003000101,Latinx,11/2023,2,1,2024-06-08
Census Tract,32003000101,Latinx,12/2023,1,3,2024-06-08
Census Tract,32003000101,Latinx,01/2024,2,4,2024-06-08
Census Tract,32003000101,Latinx,02/2024,3,2,2024-06-08
Census Tract,32003000101,Latinx,03/2024,3,1.5,2024-06-08
Census Tract,32003000101,Latinx,04/2024,4,2,2024-06-08
Census Tract,32003000101,Latinx,05/2024,0,3,2024-06-08
Census Tract,32003000101,Latinx,06/2024,0,1,2024-06-08
Census Tract,32003000103,Latinx,01/2016,12,,2024-06-08
Census Tract,32003000103,Latinx,02/2016,11,,2024-06-08
Census Tract,32003000103,Latinx,03/2016,9,,2024-06-08
Census Tract,32003000103,Latinx,04/2016,13,,2024-06-08
Census Tract,32003000103,Latinx,05/2016,14,,2024-06-08
Census Tract,32003000103,Latinx,06/2016,15,,2024-06-08
Census Tract,32003000103,Latinx,07/2016,5,,2024-06-08
Census Tract,32003000103,Latinx,08/2016,23,,2024-06-08
Census Tract,32003000103,Latinx,09/2016,10,,2024-06-08
Census Tract,32003000103,Latinx,10/2016,14,,2024-06-08
Census Tract,32003000103,Latinx,11/2016,9,,2024-06-08
Census Tract,32003000103,Latinx,12/2016,6,,2024-06-08
Census Tract,32003000103,Latinx,01/2017,11,,2024-06-08
Census Tract,32003000103,Latinx,02/2017,11,,2024-06-08
Census Tract,32003000103,Latinx,03/2017,9,,2024-06-08
Census Tract,32003000103,Latinx,04/2017,7,,2024-06-08
Census Tract,32003000103,Latinx,05/2017,9,,2024-06-08
Census Tract,32003000103,Latinx,06/2017,15,,2024-06-08
Census Tract,32003000103,Latinx,07/2017,17,,2024-06-08
Census Tract,32003000103,Latinx,08/2017,15,,2024-06-08
Census Tract,32003000103,Latinx,09/2017,16,,2024-06-08
Census Tract,32003000103,Latinx,10/2017,6,,2024-06-08
Census Tract,32003000103,Latinx,11/2017,10,,2024-06-08
Census Tract,32003000103,Latinx,12/2017,7,,2024-06-08
Census Tract,32003000103,Latinx,01/2018,6,,2024-06-08
Census Tract,32003000103,Latinx,02/2018,16,,2024-06-08
Census Tract,32003000103,Latinx,03/2018,11,,2024-06-08
Census Tract,32003000103,Latinx,04/2018,12,,2024-06-08
Census Tract,32003000103,Latinx,05/2018,10,,2024-06-08
Census Tract,32003000103,Latinx,06/2018,15,,2024-06-08
Census Tract,32003000103,Latinx,07/2018,7,,2024-06-08
Census Tract,32003000103,Latinx,08/2018,7,,2024-06-08
Census Tract,32003000103,Latinx,09/2018,17,,2024-06-08
Census Tract,32003000103,Latinx,10/2018,8,,2024-06-08
Census Tract,32003000103,Latinx,11/2018,8,,2024-06-08
Census Tract,32003000103,Latinx,12/2018,9,,2024-06-08
Census Tract,32003000103,Latinx,01/2019,13,,2024-06-08
Census Tract,32003000103,Latinx,02/2019,8,,2024-06-08
Census Tract,32003000103,Latinx,03/2019,8,,2024-06-08
Census Tract,32003000103,Latinx,04/2019,8,,2024-06-08
Census Tract,32003000103,Latinx,05/2019,16,,2024-06-08
Census Tract,32003000103,Latinx,06/2019,4,,2024-06-08
Census Tract,32003000103,Latinx,07/2019,13,,2024-06-08
Census Tract,32003000103,Latinx,08/2019,6,,2024-06-08
Census Tract,32003000103,Latinx,09/2019,5,,2024-06-08
Census Tract,32003000103,Latinx,10/2019,9,,2024-06-08
Census Tract,32003000103,Latinx,11/2019,10,,2024-06-08
Census Tract,32003000103,Latinx,12/2019,16,,2024-06-08
Census Tract,32003000103,Latinx,01/2020,10,10.5,2024-06-08
Census Tract,32003000103,Latinx,02/2020,4,11.25,2024-06-08
Census Tract,32003000103,Latinx,03/2020,4,9.25,2024-06-08
Census Tract,32003000103,Latinx,04/2020,0,10,2024-06-08
Census Tract,32003000103,Latinx,05/2020,2,12.25,2024-06-08
Census Tract,32003000103,Latinx,06/2020,0,12.25,2024-06-08
Census Tract,32003000103,Latinx,07/2020,2,10.5,2024-06-08
Census Tract,32003000103,Latinx,08/2020,3,12.75,2024-06-08
Census Tract,32003000103,Latinx,09/2020,2,12,2024-06-08
Census Tract,32003000103,Latinx,10/2020,9,9.25,2024-06-08
Census Tract,32003000103,Latinx,11/2020,14,9.25,2024-06-08
Census Tract,32003000103,Latinx,12/2020,20,9.5,2024-06-08
Census Tract,32003000103,Latinx,01/2021,5,10.5,2024-06-08
Census Tract,32003000103,Latinx,02/2021,4,11.25,2024-06-08
Census Tract,32003000103,Latinx,03/2021,4,9.25,2024-06-08
Census Tract,32003000103,Latinx,04/2021,11,10,2024-06-08
Census Tract,32003000103,Latinx,05/2021,12,12.25,2024-06-08
Census Tract,32003000103,Latinx,06/2021,16,12.25,2024-06-08
Census Tract,32003000103,Latinx,07/2021,7,10.5,2024-06-08
Census Tract,32003000103,Latinx,08/2021,15,12.75,2024-06-08
Census Tract,32003000103,Latinx,09/2021,12,12,2024-06-08
Census Tract,32003000103,Latinx,10/2021,15,9.25,2024-06-08
Census Tract,32003000103,Latinx,11/2021,10,9.25,2024-06-08
Census Tract,32003000103,Latinx,12/2021,15,9.5,2024-06-08
Census Tract,32003000103,Latinx,01/2022,15,10.5,2024-06-08
Census Tract,32003000103,Latinx,02/2022,20,11.25,2024-06-08
Census Tract,32003000103,Latinx,03/2022,10,9.25,2024-06-08
Census Tract,32003000103,Latinx,04/2022,21,10,2024-06-08
Census Tract,32003000103,Latinx,05/2022,12,12.25,2024-06-08
Census Tract,32003000103,Latinx,06/2022,24,12.25,2024-06-08
Census Tract,32003000103,Latinx,07/2022,9,10.5,2024-06-08
Census Tract,32003000103,Latinx,08/2022,12,12.75,2024-06-08
Census Tract,32003000103,Latinx,09/2022,14,12,2024-06-08
Census Tract,32003000103,Latinx,10/2022,14,9.25,2024-06-08
Census Tract,32003000103,Latinx,11/2022,14,9.25,2024-06-08
Census Tract,32003000103,Latinx,12/2022,13,9.5,2024-06-08
Census Tract,32003000103,Latinx,01/2023,13,10.5,2024-06-08
Census Tract,32003000103,Latinx,02/2023,6,11.25,2024-06-08
Census Tract,32003000103,Latinx,03/2023,9,9.25,2024-06-08
Census Tract,32003000103,Latinx,04/2023,14,10,2024-06-08
Census Tract,32003000103,Latinx,05/2023,14,12.25,2024-06-08
Census Tract,32003000103,Latinx,06/2023,12,12.25,2024-06-08
Census Tract,32003000103,Latinx,07/2023,10,10.5,2024-06-08
Census Tract,32003000103,Latinx,08/2023,23,12.75,2024-06-08
Census Tract,32003000103,Latinx,09/2023,8,12,2024-06-08
Census Tract,32003000103,Latinx,10/2023,13,9.25,2024-06-08
Census Tract,32003000103,Latinx,11/2023,18,9.25,2024-06-08
Census Tract,32003000103,Latinx,12/2023,14,9.5,2024-06-08
Census Tract,32003000103,Latinx,01/2024,13,10.5,2024-06-08
Census Tract,32003000103,Latinx,02/2024,11,11.25,2024-06-08
Census Tract,32003000103,Latinx,03/2024,7,9.25,2024-06-08
Census Tract,32003000103,Latinx,04/2024,14,10,2024-06-08
Census Tract,32003000103,Latinx,05/2024,0,12.25,2024-06-08
Census Tract,32003000103,Latinx,06/2024,0,2.25,2024-06-08
Census Tract,32003000105,Latinx,01/2016,3,,2024-06-08
Census Tract,32003000105,Latinx,02/2016,2,,2024-06-08
Census Tract,32003000105,Latinx,03/2016,2,,2024-06-08
Census Tract,32003000105,Latinx,04/2016,3,,2024-06-08
Census Tract,32003000105,Latinx,05/2016,3,,2024-06-08
Census Tract,32003000105,Latinx,06/2016,3,,2024-06-08
Census Tract,32003000105,Latinx,07/2016,3,,2024-06-08
Census Tract,32003000105,Latinx,08/2016,1,,2024-06-08
Census Tract,32003000105,Latinx,09/2016,4,,2024-06-08
Census Tract,32003000105,Latinx,10/2016,1,,2024-06-08
Census Tract,32003000105,Latinx,12/2016,4,,2024-06-08
Census Tract,32003000105,Latinx,01/2017,3,,2024-06-08
Census Tract,32003000105,Latinx,02/2017,2,,2024-06-08
Census Tract,32003000105,Latinx,03/2017,4,,2024-06-08
Census Tract,32003000105,Latinx,04/2017,4,,2024-06-08
Census Tract,32003000105,Latinx,05/2017,2,,2024-06-08
Census Tract,32003000105,Latinx,06/2017,3,,2024-06-08
