group,month,month_last_day,month_filings,avg_filings,month_diff
White,January,,2300,2263.4,1.01617036317045
White,February,,2261,1823.8,1.23971926746354
White,March,,1614,1682.8,0.959115759448538
White,April,,560,1848,0.303030303030303
White,May,,538,2026.8,0.265443062956384
White,June,,565,2139.8,0.264043368539116
White,July,,674,2313.4,0.291346070718423
White,August,,776,2332.2,0.332733041763142
White,September,,1076,2258.2,0.476485696572491
Latinx,January,,1557,1606.6,0.969127349682559
Latinx,February,,1414,1328.8,1.06411800120409
Latinx,March,,927,1127,0.822537710736469
Latinx,April,,633,1307.4,0.484167049105094
Latinx,May,,497,1466.8,0.338832833378784
Latinx,June,,553,1560.8,0.354305484366991
Latinx,July,,543,1657.2,0.327661115133961
Latinx,August,,733,1705.6,0.429760787992495
Latinx,September,,889,1578.6,0.563157227923477
Other,January,,1462,1519,0.962475312705728
Other,February,,1388,1221.2,1.13658696364232
Other,March,,979,1114.4,0.878499641062455
Other,April,,365,1270.4,0.287311083123426
Other,May,,307,1432.2,0.214355536936182
Other,June,,330,1549,0.213040671400904
Other,July,,370,1649.8,0.224269608437386
Other,August,,449,1622,0.276818742293465
Other,September,,684,1585,0.431545741324921
