month,month_last_day,month_filings,avg_filings,percentage_diff
January,,2504,2471.75,1.01304743602711
February,,2147,2135.75,1.00526747044364
March,,1227,1759.75,0.697258133257565
April,,353,1958.75,0.180216975111678
May,,665,2314,0.287381158167675
June,,1047,2414,0.433719966859983
July,,1190,2539,0.468688460023631
August,,1202,2649.75,0.453627700726484
September,,1455,2364,0.615482233502538
October,,1628,2387.75,0.681813422678254
November,,1377,2110.5,0.652452025586354
December,12/12/2020,441,689.5,0.639593908629442
