group,month,month_last_day,month_filings,avg_filings,month_diff
White,01/2023,,176,272,0.647058823529412
White,02/2023,,121,210.25,0.57550535077289
White,03/2023,04/03/2023,1,23.25,0.0430107526881721
White,10/2022,,310,235,1.31914893617021
White,11/2022,,270,236.75,1.14044350580781
White,12/2022,,383,215.5,1.77726218097448
Black,01/2023,,1050,1950.25,0.538392513780285
Black,02/2023,,679,1691.25,0.401478196600148
Black,03/2023,04/03/2023,22,153.25,0.143556280587276
Black,10/2022,,2125,1933.5,1.09904318593225
Black,11/2022,,1967,1688.75,1.16476683937824
Black,12/2022,,1695,1551.25,1.09266720386785
Latinx,01/2023,,1,3.25,0.307692307692308
Latinx,02/2023,,0,2.25,0
Latinx,03/2023,04/03/2023,0,0.25,0
Latinx,10/2022,,0,2,0
Latinx,11/2022,,0,2.25,0
Latinx,12/2022,,2,1.25,1.6
Other,01/2023,,158,224,0.705357142857143
Other,02/2023,,143,194.75,0.734274711168164
Other,03/2023,04/03/2023,1,13.5,0.0740740740740741
Other,10/2022,,247,197.5,1.25063291139241
Other,11/2022,,222,167.25,1.32735426008969
Other,12/2022,,215,184.5,1.16531165311653
