type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Census Tract,47157000100,White,01/2020,5,8,2025-03-15
Census Tract,47157000100,White,02/2020,9,3.75,2025-03-15
Census Tract,47157000100,White,03/2020,6,5,2025-03-15
Census Tract,47157000100,White,04/2020,0,4.25,2025-03-15
Census Tract,47157000100,White,05/2020,0,3.75,2025-03-15
Census Tract,47157000100,White,06/2020,1,4,2025-03-15
Census Tract,47157000100,White,07/2020,0,6.5,2025-03-15
Census Tract,47157000100,White,08/2020,0,5.75,2025-03-15
Census Tract,47157000100,White,09/2020,1,7.25,2025-03-15
Census Tract,47157000100,White,10/2020,0,4,2025-03-15
Census Tract,47157000100,White,11/2020,0,3.25,2025-03-15
Census Tract,47157000100,White,12/2020,1,4.25,2025-03-15
Census Tract,47157000100,White,01/2021,1,8,2025-03-15
Census Tract,47157000100,White,02/2021,0,3.75,2025-03-15
Census Tract,47157000100,White,03/2021,4,5,2025-03-15
Census Tract,47157000100,White,04/2021,7,4.25,2025-03-15
Census Tract,47157000100,White,05/2021,1,3.75,2025-03-15
Census Tract,47157000100,White,06/2021,1,4,2025-03-15
Census Tract,47157000100,White,07/2021,1,6.5,2025-03-15
Census Tract,47157000100,White,08/2021,11,5.75,2025-03-15
Census Tract,47157000100,White,09/2021,8,7.25,2025-03-15
Census Tract,47157000100,White,10/2021,4,4,2025-03-15
Census Tract,47157000100,White,11/2021,5,3.25,2025-03-15
Census Tract,47157000100,White,12/2021,7,4.25,2025-03-15
Census Tract,47157000100,White,01/2022,9,8,2025-03-15
Census Tract,47157000100,White,02/2022,7,3.75,2025-03-15
Census Tract,47157000100,White,03/2022,5,5,2025-03-15
Census Tract,47157000100,White,04/2022,8,4.25,2025-03-15
Census Tract,47157000100,White,05/2022,1,3.75,2025-03-15
Census Tract,47157000100,White,06/2022,11,4,2025-03-15
Census Tract,47157000100,White,07/2022,5,6.5,2025-03-15
Census Tract,47157000100,White,08/2022,11,5.75,2025-03-15
Census Tract,47157000100,White,09/2022,5,7.25,2025-03-15
Census Tract,47157000100,White,10/2022,7,4,2025-03-15
Census Tract,47157000100,White,11/2022,13,3.25,2025-03-15
Census Tract,47157000100,White,12/2022,4,4.25,2025-03-15
Census Tract,47157000100,White,01/2023,2,8,2025-03-15
Census Tract,47157000100,White,02/2023,3,3.75,2025-03-15
Census Tract,47157000100,White,03/2023,11,5,2025-03-15
Census Tract,47157000100,White,04/2023,4,4.25,2025-03-15
Census Tract,47157000100,White,05/2023,10,3.75,2025-03-15
Census Tract,47157000100,White,06/2023,5,4,2025-03-15
Census Tract,47157000100,White,07/2023,6,6.5,2025-03-15
Census Tract,47157000100,White,08/2023,10,5.75,2025-03-15
Census Tract,47157000100,White,09/2023,19,7.25,2025-03-15
Census Tract,47157000100,White,10/2023,7,4,2025-03-15
Census Tract,47157000100,White,11/2023,6,3.25,2025-03-15
Census Tract,47157000100,White,12/2023,9,4.25,2025-03-15
Census Tract,47157000100,White,01/2024,11,8,2025-03-15
Census Tract,47157000100,White,02/2024,11,3.75,2025-03-15
Census Tract,47157000100,White,03/2024,3,5,2025-03-15
Census Tract,47157000100,White,04/2024,7,4.25,2025-03-15
Census Tract,47157000100,White,05/2024,10,3.75,2025-03-15
Census Tract,47157000100,White,06/2024,16,4,2025-03-15
Census Tract,47157000100,White,07/2024,15,6.5,2025-03-15
Census Tract,47157000100,White,08/2024,16,5.75,2025-03-15
Census Tract,47157000100,White,09/2024,10,7.25,2025-03-15
Census Tract,47157000100,White,10/2024,10,4,2025-03-15
Census Tract,47157000100,White,11/2024,1,3.25,2025-03-15
Census Tract,47157000100,White,12/2024,4,4.25,2025-03-15
Census Tract,47157000100,White,01/2025,1,8,2025-03-15
Census Tract,47157000100,White,02/2025,2,3.75,2025-03-15
Census Tract,47157000100,White,03/2025,0,2,2025-03-15
Census Tract,47157000200,Black,01/2020,7,6.75,2025-03-15
Census Tract,47157000200,Black,02/2020,6,4.5,2025-03-15
Census Tract,47157000200,Black,03/2020,1,6,2025-03-15
Census Tract,47157000200,Black,04/2020,1,5,2025-03-15
Census Tract,47157000200,Black,05/2020,2,3,2025-03-15
Census Tract,47157000200,Black,06/2020,0,5.75,2025-03-15
Census Tract,47157000200,Black,07/2020,4,5.5,2025-03-15
Census Tract,47157000200,Black,08/2020,1,4.25,2025-03-15
Census Tract,47157000200,Black,09/2020,2,3.75,2025-03-15
Census Tract,47157000200,Black,10/2020,1,4.75,2025-03-15
Census Tract,47157000200,Black,11/2020,0,4.5,2025-03-15
Census Tract,47157000200,Black,12/2020,1,2.75,2025-03-15
Census Tract,47157000200,Black,01/2021,1,6.75,2025-03-15
Census Tract,47157000200,Black,02/2021,0,4.5,2025-03-15
Census Tract,47157000200,Black,03/2021,0,6,2025-03-15
Census Tract,47157000200,Black,04/2021,3,5,2025-03-15
Census Tract,47157000200,Black,05/2021,2,3,2025-03-15
Census Tract,47157000200,Black,06/2021,3,5.75,2025-03-15
Census Tract,47157000200,Black,07/2021,1,5.5,2025-03-15
Census Tract,47157000200,Black,08/2021,1,4.25,2025-03-15
Census Tract,47157000200,Black,09/2021,8,3.75,2025-03-15
Census Tract,47157000200,Black,10/2021,4,4.75,2025-03-15
Census Tract,47157000200,Black,11/2021,1,4.5,2025-03-15
