group,month,month_last_day,month_filings,avg_filings,month_diff
White,01/2020,,219,180.2,1.21531631520533
White,02/2020,,208,157.4,1.32147395171537
White,03/2020,,93,152,0.611842105263158
White,04/2020,,1,166.2,0.00601684717208183
White,05/2020,,17,189,0.0899470899470899
White,06/2020,,264,192,1.375
White,07/2020,,239,202.2,1.18199802176063
White,08/2020,,148,223.2,0.663082437275986
White,09/2020,,93,185.6,0.501077586206897
White,10/2020,,124,181.2,0.684326710816777
White,11/2020,,91,145.8,0.624142661179698
White,12/2020,,182,145.6,1.25
Black,01/2020,,854,717.8,1.18974644747841
Black,02/2020,,659,520.4,1.2663335895465
Black,03/2020,,265,541.4,0.489471739933506
Black,04/2020,,5,707.2,0.00707013574660633
Black,05/2020,,29,798.4,0.0363226452905812
Black,06/2020,,978,813,1.2029520295203
Black,07/2020,,925,805.8,1.14792752544056
Black,08/2020,,529,847.2,0.624409820585458
Black,09/2020,,316,801.2,0.394408387418872
Black,10/2020,,359,753.4,0.476506503849217
Black,11/2020,,392,634.6,0.617711944531989
Black,12/2020,,367,618.8,0.593083387201034
Latinx,01/2020,,112,109.8,1.0200364298725
Latinx,02/2020,,77,85.4,0.901639344262295
Latinx,03/2020,,31,88.8,0.349099099099099
Latinx,04/2020,,0,103.2,0
Latinx,05/2020,,11,110.4,0.0996376811594203
Latinx,06/2020,,121,130.6,0.926493108728943
Latinx,07/2020,,116,130.4,0.889570552147239
Latinx,08/2020,,110,123.4,0.891410048622366
Latinx,09/2020,,48,125.2,0.383386581469649
Latinx,10/2020,,62,111,0.558558558558559
Latinx,11/2020,,56,87.4,0.640732265446224
Latinx,12/2020,,77,100,0.77
Other,01/2020,,111,89.2,1.24439461883408
Other,02/2020,,105,72.2,1.45429362880886
Other,03/2020,,33,70.2,0.47008547008547
Other,04/2020,,1,82,0.0121951219512195
Other,05/2020,,2,88.6,0.0225733634311512
Other,06/2020,,83,105,0.79047619047619
Other,07/2020,,64,93.8,0.682302771855011
Other,08/2020,,44,104,0.423076923076923
Other,09/2020,,47,102.6,0.458089668615985
Other,10/2020,,78,91.6,0.851528384279476
Other,11/2020,,44,82.8,0.531400966183575
Other,12/2020,,48,80.8,0.594059405940594
,01/2020,,2,0,Inf
,03/2020,,1,0,Inf
,05/2020,,2,0,Inf
,06/2020,,1,0,Inf
,07/2020,,3,0,Inf
,08/2020,,1,0,Inf
,10/2020,,1,0,Inf
