group,month,month_last_day,month_filings,avg_filings,month_diff
White,January,,219,177,1.23728813559322
White,February,,208,157.4,1.32147395171537
White,March,,93,152,0.611842105263158
White,April,,1,166.2,0.00601684717208183
White,May,02/05/2020,0,13.2,0
Black,January,,854,705.4,1.21066061808903
Black,February,,659,520.4,1.2663335895465
Black,March,,265,541.4,0.489471739933506
Black,April,,5,707.2,0.00707013574660633
Black,May,02/05/2020,0,37.4,0
Latinx,January,,112,107.8,1.03896103896104
Latinx,February,,77,85.4,0.901639344262295
Latinx,March,,31,88.8,0.349099099099099
Latinx,April,,0,103.2,0
Latinx,May,02/05/2020,0,5,0
Other,January,,111,87.6,1.26712328767123
Other,February,,105,72.2,1.45429362880886
Other,March,,33,70.2,0.47008547008547
Other,April,,1,82,0.0121951219512195
Other,May,02/05/2020,0,3.8,0
