month,month_last_day,month_filings,avg_filings,percentage_diff
01/2020,,702,768,0.9140625
01/2021,,69,768,0.08984375
01/2022,,398,768,0.518229166666667
01/2023,,1310,768,1.70572916666667
01/2024,,591,768,0.76953125
02/2020,,536,602,0.890365448504983
02/2021,,68,599.25,0.113475177304965
02/2022,,536,599.25,0.894451397580309
02/2023,,1270,599.25,2.11931581143096
02/2024,,979,602,1.62624584717608
03/2020,,299,582.875,0.512974479948531
03/2021,,77,582.875,0.132103795839588
03/2022,,774,582.875,1.32790049324469
03/2023,,1298,582.875,2.22689255843877
03/2024,,1040,582.875,1.78425906069054
04/2020,,23,633.625,0.0362990727954232
04/2021,,75,633.625,0.118366541724206
04/2022,,973,633.625,1.53560860130203
04/2023,,1090,633.625,1.72026040639179
04/2024,,853,633.625,1.3462221345433
05/2020,,17,680.75,0.0249724568490635
05/2021,,66,680.75,0.0969518912963643
05/2022,,897,680.75,1.31766434080059
05/2023,,1361,680.75,1.99926551597503
05/2024,,1022,680.75,1.5012853470437
06/2020,,32,729.25,0.0438806993486459
06/2021,,66,729.25,0.0905039424065821
06/2022,,1455,729.25,1.99520054850874
06/2023,,1192,729.25,1.63455605073706
06/2024,,828,729.25,1.13541309564621
07/2020,,36,763,0.0471821756225426
07/2021,,178,763,0.233289646133683
07/2022,,1335,763,1.74967234600262
07/2023,,1130,763,1.48099606815203
07/2024,,1046,763,1.37090432503277
08/2020,,41,747.375,0.0548586720187322
08/2021,,247,747.375,0.330490048503094
08/2022,,1177,747.375,1.57484529185483
08/2023,,1192,747.375,1.59491553771534
08/2024,,1110,747.375,1.48519819367787
09/2020,,46,690.875,0.0665822326759544
09/2021,,306,690.875,0.442916591279175
09/2022,,1006,690.875,1.45612447982631
09/2023,,1097,690.875,1.58784150533743
09/2024,,1120,690.875,1.62113262167541
10/2020,,61,691.875,0.0881662149954833
10/2021,,386,691.875,0.557904245709124
10/2022,,1071,691.875,1.5479674796748
10/2023,,1183,691.875,1.70984643179765
10/2024,,1050,691.875,1.51761517615176
11/2020,,75,600,0.125
11/2021,,319,600,0.531666666666667
11/2022,,903,600,1.505
11/2023,,895,600,1.49166666666667
11/2024,,1099,600,1.83166666666667
12/2020,,61,640.75,0.0952009364026532
12/2021,,408,640.75,0.636753804135778
12/2022,,1183,640.75,1.84627389777604
12/2023,,1165,640.75,1.81818181818182
