group,month,month_last_day,month_filings,avg_filings,month_diff
White,07/2022,,806,395.25,2.03921568627451
White,08/2022,,668,392.375,1.7024530105129
White,09/2022,,562,364.625,1.54130956462119
White,10/2022,,603,365,1.65205479452055
White,11/2022,,480,330.25,1.45344436033308
White,12/2022,10/12/2022,133,105,1.26666666666667
Black,07/2022,,87,61.25,1.42040816326531
Black,08/2022,,87,58.625,1.48400852878465
Black,09/2022,,56,54.25,1.03225806451613
Black,10/2022,,67,57.25,1.1703056768559
Black,11/2022,,59,47.375,1.24538258575198
Black,12/2022,10/12/2022,14,17,0.823529411764706
Other,07/2022,,382,285.625,1.33741794310722
Other,08/2022,,367,276,1.32971014492754
Other,09/2022,,330,255.5,1.29158512720157
Other,10/2022,,335,255.5,1.31115459882583
Other,11/2022,,292,206.5,1.41404358353511
Other,12/2022,10/12/2022,67,79.875,0.838810641627543
