month,month_last_day,month_filings,avg_filings,percentage_diff
01/2020,,3467,3782.75,0.916528980239244
01/2021,,1913,3782.75,0.505716740466592
01/2022,,2846,3782.75,0.752362699094574
01/2023,,3261,3782.75,0.862071244465006
01/2024,,3487,3782.75,0.921816139052277
02/2020,,2918,2893,1.0086415485655
02/2021,,1558,2871,0.542668059909439
02/2022,,2403,2871,0.836990595611285
02/2023,,3520,2871,1.22605363984674
02/2024,,3199,2893,1.10577255444176
03/2020,,2072,3091.75,0.670170615347295
03/2021,,2115,3091.75,0.684078596264252
03/2022,,2771,3091.75,0.896256165602005
03/2023,,3513,3091.75,1.13624969677367
03/2024,,2705,3091.75,0.874909032101561
04/2020,,635,3232.25,0.196457575991956
04/2021,,1539,3232.25,0.476138912522237
04/2022,,2625,3232.25,0.812127774769897
04/2023,,3226,3232.25,0.998066362441024
04/2024,,2464,3232.25,0.762317271250677
05/2020,,934,3650.5,0.25585536227914
05/2021,,1896,3650.5,0.519380906725106
05/2022,,2587,3650.5,0.708670045199288
05/2023,,2817,3650.5,0.771675112998219
05/2024,,3196,3650.5,0.875496507327763
06/2020,,1278,3763.75,0.339554965127864
06/2021,,2450,3763.75,0.650946529392229
06/2022,,2914,3763.75,0.774227831285287
06/2023,,3777,3763.75,1.00352042510794
06/2024,,2843,3763.75,0.755363666555962
07/2020,,1829,4167,0.438924886009119
07/2021,,2354,4167,0.564914806815455
07/2022,,3158,4167,0.7578593712503
07/2023,,2853,4167,0.684665226781858
07/2024,,3424,4167,0.821694264458843
08/2020,,2146,4013.5,0.534695403014825
08/2021,,2361,4013.5,0.588264606951539
08/2022,,3272,4013.5,0.815248536190358
08/2023,,3413,4013.5,0.850379967609319
08/2024,,3404,4013.5,0.848137535816619
09/2020,,2108,3723,0.566210045662101
09/2021,,2901,3723,0.779210314262691
09/2022,,2969,3723,0.79747515444534
09/2023,,1993,3723,0.535320977706151
09/2024,,3122,3723,0.838571044856299
10/2020,,1852,3762,0.492291334396598
10/2021,,2958,3762,0.78628389154705
10/2022,,3655,3762,0.971557682083998
10/2023,,3682,3762,0.978734715576821
10/2024,,3252,3762,0.864433811802233
11/2020,,1759,3158,0.556998100063331
11/2021,,2210,3158,0.699810006333122
11/2022,,2859,3158,0.905319822672578
11/2023,,3297,3158,1.04401519949335
11/2024,,2642,3158,0.836605446485117
12/2020,,2344,3113,0.752971410215227
12/2021,,1825,3113,0.586251204625763
12/2022,,2733,3113,0.877931256023129
12/2023,,1789,3113,0.574686797301638
12/2024,,2957,3113,0.949887568262127
