month_date,median_claim
2020-01-01,2987.76
2020-02-01,3056.9799999999996
2020-03-01,3048.31
2020-04-01,NA
2020-05-01,NA
2020-06-01,NA
2020-07-01,5320.32
2020-08-01,6267.65
2020-09-01,5944.04
2020-10-01,5841.52
2020-11-01,5685.5
2020-12-01,5593.415
2021-01-01,6594.21
2021-02-01,6328.2
2021-03-01,5697.75
2021-04-01,5818.37
2021-05-01,6231.795
2021-06-01,5914.07
2021-07-01,5550.09
2021-08-01,5152.7
2021-09-01,5550
2021-10-01,5485.55
2021-11-01,5486.360000000001
2021-12-01,5176
2022-01-01,5402.64
2022-02-01,5740
2022-03-01,6440.125
