type,GEOID,racial_majority,week,week_date,week_filings,filings_avg,last_updated
County,35001,Latinx,1,2019-12-29,43,39.6666666666667,2023-04-08
County,35001,Latinx,2,2020-01-05,192,288,2023-04-08
County,35001,Latinx,3,2020-01-12,494,358,2023-04-08
County,35001,Latinx,4,2020-01-19,182,221,2023-04-08
County,35001,Latinx,5,2020-01-26,110,109,2023-04-08
County,35001,Latinx,6,2020-02-02,97,82.3333333333333,2023-04-08
County,35001,Latinx,7,2020-02-09,443,422.333333333333,2023-04-08
County,35001,Latinx,8,2020-02-16,218,232,2023-04-08
County,35001,Latinx,9,2020-02-23,127,103.333333333333,2023-04-08
County,35001,Latinx,10,2020-03-01,55,76.6666666666667,2023-04-08
County,35001,Latinx,11,2020-03-08,392,302.333333333333,2023-04-08
County,35001,Latinx,12,2020-03-15,179,200,2023-04-08
County,35001,Latinx,13,2020-03-22,51,101.333333333333,2023-04-08
County,35001,Latinx,14,2020-03-29,27,64,2023-04-08
County,35001,Latinx,15,2020-04-05,43,257.666666666667,2023-04-08
County,35001,Latinx,16,2020-04-12,156,273.666666666667,2023-04-08
County,35001,Latinx,17,2020-04-19,58,175,2023-04-08
County,35001,Latinx,18,2020-04-26,35,104,2023-04-08
County,35001,Latinx,19,2020-05-03,47,121.666666666667,2023-04-08
County,35001,Latinx,20,2020-05-10,114,375.666666666667,2023-04-08
County,35001,Latinx,21,2020-05-17,70,186.333333333333,2023-04-08
County,35001,Latinx,22,2020-05-24,40,132.333333333333,2023-04-08
County,35001,Latinx,23,2020-05-31,57,92.3333333333333,2023-04-08
County,35001,Latinx,24,2020-06-07,67,359.666666666667,2023-04-08
County,35001,Latinx,25,2020-06-14,112,305,2023-04-08
County,35001,Latinx,26,2020-06-21,51,158.333333333333,2023-04-08
County,35001,Latinx,27,2020-06-28,42,83,2023-04-08
County,35001,Latinx,28,2020-07-05,72,239,2023-04-08
County,35001,Latinx,29,2020-07-12,97,414.666666666667,2023-04-08
County,35001,Latinx,30,2020-07-19,64,205,2023-04-08
County,35001,Latinx,31,2020-07-26,34,112,2023-04-08
County,35001,Latinx,32,2020-08-02,48,103.666666666667,2023-04-08
County,35001,Latinx,33,2020-08-09,135,436,2023-04-08
County,35001,Latinx,34,2020-08-16,63,258.333333333333,2023-04-08
County,35001,Latinx,35,2020-08-23,139,171.333333333333,2023-04-08
County,35001,Latinx,36,2020-08-30,100,73.3333333333333,2023-04-08
County,35001,Latinx,37,2020-09-06,68,346,2023-04-08
County,35001,Latinx,38,2020-09-13,108,351.666666666667,2023-04-08
County,35001,Latinx,39,2020-09-20,70,182.666666666667,2023-04-08
County,35001,Latinx,40,2020-09-27,91,90.6666666666667,2023-04-08
County,35001,Latinx,41,2020-10-04,55,172.666666666667,2023-04-08
County,35001,Latinx,42,2020-10-11,142,458.666666666667,2023-04-08
County,35001,Latinx,43,2020-10-18,128,226.333333333333,2023-04-08
