type,GEOID,month,filings_2020,filings_avg,last_updated
Census Tract,35001000107,01/2020,8,5.33333333333333,2022-02-12
Census Tract,35001000107,02/2020,14,9,2022-02-12
Census Tract,35001000107,03/2020,10,5.66666666666667,2022-02-12
Census Tract,35001000107,04/2020,5,8.33333333333333,2022-02-12
Census Tract,35001000107,05/2020,0,6.66666666666667,2022-02-12
Census Tract,35001000107,06/2020,0,11.3333333333333,2022-02-12
Census Tract,35001000107,07/2020,2,7.33333333333333,2022-02-12
Census Tract,35001000107,08/2020,0,11,2022-02-12
Census Tract,35001000107,09/2020,0,12.3333333333333,2022-02-12
Census Tract,35001000107,10/2020,0,12.3333333333333,2022-02-12
Census Tract,35001000107,11/2020,0,5,2022-02-12
Census Tract,35001000107,12/2020,0,7.66666666666667,2022-02-12
Census Tract,35001000107,01/2021,16,5.33333333333333,2022-02-12
Census Tract,35001000107,02/2021,3,9,2022-02-12
Census Tract,35001000107,03/2021,3,5.66666666666667,2022-02-12
Census Tract,35001000107,04/2021,3,8.33333333333333,2022-02-12
Census Tract,35001000107,05/2021,2,6.66666666666667,2022-02-12
Census Tract,35001000107,06/2021,1,11.3333333333333,2022-02-12
Census Tract,35001000107,07/2021,0,7.33333333333333,2022-02-12
Census Tract,35001000107,08/2021,1,11,2022-02-12
Census Tract,35001000107,09/2021,0,12.3333333333333,2022-02-12
Census Tract,35001000107,10/2021,0,12.3333333333333,2022-02-12
Census Tract,35001000107,11/2021,1,5,2022-02-12
Census Tract,35001000107,12/2021,0,7.66666666666667,2022-02-12
Census Tract,35001000107,01/2022,0,5.33333333333333,2022-02-12
Census Tract,35001000107,02/2022,0,0,2022-02-12
Census Tract,35001000108,01/2020,5,8.66666666666667,2022-02-12
Census Tract,35001000108,02/2020,3,6.66666666666667,2022-02-12
Census Tract,35001000108,03/2020,3,5,2022-02-12
Census Tract,35001000108,04/2020,0,7.66666666666667,2022-02-12
Census Tract,35001000108,05/2020,1,4.66666666666667,2022-02-12
Census Tract,35001000108,06/2020,1,5,2022-02-12
Census Tract,35001000108,07/2020,0,7,2022-02-12
Census Tract,35001000108,08/2020,1,4.33333333333333,2022-02-12
Census Tract,35001000108,09/2020,5,5.33333333333333,2022-02-12
Census Tract,35001000108,10/2020,2,7,2022-02-12
Census Tract,35001000108,11/2020,5,6.66666666666667,2022-02-12
Census Tract,35001000108,12/2020,4,4.33333333333333,2022-02-12
Census Tract,35001000108,01/2021,6,8.66666666666667,2022-02-12
Census Tract,35001000108,02/2021,6,6.66666666666667,2022-02-12
Census Tract,35001000108,03/2021,1,5,2022-02-12
Census Tract,35001000108,04/2021,1,7.66666666666667,2022-02-12
Census Tract,35001000108,05/2021,8,4.66666666666667,2022-02-12
Census Tract,35001000108,06/2021,8,5,2022-02-12
Census Tract,35001000108,07/2021,7,7,2022-02-12
Census Tract,35001000108,08/2021,4,4.33333333333333,2022-02-12
Census Tract,35001000108,09/2021,4,5.33333333333333,2022-02-12
Census Tract,35001000108,10/2021,2,7,2022-02-12
Census Tract,35001000108,11/2021,5,6.66666666666667,2022-02-12
Census Tract,35001000108,12/2021,2,4.33333333333333,2022-02-12
Census Tract,35001000108,01/2022,5,8.66666666666667,2022-02-12
Census Tract,35001000108,02/2022,4,3,2022-02-12
Census Tract,35001000109,01/2020,4,2.66666666666667,2022-02-12
Census Tract,35001000109,02/2020,3,5.66666666666667,2022-02-12
Census Tract,35001000109,03/2020,0,3,2022-02-12
Census Tract,35001000109,04/2020,0,4.33333333333333,2022-02-12
Census Tract,35001000109,05/2020,1,2.66666666666667,2022-02-12
Census Tract,35001000109,06/2020,0,5.66666666666667,2022-02-12
Census Tract,35001000109,07/2020,0,4.33333333333333,2022-02-12
Census Tract,35001000109,08/2020,0,4.33333333333333,2022-02-12
Census Tract,35001000109,09/2020,1,6.33333333333333,2022-02-12
Census Tract,35001000109,10/2020,1,6.66666666666667,2022-02-12
Census Tract,35001000109,11/2020,2,5,2022-02-12
Census Tract,35001000109,12/2020,0,6.33333333333333,2022-02-12
Census Tract,35001000109,01/2021,0,2.66666666666667,2022-02-12
Census Tract,35001000109,02/2021,0,5.66666666666667,2022-02-12
Census Tract,35001000109,03/2021,0,3,2022-02-12
Census Tract,35001000109,04/2021,1,4.33333333333333,2022-02-12
Census Tract,35001000109,05/2021,1,2.66666666666667,2022-02-12
Census Tract,35001000109,06/2021,0,5.66666666666667,2022-02-12
Census Tract,35001000109,07/2021,1,4.33333333333333,2022-02-12
Census Tract,35001000109,08/2021,2,4.33333333333333,2022-02-12
Census Tract,35001000109,09/2021,1,6.33333333333333,2022-02-12
Census Tract,35001000109,10/2021,0,6.66666666666667,2022-02-12
Census Tract,35001000109,11/2021,1,5,2022-02-12
Census Tract,35001000109,12/2021,1,6.33333333333333,2022-02-12
Census Tract,35001000109,01/2022,1,2.66666666666667,2022-02-12
Census Tract,35001000109,02/2022,1,3.33333333333333,2022-02-12
Census Tract,35001000110,01/2020,10,7.33333333333333,2022-02-12
Census Tract,35001000110,02/2020,11,10,2022-02-12
Census Tract,35001000110,03/2020,4,4,2022-02-12
