group,month,month_last_day,month_filings,avg_filings,month_diff,xfiledate
White,01/2022,,904,2563,0.352711666016387,2022-01-01
White,02/2022,,905,2453,0.368935996738687,2022-02-01
White,03/2022,,1413,2581.66666666667,0.547320852162686,2022-03-01
White,04/2022,,1227,2154.33333333333,0.569549744700603,2022-04-01
White,05/2022,,1298,2263.66666666667,0.573405978500957,2022-05-01
White,06/2022,25/06/2022,669,1913,0.349712493465761,2022-06-01
Black,01/2022,,1136,4535,0.250496141124587,2022-01-01
Black,02/2022,,1420,4478.33333333333,0.317082247860067,2022-02-01
Black,03/2022,,2080,4566.66666666667,0.455474452554745,2022-03-01
Black,04/2022,,1962,3679.33333333333,0.533248776952346,2022-04-01
Black,05/2022,,1943,4078,0.476459048553212,2022-05-01
Black,06/2022,25/06/2022,921,3336,0.276079136690648,2022-06-01
Latinx,01/2022,,2159,7848.33333333333,0.275090252707581,2022-01-01
Latinx,02/2022,,2554,7683.33333333333,0.332407809110629,2022-02-01
Latinx,03/2022,,3266,7337.33333333333,0.445120843176449,2022-03-01
Latinx,04/2022,,3503,6075.66666666667,0.576562242826576,2022-04-01
Latinx,05/2022,,3653,6717,0.543843977966354,2022-05-01
Latinx,06/2022,25/06/2022,733,5790,0.126597582037997,2022-06-01
Other,01/2022,,1312,4994.66666666667,0.262680192205019,2022-01-01
Other,02/2022,,1516,4703.66666666667,0.322301750407484,2022-02-01
Other,03/2022,,2259,4916,0.459519934906428,2022-03-01
Other,04/2022,,2295,4138,0.55461575640406,2022-04-01
Other,05/2022,,2122,4283.33333333333,0.495408560311284,2022-05-01
Other,06/2022,25/06/2022,684,3661.33333333333,0.186817188638019,2022-06-01
