type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Zip Code,10001,White,01/2020,51,55,2024-04-13
Zip Code,10001,White,02/2020,22,49.3333333333333,2024-04-13
Zip Code,10001,White,03/2020,20,48.3333333333333,2024-04-13
Zip Code,10001,White,04/2020,0,41.6666666666667,2024-04-13
Zip Code,10001,White,05/2020,0,42,2024-04-13
Zip Code,10001,White,06/2020,2,55.3333333333333,2024-04-13
Zip Code,10001,White,07/2020,4,64.6666666666667,2024-04-13
Zip Code,10001,White,08/2020,36,59.3333333333333,2024-04-13
Zip Code,10001,White,09/2020,17,45.3333333333333,2024-04-13
Zip Code,10001,White,10/2020,47,53,2024-04-13
Zip Code,10001,White,11/2020,26,46.6666666666667,2024-04-13
Zip Code,10001,White,12/2020,13,48,2024-04-13
Zip Code,10001,White,01/2021,2,55,2024-04-13
Zip Code,10001,White,02/2021,4,48,2024-04-13
Zip Code,10001,White,03/2021,20,48.3333333333333,2024-04-13
Zip Code,10001,White,04/2021,13,41.6666666666667,2024-04-13
Zip Code,10001,White,05/2021,11,42,2024-04-13
Zip Code,10001,White,06/2021,16,55.3333333333333,2024-04-13
Zip Code,10001,White,07/2021,9,64.6666666666667,2024-04-13
Zip Code,10001,White,08/2021,17,59.3333333333333,2024-04-13
Zip Code,10001,White,09/2021,4,45.3333333333333,2024-04-13
Zip Code,10001,White,10/2021,4,53,2024-04-13
Zip Code,10001,White,11/2021,12,46.6666666666667,2024-04-13
Zip Code,10001,White,12/2021,14,48,2024-04-13
Zip Code,10001,White,01/2022,16,55,2024-04-13
Zip Code,10001,White,02/2022,17,48,2024-04-13
Zip Code,10001,White,03/2022,25,48.3333333333333,2024-04-13
Zip Code,10001,White,04/2022,26,41.6666666666667,2024-04-13
Zip Code,10001,White,05/2022,30,42,2024-04-13
Zip Code,10001,White,06/2022,19,55.3333333333333,2024-04-13
Zip Code,10001,White,07/2022,35,64.6666666666667,2024-04-13
Zip Code,10001,White,08/2022,26,59.3333333333333,2024-04-13
Zip Code,10001,White,09/2022,30,45.3333333333333,2024-04-13
Zip Code,10001,White,10/2022,31,53,2024-04-13
Zip Code,10001,White,11/2022,22,46.6666666666667,2024-04-13
Zip Code,10001,White,12/2022,28,48,2024-04-13
Zip Code,10001,White,01/2023,40,55,2024-04-13
Zip Code,10001,White,02/2023,19,48,2024-04-13
Zip Code,10001,White,03/2023,39,48.3333333333333,2024-04-13
