month_date,median_claim
2020-01-01,1595.65
2020-02-01,1615.11
2020-03-01,1611.11
2020-04-01,1480.2
2020-05-01,1848
2020-06-01,1846.63
2020-07-01,1830.22
2020-08-01,1730.34
2020-09-01,2366.265
2020-10-01,1924.36
2020-11-01,1965.6399999999999
2020-12-01,2064.86
2021-01-01,2004.42
2021-02-01,1867.72
2021-03-01,1862.635
2021-04-01,1827.62
2021-05-01,1746.54
2021-06-01,1852.59
2021-07-01,1849.8200000000002
2021-08-01,1865.48
2021-09-01,2034
2021-10-01,1951.795
2021-11-01,1897.54
2021-12-01,1916.54
2022-01-01,1933.33
2022-02-01,1950.23
2022-03-01,2072.505
2022-04-01,2024.005
2022-05-01,2078.52
2022-06-01,2109.8199999999997
2022-07-01,2110
2022-08-01,2127.62
2022-09-01,2209.92
2022-10-01,2207.63
2022-11-01,2300.35
2022-12-01,2320
2023-01-01,NA
2023-02-01,NA
