group,month,month_last_day,month_filings,avg_filings,month_diff
White,01/2020,,2287,2234.2,1.02363262017724
White,01/2021,,1325,2234.2,0.593053441947901
White,02/2020,,2238,1809,1.23714759535655
White,02/2021,,1236,1803.2,0.68544809228039
White,03/2020,,1595,1665.4,0.957727873183619
White,03/2021,,1378,1665.4,0.827428845922901
White,04/2020,,556,1825,0.304657534246575
White,04/2021,,1070,1825,0.586301369863014
White,05/2020,,538,2001,0.268865567216392
White,05/2021,,1075,2001,0.537231384307846
White,06/2020,,564,2112.6,0.266969610905993
White,06/2021,,1220,2112.6,0.57748745621509
White,07/2020,,672,2284,0.294220665499124
White,07/2021,,1554,2284,0.680385288966725
White,08/2020,,769,2306.2,0.333448963663169
White,08/2021,,1277,2306.2,0.553724741999827
White,09/2020,,1074,2236,0.480322003577818
White,09/2021,,1729,2236,0.773255813953488
White,10/2020,,1275,2327.2,0.547868683396356
White,10/2021,30/10/2021,1980,2302,0.860121633362294
White,11/2020,,1251,2113.4,0.591937162865525
White,12/2020,,1543,2092.4,0.737430701586695
Latinx,01/2020,,1568,1621.8,0.966826982365273
Latinx,01/2021,,858,1621.8,0.529041805401406
Latinx,02/2020,,1420,1333.2,1.06510651065107
Latinx,02/2021,,839,1329.2,0.63120674089678
Latinx,03/2020,,926,1130.6,0.819034141163984
Latinx,03/2021,,915,1130.6,0.809304793914736
Latinx,04/2020,,636,1316.4,0.483135824977211
Latinx,04/2021,,638,1316.4,0.484655120024309
Latinx,05/2020,,495,1483.6,0.333647883526557
Latinx,05/2021,,746,1483.6,0.502830951739013
Latinx,06/2020,,551,1573,0.350286077558805
Latinx,06/2021,,867,1573,0.551176096630642
Latinx,07/2020,,548,1668.2,0.328497782040523
Latinx,07/2021,,966,1668.2,0.579067258122527
Latinx,08/2020,,732,1723.8,0.424643230073094
Latinx,08/2021,,894,1723.8,0.518621649843369
Latinx,09/2020,,889,1589.2,0.559400956456079
Latinx,09/2021,,1208,1589.2,0.760130883463378
Latinx,10/2020,,953,1581.2,0.60270680495826
Latinx,10/2021,30/10/2021,1251,1555.6,0.804191308819748
Latinx,11/2020,,902,1499.4,0.601573962918501
Latinx,12/2020,,1161,1454.8,0.798047841627715
Other,01/2020,,1464,1532,0.955613577023499
Other,01/2021,,831,1532,0.54242819843342
Other,02/2020,,1403,1231,1.13972380178717
Other,02/2021,,980,1225.6,0.799608355091384
Other,03/2020,,997,1128.4,0.883551931939029
Other,03/2021,,868,1128.4,0.769230769230769
Other,04/2020,,366,1282.8,0.285313376987839
Other,04/2021,,690,1282.8,0.537885874649205
Other,05/2020,,310,1440.2,0.215247882238578
Other,05/2021,,749,1440.2,0.520066657408693
Other,06/2020,,332,1564.6,0.212194810175125
Other,06/2021,,828,1564.6,0.529208743448805
Other,07/2020,,371,1668,0.22242206235012
Other,07/2021,,1024,1668,0.613908872901679
Other,08/2020,,459,1631,0.281422440220724
Other,08/2021,,762,1631,0.467198038013489
Other,09/2020,,685,1596,0.429197994987469
Other,09/2021,,1251,1596,0.783834586466166
Other,10/2020,,786,1646.6,0.477347261022714
Other,10/2021,30/10/2021,1346,1626.2,0.827696470298856
Other,11/2020,,790,1467.6,0.538293813028073
Other,12/2020,,1148,1471.8,0.779997282239435
