group,month,month_last_day,month_filings,avg_filings,month_diff
White,01/2023,,268,252,1.06349206349206
White,02/2023,,172,178.25,0.964936886395512
White,03/2023,04/03/2023,0,33,0
White,10/2022,,253,247,1.02429149797571
White,11/2022,,216,208.25,1.03721488595438
White,12/2022,,245,176,1.39204545454545
Latinx,01/2023,,203,173,1.17341040462428
Latinx,02/2023,,103,157.75,0.652931854199683
Latinx,03/2023,04/03/2023,0,18.75,0
Latinx,10/2022,,157,189.75,0.827404479578393
Latinx,11/2022,,126,147.75,0.852791878172589
Latinx,12/2022,,143,132.5,1.07924528301887
Other,01/2023,,200,166.5,1.2012012012012
Other,02/2023,,142,143.5,0.989547038327526
Other,03/2023,04/03/2023,0,18.25,0
Other,10/2022,,159,149,1.06711409395973
Other,11/2022,,147,130.75,1.12428298279159
Other,12/2022,,104,135,0.77037037037037
