site,variable,estimate
Albuquerque,renter.hh,99091
Austin,renter.hh,225010
Boston,renter.hh,292933
Bridgeport,renter.hh,112078
Charleston,renter.hh,61209
Cincinnati,renter.hh,143889
Cleveland,renter.hh,99850
Columbus,renter.hh,238402
Dallas,renter.hh,464121
Fort Worth,renter.hh,381009
Gainesville,renter.hh,44082
Greenville,renter.hh,62747
Hartford,renter.hh,125768
Houston,renter.hh,768357
Indianapolis,renter.hh,171814
Jacksonville,renter.hh,155567
Kansas City,renter.hh,119674
Las Vegas,renter.hh,362272
Memphis,renter.hh,157847
Milwaukee,renter.hh,193121
Minneapolis-Saint Paul,renter.hh,275972
New Orleans,renter.hh,79579
New York City,renter.hh,2132397
Philadelphia,renter.hh,282465
Phoenix,renter.hh,586804
Pittsburgh,renter.hh,193411
Richmond,renter.hh,82080
Saint Louis,renter.hh,207619
South Bend,renter.hh,32420
Tampa,renter.hh,352376
Wilmington,renter.hh,66082
