month,month_last_day,month_filings,avg_filings,percentage_diff
01/2020,,823,800.75,1.02778645020293
01/2021,,404,800.75,0.504527005931939
01/2022,,509,800.75,0.635654074305339
01/2023,,853,800.75,1.06525132688105
01/2024,,795,800.75,0.992819231970028
02/2020,,577,637.75,0.904743237945904
02/2021,,320,631.25,0.506930693069307
02/2022,,504,631.25,0.798415841584158
02/2023,,550,631.25,0.871287128712871
02/2024,,638,637.75,1.00039200313603
03/2020,,271,624.25,0.434120945134161
03/2021,,475,624.25,0.760913095714858
03/2022,,493,624.25,0.789747697236684
03/2023,,824,624.25,1.31998398077693
03/2024,,579,624.25,0.927513015618742
04/2020,,1,576.75,0.00173385348938015
04/2021,,322,576.75,0.558300823580407
04/2022,,451,576.75,0.781967923710447
04/2023,,511,576.75,0.885999133073255
04/2024,,638,576.75,1.10619852622453
05/2020,,1,702,0.00142450142450142
05/2021,,421,702,0.5997150997151
05/2022,,483,702,0.688034188034188
05/2023,,745,702,1.06125356125356
05/2024,,646,702,0.92022792022792
06/2020,,450,688.75,0.653357531760436
06/2021,,491,688.75,0.712885662431942
06/2022,,594,688.75,0.862431941923775
06/2023,,693,688.75,1.00617059891107
06/2024,,594,688.75,0.862431941923775
07/2020,,391,791,0.494310998735778
07/2021,,449,791,0.56763590391909
07/2022,,520,791,0.657395701643489
07/2023,,666,791,0.841972187104931
07/2024,,745,791,0.941845764854614
08/2020,,454,793.75,0.571968503937008
08/2021,,432,793.75,0.544251968503937
08/2022,,784,793.75,0.987716535433071
08/2023,,823,793.75,1.03685039370079
09/2020,,471,719.25,0.654848800834202
09/2021,,551,719.25,0.766075773375043
09/2022,,624,719.25,0.867570385818561
09/2023,,753,719.25,1.04692387904067
10/2020,,458,760.25,0.602433410062479
10/2021,,498,760.25,0.655047681683657
10/2022,,760,760.25,0.999671160802368
10/2023,,859,760.25,1.12989148306478
11/2020,,480,636.25,0.754420432220039
11/2021,,493,636.25,0.774852652259332
11/2022,,655,636.25,1.0294695481336
11/2023,,647,636.25,1.01689587426326
12/2020,,423,570.25,0.741779921087242
12/2021,,485,570.25,0.850504164839983
12/2022,,656,570.25,1.15037264357738
12/2023,,537,570.25,0.941692240245506
