type,GEOID,racial_majority,week,week_date,filings_2020,filings_avg
Zip Code,22193,Other,1,2019-12-29,0,0
Zip Code,22193,Other,2,2020-01-05,0,0
Zip Code,22193,Other,3,2020-01-12,0,0
Zip Code,22193,Other,4,2020-01-19,0,0
Zip Code,22193,Other,5,2020-01-26,0,0
Zip Code,22193,Other,6,2020-02-02,0,0
Zip Code,22193,Other,7,2020-02-09,0,0
Zip Code,22193,Other,8,2020-02-16,0,0
Zip Code,22193,Other,9,2020-02-23,0,0
Zip Code,22193,Other,10,2020-03-01,0,0
Zip Code,22193,Other,11,2020-03-08,0,0
Zip Code,22193,Other,12,2020-03-15,0,0
Zip Code,22193,Other,13,2020-03-22,0,0
Zip Code,22193,Other,14,2020-03-29,0,0
Zip Code,22193,Other,15,2020-04-05,0,0
Zip Code,22193,Other,16,2020-04-12,0,0
Zip Code,22193,Other,17,2020-04-19,0,0
Zip Code,22193,Other,18,2020-04-26,0,0
Zip Code,22193,Other,19,2020-05-03,0,0
Zip Code,22193,Other,20,2020-05-10,0,0
Zip Code,22193,Other,21,2020-05-17,0,0
Zip Code,22193,Other,22,2020-05-24,0,0
Zip Code,22193,Other,23,2020-05-31,0,0
Zip Code,22193,Other,24,2020-06-07,0,0
Zip Code,22193,Other,25,2020-06-14,0,0
Zip Code,22193,Other,26,2020-06-21,0,0
Zip Code,22193,Other,27,2020-06-28,0,0
Zip Code,22193,Other,28,2020-07-05,0,0
Zip Code,22193,Other,29,2020-07-12,0,0
Zip Code,23060,White,1,2019-12-29,0,0
Zip Code,23060,White,2,2020-01-05,0,0
Zip Code,23060,White,3,2020-01-12,0,0
Zip Code,23060,White,4,2020-01-19,0,0
Zip Code,23060,White,5,2020-01-26,0,0
Zip Code,23060,White,6,2020-02-02,0,0
Zip Code,23060,White,7,2020-02-09,0,0
Zip Code,23060,White,8,2020-02-16,0,0
Zip Code,23060,White,9,2020-02-23,0,0
Zip Code,23060,White,10,2020-03-01,0,0
Zip Code,23060,White,11,2020-03-08,0,0
Zip Code,23060,White,12,2020-03-15,0,0
Zip Code,23060,White,13,2020-03-22,0,0
Zip Code,23060,White,14,2020-03-29,0,0
Zip Code,23060,White,15,2020-04-05,0,0
Zip Code,23060,White,16,2020-04-12,0,0
Zip Code,23060,White,17,2020-04-19,0,0
Zip Code,23060,White,18,2020-04-26,0,0
Zip Code,23060,White,19,2020-05-03,0,0
Zip Code,23060,White,20,2020-05-10,0,0
Zip Code,23060,White,21,2020-05-17,0,0
Zip Code,23060,White,22,2020-05-24,0,0
Zip Code,23060,White,23,2020-05-31,0,0
Zip Code,23060,White,24,2020-06-07,0,0
Zip Code,23060,White,25,2020-06-14,0,0
Zip Code,23060,White,26,2020-06-21,0,0
Zip Code,23060,White,27,2020-06-28,0,0
Zip Code,23060,White,28,2020-07-05,0,0
Zip Code,23060,White,29,2020-07-12,0,0
Zip Code,23112,White,1,2019-12-29,0,0
Zip Code,23112,White,2,2020-01-05,0,3
Zip Code,23112,White,3,2020-01-12,29,16
Zip Code,23112,White,4,2020-01-19,5,20
Zip Code,23112,White,5,2020-01-26,2,12
Zip Code,23112,White,6,2020-02-02,5,1
Zip Code,23112,White,7,2020-02-09,10,2
Zip Code,23112,White,8,2020-02-16,16,20
Zip Code,23112,White,9,2020-02-23,0,5
Zip Code,23112,White,10,2020-03-01,1,4
Zip Code,23112,White,11,2020-03-08,0,1
Zip Code,23112,White,12,2020-03-15,11,15
Zip Code,23112,White,13,2020-03-22,5,3
Zip Code,23112,White,14,2020-03-29,0,1
Zip Code,23112,White,15,2020-04-05,0,1
Zip Code,23112,White,16,2020-04-12,0,14
Zip Code,23112,White,17,2020-04-19,0,18
Zip Code,23112,White,18,2020-04-26,0,2
Zip Code,23112,White,19,2020-05-03,0,2
Zip Code,23112,White,20,2020-05-10,0,3
Zip Code,23112,White,21,2020-05-17,2,29
Zip Code,23112,White,22,2020-05-24,0,3
Zip Code,23112,White,23,2020-05-31,1,3
Zip Code,23112,White,24,2020-06-07,1,1
Zip Code,23112,White,25,2020-06-14,0,28
Zip Code,23112,White,26,2020-06-21,0,12
Zip Code,23112,White,27,2020-06-28,5,0
Zip Code,23112,White,28,2020-07-05,1,2
Zip Code,23112,White,29,2020-07-12,2,29
Zip Code,23113,White,1,2019-12-29,0,0
Zip Code,23113,White,2,2020-01-05,0,0
Zip Code,23113,White,3,2020-01-12,1,1
Zip Code,23113,White,4,2020-01-19,0,1
Zip Code,23113,White,5,2020-01-26,0,8
Zip Code,23113,White,6,2020-02-02,0,1
Zip Code,23113,White,7,2020-02-09,1,0
Zip Code,23113,White,8,2020-02-16,1,0
Zip Code,23113,White,9,2020-02-23,0,0
Zip Code,23113,White,10,2020-03-01,0,2
Zip Code,23113,White,11,2020-03-08,0,0
Zip Code,23113,White,12,2020-03-15,0,4
Zip Code,23113,White,13,2020-03-22,0,4
Zip Code,23113,White,14,2020-03-29,0,1
Zip Code,23113,White,15,2020-04-05,0,0
Zip Code,23113,White,16,2020-04-12,0,2
Zip Code,23113,White,17,2020-04-19,0,0
Zip Code,23113,White,18,2020-04-26,0,6
Zip Code,23113,White,19,2020-05-03,0,1
Zip Code,23113,White,20,2020-05-10,0,1
Zip Code,23113,White,21,2020-05-17,1,2
Zip Code,23113,White,22,2020-05-24,0,10
Zip Code,23113,White,23,2020-05-31,0,2
Zip Code,23113,White,24,2020-06-07,0,0
Zip Code,23113,White,25,2020-06-14,0,2
Zip Code,23113,White,26,2020-06-21,0,7
Zip Code,23113,White,27,2020-06-28,1,3
Zip Code,23113,White,28,2020-07-05,2,1
Zip Code,23113,White,29,2020-07-12,2,1
Zip Code,23114,White,1,2019-12-29,0,0
Zip Code,23114,White,2,2020-01-05,0,1
Zip Code,23114,White,3,2020-01-12,0,1
Zip Code,23114,White,4,2020-01-19,2,10
Zip Code,23114,White,5,2020-01-26,2,5
Zip Code,23114,White,6,2020-02-02,1,0
Zip Code,23114,White,7,2020-02-09,0,0
Zip Code,23114,White,8,2020-02-16,1,4
Zip Code,23114,White,9,2020-02-23,0,0
Zip Code,23114,White,10,2020-03-01,1,1
Zip Code,23114,White,11,2020-03-08,0,0
Zip Code,23114,White,12,2020-03-15,0,2
Zip Code,23114,White,13,2020-03-22,0,1
Zip Code,23114,White,14,2020-03-29,0,3
Zip Code,23114,White,15,2020-04-05,0,1
Zip Code,23114,White,16,2020-04-12,0,4
Zip Code,23114,White,17,2020-04-19,0,2
Zip Code,23114,White,18,2020-04-26,0,3
Zip Code,23114,White,19,2020-05-03,0,0
Zip Code,23114,White,20,2020-05-10,0,0
Zip Code,23114,White,21,2020-05-17,0,2
Zip Code,23114,White,22,2020-05-24,0,6
Zip Code,23114,White,23,2020-05-31,0,0
Zip Code,23114,White,24,2020-06-07,0,0
Zip Code,23114,White,25,2020-06-14,0,5
Zip Code,23114,White,26,2020-06-21,0,2
Zip Code,23114,White,27,2020-06-28,0,2
Zip Code,23114,White,28,2020-07-05,3,1
Zip Code,23114,White,29,2020-07-12,0,3
Zip Code,23120,White,1,2019-12-29,0,0
Zip Code,23120,White,2,2020-01-05,0,0
Zip Code,23120,White,3,2020-01-12,0,0
Zip Code,23120,White,4,2020-01-19,0,1
Zip Code,23120,White,5,2020-01-26,0,0
Zip Code,23120,White,6,2020-02-02,0,0
Zip Code,23120,White,7,2020-02-09,0,0
Zip Code,23120,White,8,2020-02-16,1,2
Zip Code,23120,White,9,2020-02-23,0,0
Zip Code,23120,White,10,2020-03-01,0,0
Zip Code,23120,White,11,2020-03-08,0,0
Zip Code,23120,White,12,2020-03-15,0,0
Zip Code,23120,White,13,2020-03-22,0,0
Zip Code,23120,White,14,2020-03-29,0,0
Zip Code,23120,White,15,2020-04-05,0,1
Zip Code,23120,White,16,2020-04-12,0,1
Zip Code,23120,White,17,2020-04-19,0,0
Zip Code,23120,White,18,2020-04-26,0,0
Zip Code,23120,White,19,2020-05-03,0,0
Zip Code,23120,White,20,2020-05-10,0,1
Zip Code,23120,White,21,2020-05-17,0,0
Zip Code,23120,White,22,2020-05-24,0,0
Zip Code,23120,White,23,2020-05-31,0,0
Zip Code,23120,White,24,2020-06-07,0,0
Zip Code,23120,White,25,2020-06-14,0,0
Zip Code,23120,White,26,2020-06-21,0,0
Zip Code,23120,White,27,2020-06-28,0,0
Zip Code,23120,White,28,2020-07-05,0,0
Zip Code,23120,White,29,2020-07-12,0,0
Zip Code,23173,White,1,2019-12-29,0,0
Zip Code,23173,White,2,2020-01-05,0,0
Zip Code,23173,White,3,2020-01-12,0,0
Zip Code,23173,White,4,2020-01-19,0,0
Zip Code,23173,White,5,2020-01-26,0,0
Zip Code,23173,White,6,2020-02-02,0,0
Zip Code,23173,White,7,2020-02-09,0,0
Zip Code,23173,White,8,2020-02-16,0,0
Zip Code,23173,White,9,2020-02-23,0,0
Zip Code,23173,White,10,2020-03-01,0,0
Zip Code,23173,White,11,2020-03-08,0,0
Zip Code,23173,White,12,2020-03-15,0,0
Zip Code,23173,White,13,2020-03-22,0,0
Zip Code,23173,White,14,2020-03-29,0,0
Zip Code,23173,White,15,2020-04-05,0,0
Zip Code,23173,White,16,2020-04-12,0,0
