group,month,month_last_day,month_filings,avg_filings,month_diff
Black,January,,803,796,1.00879396984925
Black,February,,635,653,0.972434915773354
Black,March,,370,591,0.626057529610829
Black,April,25/04/2020,53,613,0.0864600326264274
Other,January,,463,598,0.774247491638796
Other,February,,537,530,1.01320754716981
Other,March,,292,393,0.743002544529262
Other,April,25/04/2020,61,460,0.132608695652174
White,January,,305,481,0.634095634095634
White,February,,258,372,0.693548387096774
White,March,,178,298,0.597315436241611
White,April,25/04/2020,19,322,0.0590062111801242
