type,GEOID,racial_majority,week,week_date,filings_2020,filings_avg,last_updated
Zip Code,23112,White,1,2019-12-29,0,0.75,2024-07-06
Zip Code,23112,White,2,2020-01-05,0,3.25,2024-07-06
Zip Code,23112,White,3,2020-01-12,0,22.25,2024-07-06
Zip Code,23112,White,4,2020-01-19,0,24,2024-07-06
Zip Code,23112,White,5,2020-01-26,0,9,2024-07-06
Zip Code,23112,White,6,2020-02-02,0,1.25,2024-07-06
Zip Code,23112,White,7,2020-02-09,0,15.75,2024-07-06
Zip Code,23112,White,8,2020-02-16,0,26,2024-07-06
Zip Code,23112,White,9,2020-02-23,0,9,2024-07-06
Zip Code,23112,White,10,2020-03-01,0,3,2024-07-06
Zip Code,23112,White,11,2020-03-08,0,2.5,2024-07-06
Zip Code,23112,White,12,2020-03-15,0,29,2024-07-06
Zip Code,23112,White,13,2020-03-22,0,7,2024-07-06
Zip Code,23112,White,14,2020-03-29,0,2.5,2024-07-06
Zip Code,23112,White,15,2020-04-05,0,1.5,2024-07-06
Zip Code,23112,White,16,2020-04-12,0,22,2024-07-06
Zip Code,23112,White,17,2020-04-19,0,17,2024-07-06
Zip Code,23112,White,18,2020-04-26,0,3.25,2024-07-06
Zip Code,23112,White,19,2020-05-03,0,1.25,2024-07-06
Zip Code,23112,White,20,2020-05-10,0,14.25,2024-07-06
Zip Code,23112,White,21,2020-05-17,0,29,2024-07-06
Zip Code,23112,White,22,2020-05-24,0,3.25,2024-07-06
Zip Code,23112,White,23,2020-05-31,0,2,2024-07-06
Zip Code,23112,White,24,2020-06-07,0,3,2024-07-06
Zip Code,23112,White,25,2020-06-14,0,30.25,2024-07-06
Zip Code,23112,White,26,2020-06-21,0,14.25,2024-07-06
Zip Code,23112,White,27,2020-06-28,0,1.25,2024-07-06
Zip Code,23112,White,28,2020-07-05,0,1.75,2024-07-06
Zip Code,23112,White,29,2020-07-12,0,27,2024-07-06
Zip Code,23112,White,30,2020-07-19,0,14.75,2024-07-06
Zip Code,23112,White,31,2020-07-26,0,6,2024-07-06
Zip Code,23112,White,32,2020-08-02,0,1.75,2024-07-06
Zip Code,23112,White,33,2020-08-09,0,6.75,2024-07-06
Zip Code,23112,White,34,2020-08-16,0,32,2024-07-06
Zip Code,23112,White,35,2020-08-23,0,8.5,2024-07-06
Zip Code,23112,White,36,2020-08-30,0,2,2024-07-06
Zip Code,23112,White,37,2020-09-06,0,1.5,2024-07-06
Zip Code,23112,White,38,2020-09-13,0,28,2024-07-06
Zip Code,23112,White,39,2020-09-20,0,17,2024-07-06
Zip Code,23112,White,40,2020-09-27,0,3.25,2024-07-06
Zip Code,23112,White,41,2020-10-04,0,1.25,2024-07-06
Zip Code,23112,White,42,2020-10-11,0,30,2024-07-06
Zip Code,23112,White,43,2020-10-18,0,14.5,2024-07-06
Zip Code,23112,White,44,2020-10-25,0,3.75,2024-07-06
Zip Code,23112,White,45,2020-11-01,0,1,2024-07-06
Zip Code,23112,White,46,2020-11-08,0,5.75,2024-07-06
Zip Code,23112,White,47,2020-11-15,0,43.25,2024-07-06
Zip Code,23112,White,48,2020-11-22,0,3.5,2024-07-06
Zip Code,23112,White,49,2020-11-29,0,2.75,2024-07-06
Zip Code,23112,White,50,2020-12-06,0,1.25,2024-07-06
Zip Code,23112,White,51,2020-12-13,0,33,2024-07-06
Zip Code,23112,White,52,2020-12-20,0,10.5,2024-07-06
Zip Code,23112,White,53,2020-12-27,0,3.25,2024-07-06
Zip Code,23112,White,54,2021-01-03,0,2.75,2024-07-06
Zip Code,23112,White,55,2021-01-10,0,8.5,2024-07-06
Zip Code,23112,White,56,2021-01-17,0,34.5,2024-07-06
Zip Code,23112,White,57,2021-01-24,0,12.75,2024-07-06
Zip Code,23112,White,58,2021-01-31,0,1.5,2024-07-06
Zip Code,23112,White,59,2021-02-07,0,1.75,2024-07-06
Zip Code,23112,White,60,2021-02-14,0,35,2024-07-06
Zip Code,23112,White,61,2021-02-21,0,11.75,2024-07-06
Zip Code,23112,White,62,2021-02-28,0,5,2024-07-06
Zip Code,23112,White,63,2021-03-07,0,2,2024-07-06
Zip Code,23112,White,64,2021-03-14,0,28,2024-07-06
