name,fips,score1,score2,score3,score4
Alabama,1,0.08,0.53,0.00,0.00
Alaska,2,0.38,0.93,0.00,0.00
Arizona,4,0.08,0.30,0.00,0.00
Arkansas,5,0.00,0.00,0.00,0.00
California,6,0.56,1.20,0.83,0.83
Colorado,8,0.00,2.88,0.13,0.13
Connecticut,9,3.78,3.78,2.80,2.80
Delaware,10,1.85,3.88,2.58,0.88
Florida,12,1.08,1.08,0.00,0.00
Georgia,13,0.08,0.08,0.00,0.00
Hawaii,15,2.65,2.65,2.35,2.35
Idaho,16,0.00,0.00,0.00,0.00
Illinois,17,2.75,2.75,1.35,1.75
Indiana,18,0.65,0.65,0.00,0.00
Iowa,19,3.30,3.30,0.00,0.00
Kansas,20,1.23,2.33,0.93,0.00
Kentucky,21,0.30,2.65,0.13,0.00
Louisiana,22,0.38,0.38,0.00,0.00
Maine,23,0.55,1.20,0.00,0.00
Maryland,24,0.70,1.50,0.00,0.00
Massachusetts,25,0.71,3.65,0.00,0.00
Michigan,26,2.83,2.83,0.00,0.00
Minnesota,27,3.53,3.53,3.53,3.53
Mississippi,28,0.00,0.75,0.00,0.00
Missouri,29,0.00,0.00,0.00,0.00
Montana,30,0.00,1.20,0.83,0.83
Nebraska,31,0.60,0.60,0.00,0.00
Nevada,32,0.00,3.05,0.23,0.23
New Hampshire,33,3.23,3.23,0.00,0.00
New Jersey,34,1.65,1.65,1.58,1.58
New Mexico,35,0.00,0.53,0.53,0.53
New York,36,3.18,3.18,0.55,0.55
North Carolina,37,0.63,0.63,0.19,0.19
North Dakota,38,0.00,0.00,0.00,0.00
Ohio,39,0.08,0.08,0.00,0.00
Oklahoma,40,0.08,0.08,0.00,0.00
Oregon,41,2.78,2.78,2.85,2.85
Pennsylvania,42,3.53,3.53,0.00,0.00
Rhode Island,44,1.98,1.98,0.00,0.00
South Carolina,45,2.38,0.78,0.00,0.00
South Dakota,46,0.00,0.00,0.00,0.00
Tennessee,47,0.53,0.53,0.00,0.00
Texas,48,1.28,1.28,0.00,0.00
Utah,49,0.00,0.83,0.00,0.00
Vermont,50,0.55,0.55,1.98,1.98
Virginia,51,0.38,0.38,0.00,0.00
Washington,53,3.25,3.25,3.00,3.00
West Virginia,54,0.63,0.63,0.00,0.00
Wisconsin,55,0.00,3.00,0.00,0.00
Wyoming,56,0.00,0.00,0.00,0.00
"Washington, D.C.",11,1.78,3.50,3.50,3.50
