site,serial_rate,threatened_hhs
charleston,0.3134762633996937,6530
cincinnati,0.1905588337382853,11524
cleveland,0.13416175231676494,4748
columbus,0.19566124322069253,21573
dallas,0.20451668776230764,30022
delaware,0.281303429548426,9943
wilmington,0.2800060087126333,6657
fortlauderdale,0.16809847416335427,15598
fortworth,0.22417625706969807,35539
gainesville,0.06552962298025135,2228
greenville,0.28248402425036867,6103
houston,0.1942987093299288,50129
indiana,0.17149491582554635,53401
indianapolis,0.19512066603435557,18978
southbend,0.19512066603435557,18978
jacksonville,0.05876739163192526,19909
lasvegas,0.29350765199453627,35873
boston,0.11446921042689838,5294
massachusetts,0.11446921042689838,5294
memphis,0.25165710218426085,22479
miami,0.12660098522167487,16240
minnesota,0.18507672484479326,17074
minneapolis,0.1976537132083377,9547
missouri,0.18163245451892207,30837
stlouis,0.2015,20000
kansascity,0.2015,20000
nashville,0.15187733912833515,8283
newmexico,0.21207751239296982,11095
albuquerque,0.25673534072900156,6941
neworleans,0.19083333333333333,3600
orlando,0.10727550797465589,22885
palmbeach,0.1332232664465329,7874
pittsburgh,0.06487662191554788,26666
philadelphia,0.06487662191554788,26666
phoenix,0.2847588877155931,42615
rhode_island,0.21691056910569106,6150
providence,0.21689059500959693,4689
tampa,0.17487253916862044,26871
wisconsin,0.178998590204193,21989
milwaukee,0.23714585519412382,10483
