group,month,month_last_day,month_filings,avg_filings,month_diff
White,03/2022,,149,137,1.08759124087591
White,04/2022,,129,148.25,0.870151770657673
White,05/2022,,158,165.5,0.954682779456193
White,06/2022,,173,170,1.01764705882353
White,07/2022,,160,167.25,0.956651718983558
White,08/2022,06/08/2022,10,18.25,0.547945205479452
Black,03/2022,,23,32.75,0.702290076335878
Black,04/2022,,21,38,0.552631578947369
Black,05/2022,,22,32.5,0.676923076923077
Black,06/2022,,24,51,0.470588235294118
Black,07/2022,,30,46.25,0.648648648648649
Black,08/2022,06/08/2022,2,8.75,0.228571428571429
Latinx,03/2022,,4,2.5,1.6
Latinx,04/2022,,2,4.5,0.444444444444444
Latinx,05/2022,,3,4.75,0.631578947368421
Latinx,06/2022,,3,3.75,0.8
Latinx,07/2022,,6,3.75,1.6
Latinx,08/2022,06/08/2022,0,1,0
Other,03/2022,,27,48,0.5625
Other,04/2022,,23,40,0.575
Other,05/2022,,56,57,0.982456140350877
Other,06/2022,,40,54.75,0.730593607305936
Other,07/2022,,43,57,0.754385964912281
Other,08/2022,06/08/2022,1,14,0.0714285714285714
