month,month_last_day,month_filings,avg_filings,percentage_diff
01/2020,,1447,1315.25,1.10017107013876
01/2021,,691,1315.25,0.525375403915605
02/2020,,1127,1072.75,1.05057096247961
02/2021,,446,1051.25,0.424256837098692
03/2020,,809,1055,0.766824644549763
03/2021,,649,1055,0.615165876777251
04/2020,,126,1217.5,0.103490759753593
04/2021,,452,1217.5,0.371252566735113
05/2020,,165,1347.75,0.122426265998887
05/2021,,622,1347.75,0.46150992394732
06/2020,,179,1453.5,0.123151014791882
06/2021,26/06/2021,551,1301.5,0.423357664233577
07/2020,,516,1467.75,0.351558507920286
08/2020,,662,1483.75,0.446166807076664
09/2020,,563,1482,0.379892037786775
10/2020,,454,1521.25,0.298438783894823
11/2020,,533,1232.25,0.432542097788598
12/2020,,771,1018.25,0.757181438742941
