type,GEOID,racial_majority,week,week_date,filings_2020,filings_avg,last_updated
County,29189,White,1,2019-12-29,104,43,2023-04-01
County,29189,White,2,2020-01-05,204,157,2023-04-01
County,29189,White,3,2020-01-12,245,233.5,2023-04-01
County,29189,White,4,2020-01-19,186,196,2023-04-01
County,29189,White,5,2020-01-26,224,139,2023-04-01
County,29189,White,6,2020-02-02,155,159,2023-04-01
County,29189,White,7,2020-02-09,165,134,2023-04-01
County,29189,White,8,2020-02-16,253,137,2023-04-01
County,29189,White,9,2020-02-23,180,198.5,2023-04-01
County,29189,White,10,2020-03-01,137,209,2023-04-01
County,29189,White,11,2020-03-08,149,123.5,2023-04-01
County,29189,White,12,2020-03-15,108,159,2023-04-01
County,29189,White,13,2020-03-22,57,121,2023-04-01
County,29189,White,14,2020-03-29,19,119.5,2023-04-01
County,29189,White,15,2020-04-05,70,142,2023-04-01
County,29189,White,16,2020-04-12,9,172,2023-04-01
County,29189,White,17,2020-04-19,20,185.5,2023-04-01
County,29189,White,18,2020-04-26,23,174.5,2023-04-01
County,29189,White,19,2020-05-03,30,142.5,2023-04-01
County,29189,White,20,2020-05-10,21,194.5,2023-04-01
County,29189,White,21,2020-05-17,17,185,2023-04-01
County,29189,White,22,2020-05-24,23,195.5,2023-04-01
County,29189,White,23,2020-05-31,41,158,2023-04-01
County,29189,White,24,2020-06-07,17,264.5,2023-04-01
County,29189,White,25,2020-06-14,10,193,2023-04-01
County,29189,White,26,2020-06-21,18,239.5,2023-04-01
County,29189,White,27,2020-06-28,14,163,2023-04-01
County,29189,White,28,2020-07-05,41,165,2023-04-01
County,29189,White,29,2020-07-12,72,258,2023-04-01
County,29189,White,30,2020-07-19,59,234.5,2023-04-01
County,29189,White,31,2020-07-26,79,192,2023-04-01
County,29189,White,32,2020-08-02,38,203.5,2023-04-01
County,29189,White,33,2020-08-09,91,195.5,2023-04-01
County,29189,White,34,2020-08-16,72,206.5,2023-04-01
County,29189,White,35,2020-08-23,169,190.5,2023-04-01
County,29189,White,36,2020-08-30,59,170.5,2023-04-01
County,29189,White,37,2020-09-06,18,218,2023-04-01
County,29189,White,38,2020-09-13,92,209,2023-04-01
County,29189,White,39,2020-09-20,140,236,2023-04-01
County,29189,White,40,2020-09-27,58,256,2023-04-01
County,29189,White,41,2020-10-04,41,187,2023-04-01
County,29189,White,42,2020-10-11,28,129,2023-04-01
County,29189,White,43,2020-10-18,67,159.5,2023-04-01
County,29189,White,44,2020-10-25,43,149,2023-04-01
County,29189,White,45,2020-11-01,79,172,2023-04-01
County,29189,White,46,2020-11-08,79,123,2023-04-01
County,29189,White,47,2020-11-15,82,189.5,2023-04-01
County,29189,White,48,2020-11-22,70,135.5,2023-04-01
County,29189,White,49,2020-11-29,101,122,2023-04-01
County,29189,White,50,2020-12-06,95,160.5,2023-04-01
County,29189,White,51,2020-12-13,167,184.5,2023-04-01
County,29189,White,52,2020-12-20,129,76.5,2023-04-01
County,29189,White,53,2020-12-27,57,54,2023-04-01
County,29189,White,54,2021-01-03,51,115,2023-04-01
County,29189,White,55,2021-01-10,109,178,2023-04-01
County,29189,White,56,2021-01-17,129,225.5,2023-04-01
County,29189,White,57,2021-01-24,92,189,2023-04-01
County,29189,White,58,2021-01-31,89,146,2023-04-01
County,29189,White,59,2021-02-07,28,124,2023-04-01
County,29189,White,60,2021-02-14,67,136.5,2023-04-01
County,29189,White,61,2021-02-21,106,209.5,2023-04-01
County,29189,White,62,2021-02-28,120,205.5,2023-04-01
County,29189,White,63,2021-03-07,98,145,2023-04-01
County,29189,White,64,2021-03-14,91,156,2023-04-01
County,29189,White,65,2021-03-21,97,126,2023-04-01
County,29189,White,66,2021-03-28,56,129,2023-04-01
County,29189,White,67,2021-04-04,61,135.5,2023-04-01
County,29189,White,68,2021-04-11,26,125.5,2023-04-01
County,29189,White,69,2021-04-18,98,206,2023-04-01
County,29189,White,70,2021-04-25,74,196.5,2023-04-01
County,29189,White,71,2021-05-02,52,116.5,2023-04-01
County,29189,White,72,2021-05-09,107,196.5,2023-04-01
County,29189,White,73,2021-05-16,114,179.5,2023-04-01
County,29189,White,74,2021-05-23,107,225,2023-04-01
County,29189,White,75,2021-05-30,84,151.5,2023-04-01
County,29189,White,76,2021-06-06,68,243.5,2023-04-01
County,29189,White,77,2021-06-13,152,210.5,2023-04-01
County,29189,White,78,2021-06-20,129,245,2023-04-01
County,29189,White,79,2021-06-27,115,197,2023-04-01
County,29189,White,80,2021-07-04,81,109,2023-04-01
County,29189,White,81,2021-07-11,110,237.5,2023-04-01
County,29189,White,82,2021-07-18,177,270,2023-04-01
County,29189,White,83,2021-07-25,125,187,2023-04-01
County,29189,White,84,2021-08-01,112,221.5,2023-04-01
County,29189,White,85,2021-08-08,11,178.5,2023-04-01
County,29189,White,86,2021-08-15,19,204.5,2023-04-01
