id,name,week_date,week_filings,week_trend,end_moratorium_date,start_moratorium_date,subgroups,subgroup_values,data_date
36061,"New York, NY",03/15/2020,2328,3071,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",03/22/2020,1,2240,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",03/29/2020,0,1330,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",04/05/2020,0,582.25,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",04/12/2020,3,1,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",04/19/2020,0,0.75,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",04/26/2020,0,0.75,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",05/03/2020,0,0.75,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",05/10/2020,4,1,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",05/17/2020,0,1,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",05/24/2020,0,1,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",05/31/2020,0,1,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",06/07/2020,0,0,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",06/14/2020,1,0.25,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",06/21/2020,5,1.5,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",06/28/2020,22,7,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",07/05/2020,74,25.5,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",07/12/2020,248,87.25,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",07/19/2020,392,184,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",07/26/2020,1172,471.5,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",08/02/2020,583,598.75,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",08/09/2020,1125,818,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",08/16/2020,1423,1075.75,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",08/23/2020,2225,1339,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
36061,"New York, NY",08/30/2020,1791,1641,06/20/2020;02/26/2021,03/20/2020;12/28/2020,Bronx County;Queens County;Kings County;New York County;Richmond County,14121;7380;10989;7394;672,01/23/2021
