month,month_last_day,month_filings,avg_filings,percentage_diff
01/2020,,1659,1661.25,0.998645598194131
01/2021,,1369,1661.25,0.824078254326561
02/2020,,1368,1304.5,1.04867765427367
02/2021,,1320,1298,1.01694915254237
03/2020,,1061,1210.5,0.876497315159025
03/2021,,1131,1210.5,0.934324659231723
04/2020,,304,1252,0.242811501597444
04/2021,,940,1252,0.750798722044728
05/2020,,351,1472,0.238451086956522
05/2021,,879,1472,0.597146739130435
06/2020,,398,1525,0.260983606557377
06/2021,19/06/2021,645,850,0.758823529411765
07/2020,,215,1554.25,0.138330384429789
08/2020,,870,1708.75,0.509144111192392
09/2020,,1112,1452,0.765840220385675
10/2020,,1469,1666,0.881752701080432
11/2020,,1357,1360.25,0.997610733321081
12/2020,,1427,1428,0.999299719887955
