type,GEOID,racial_majority,week,week_date,filings_2020,filings_avg,last_updated
County,12057,Other,1,2019-12-29,69,86.25,2023-04-08
County,12057,Other,2,2020-01-05,206,208.75,2023-04-08
County,12057,Other,3,2020-01-12,287,269,2023-04-08
County,12057,Other,4,2020-01-19,269,314,2023-04-08
County,12057,Other,5,2020-01-26,263,267.5,2023-04-08
County,12057,Other,6,2020-02-02,180,154.5,2023-04-08
County,12057,Other,7,2020-02-09,196,198.5,2023-04-08
County,12057,Other,8,2020-02-16,329,249.75,2023-04-08
County,12057,Other,9,2020-02-23,218,181.25,2023-04-08
County,12057,Other,10,2020-03-01,162,148.25,2023-04-08
County,12057,Other,11,2020-03-08,171,174,2023-04-08
County,12057,Other,12,2020-03-15,205,208.25,2023-04-08
County,12057,Other,13,2020-03-22,121,188.5,2023-04-08
County,12057,Other,14,2020-03-29,58,134.75,2023-04-08
County,12057,Other,15,2020-04-05,33,140,2023-04-08
County,12057,Other,16,2020-04-12,38,218.75,2023-04-08
County,12057,Other,17,2020-04-19,45,251,2023-04-08
County,12057,Other,18,2020-04-26,49,174.75,2023-04-08
County,12057,Other,19,2020-05-03,50,142,2023-04-08
County,12057,Other,20,2020-05-10,59,230,2023-04-08
County,12057,Other,21,2020-05-17,57,297.75,2023-04-08
County,12057,Other,22,2020-05-24,38,195,2023-04-08
County,12057,Other,23,2020-05-31,60,166.25,2023-04-08
County,12057,Other,24,2020-06-07,56,190.25,2023-04-08
County,12057,Other,25,2020-06-14,75,277.5,2023-04-08
County,12057,Other,26,2020-06-21,54,276.25,2023-04-08
County,12057,Other,27,2020-06-28,13,173,2023-04-08
County,12057,Other,28,2020-07-05,29,181.25,2023-04-08
County,12057,Other,29,2020-07-12,36,257.5,2023-04-08
County,12057,Other,30,2020-07-19,0,282.75,2023-04-08
County,12057,Other,31,2020-07-26,1,233.5,2023-04-08
County,12057,Other,32,2020-08-02,72,161.5,2023-04-08
County,12057,Other,33,2020-08-09,154,240.5,2023-04-08
County,12057,Other,34,2020-08-16,178,299.25,2023-04-08
County,12057,Other,35,2020-08-23,117,258.5,2023-04-08
County,12057,Other,36,2020-08-30,172,156.25,2023-04-08
County,12057,Other,37,2020-09-06,122,155.75,2023-04-08
County,12057,Other,38,2020-09-13,218,265,2023-04-08
County,12057,Other,39,2020-09-20,201,299,2023-04-08
County,12057,Other,40,2020-09-27,215,238,2023-04-08
County,12057,Other,41,2020-10-04,223,164,2023-04-08
County,12057,Other,42,2020-10-11,246,237.25,2023-04-08
County,12057,Other,43,2020-10-18,203,282.5,2023-04-08
County,12057,Other,44,2020-10-25,212,262.25,2023-04-08
County,12057,Other,45,2020-11-01,251,161.75,2023-04-08
County,12057,Other,46,2020-11-08,163,183,2023-04-08
County,12057,Other,47,2020-11-15,309,283.25,2023-04-08
County,12057,Other,48,2020-11-22,179,179.25,2023-04-08
County,12057,Other,49,2020-11-29,231,205.75,2023-04-08
County,12057,Other,50,2020-12-06,192,180.75,2023-04-08
County,12057,Other,51,2020-12-13,248,270.75,2023-04-08
County,12057,Other,52,2020-12-20,162,187.25,2023-04-08
County,12057,Other,53,2020-12-27,146,180,2023-04-08
County,12057,Other,54,2021-01-03,215,195,2023-04-08
County,12057,Other,55,2021-01-10,222,246.25,2023-04-08
County,12057,Other,56,2021-01-17,279,300,2023-04-08
County,12057,Other,57,2021-01-24,218,293.5,2023-04-08
County,12057,Other,58,2021-01-31,177,195.25,2023-04-08
County,12057,Other,59,2021-02-07,239,170.5,2023-04-08
County,12057,Other,60,2021-02-14,239,239.5,2023-04-08
County,12057,Other,61,2021-02-21,245,233,2023-04-08
County,12057,Other,62,2021-02-28,169,155,2023-04-08
County,12057,Other,63,2021-03-07,153,162.75,2023-04-08
County,12057,Other,64,2021-03-14,187,203.75,2023-04-08
County,12057,Other,65,2021-03-21,170,191,2023-04-08
County,12057,Other,66,2021-03-28,97,147.25,2023-04-08
County,12057,Other,67,2021-04-04,110,130.5,2023-04-08
County,12057,Other,68,2021-04-11,146,193.75,2023-04-08
County,12057,Other,69,2021-04-18,173,257,2023-04-08
County,12057,Other,70,2021-04-25,150,200.75,2023-04-08
County,12057,Other,71,2021-05-02,135,141.5,2023-04-08
County,12057,Other,72,2021-05-09,136,205.5,2023-04-08
County,12057,Other,73,2021-05-16,180,287.75,2023-04-08
County,12057,Other,74,2021-05-23,137,228.5,2023-04-08
County,12057,Other,75,2021-05-30,107,166.75,2023-04-08
County,12057,Other,76,2021-06-06,124,176.5,2023-04-08
County,12057,Other,77,2021-06-13,179,258.25,2023-04-08
County,12057,Other,78,2021-06-20,184,284,2023-04-08
County,12057,Other,79,2021-06-27,132,226,2023-04-08
County,12057,Other,80,2021-07-04,115,135,2023-04-08
County,12057,Other,81,2021-07-11,186,250.25,2023-04-08
County,12057,Other,82,2021-07-18,174,277.75,2023-04-08
County,12057,Other,83,2021-07-25,179,243,2023-04-08
County,12057,Other,84,2021-08-01,119,178.25,2023-04-08
County,12057,Other,85,2021-08-08,176,221,2023-04-08
County,12057,Other,86,2021-08-15,197,288.25,2023-04-08
County,12057,Other,87,2021-08-22,146,274.5,2023-04-08
County,12057,Other,88,2021-08-29,190,173.25,2023-04-08
County,12057,Other,89,2021-09-05,76,145.5,2023-04-08
County,12057,Other,90,2021-09-12,155,261.75,2023-04-08
County,12057,Other,91,2021-09-19,221,290,2023-04-08
County,12057,Other,92,2021-09-26,200,245.5,2023-04-08
County,12057,Other,93,2021-10-03,135,168.75,2023-04-08
County,12057,Other,94,2021-10-10,243,222.25,2023-04-08
County,12057,Other,95,2021-10-17,225,274,2023-04-08
County,12057,Other,96,2021-10-24,158,277.5,2023-04-08
County,12057,Other,97,2021-10-31,167,186.75,2023-04-08
County,12057,Other,98,2021-11-07,173,162.5,2023-04-08
County,12057,Other,99,2021-11-14,235,267.5,2023-04-08
County,12057,Other,100,2021-11-21,126,206.75,2023-04-08
County,12057,Other,101,2021-11-28,160,208.75,2023-04-08
County,12057,Other,102,2021-12-05,170,157.75,2023-04-08
County,12057,Other,103,2021-12-12,191,269,2023-04-08
County,12057,Other,104,2021-12-19,145,218.5,2023-04-08
County,12057,Other,105,2021-12-26,100,184.5,2023-04-08
County,12057,Other,106,2022-01-02,154,185,2023-04-08
County,12057,Other,107,2022-01-09,214,243.75,2023-04-08
County,12057,Other,108,2022-01-16,231,277.25,2023-04-08
County,12057,Other,109,2022-01-23,237,311.5,2023-04-08
County,12057,Other,110,2022-01-30,160,211.75,2023-04-08
County,12057,Other,111,2022-02-06,209,157,2023-04-08
