month,month_last_day,month_filings,avg_filings,percentage_diff
01/2020,,15866,15584,1.0180954825462
01/2021,,2407,15584,0.154453285420945
01/2022,,4013,15584,0.257507700205339
01/2023,,12743,15584,0.817697638603696
01/2024,,12652,15584,0.811858316221766
02/2020,,12691,13499.25,0.940126303313147
02/2021,,2571,13428.25,0.191462029676242
02/2022,,4206,13430.8333333333,0.31316001737296
02/2023,,10524,13426.5,0.783823036532231
02/2024,,12393,13499.25,0.918051002833491
03/2020,,5832,11475,0.508235294117647
03/2021,,3675,11475,0.320261437908497
03/2022,,6407,11475,0.558344226579521
03/2023,,11711,11475,1.02056644880174
03/2024,,10486,11475,0.913812636165577
04/2020,,851,11528.75,0.0738154613466334
04/2021,,2945,11528.75,0.255448335682533
04/2022,,5433,11528.75,0.47125664100618
04/2023,,9628,11528.75,0.835129567385883
04/2024,,10038,11528.75,0.870692833134555
05/2020,,1560,13213,0.118065541512147
05/2021,,2984,13213,0.225838189661697
05/2022,,5907,13213,0.447059713918111
05/2023,,11277,13213,0.853477635661848
05/2024,,11370,13213,0.860516158328919
06/2020,,1839,14373.25,0.127946010818708
06/2021,,3777,14373.25,0.262779816673334
06/2022,,7605,14373.25,0.529107891395474
06/2023,,11865,14373.25,0.825491799001618
06/2024,,11651,14373.25,0.810603029934079
07/2020,,4946,14186.1666666667,0.34864950597413
07/2021,,4145,14186.1666666667,0.292186049790289
07/2022,,10775,14186.1666666667,0.759542747042307
07/2023,,11670,14186.1666666667,0.822632376611018
08/2020,,4787,14332,0.334007814680435
08/2021,,4488,14332,0.313145408875244
08/2022,,12685,14332,0.885082333240301
08/2023,,11911,14332,0.831077309517164
09/2020,,7855,14295.25,0.549483219950683
09/2021,,3175,14295.25,0.222101747083822
09/2022,,12060,14295.25,0.843636872387681
09/2023,,11458,14295.25,0.801524982074465
10/2020,,9138,14182,0.644337893103935
10/2021,,3579,14182,0.252362149203215
10/2022,,12141,14182,0.856085178395149
10/2023,,12407,14182,0.874841348187844
11/2020,,3956,13155.9166666667,0.300701205414547
11/2021,,3693,13155.9166666667,0.280710200100082
11/2022,,10550,13155.9166666667,0.80192055539016
11/2023,,10387,13155.9166666667,0.789530692780815
12/2020,,1489,12846.25,0.115909312056047
12/2021,,3245,12846.25,0.252602899678895
12/2022,,10919,12846.25,0.849975673834777
12/2023,,11228,12846.25,0.87402938600759
