type,GEOID,month,filings_2020,filings_avg,last_updated
Census Tract,51001090100,01/2020,0,0,2023-01-07
Census Tract,51001090100,02/2020,0,0,2023-01-07
Census Tract,51001090100,03/2020,0,0,2023-01-07
Census Tract,51001090100,04/2020,0,0,2023-01-07
Census Tract,51001090100,05/2020,0,0,2023-01-07
Census Tract,51001090100,06/2020,0,0,2023-01-07
Census Tract,51001090100,07/2020,0,0,2023-01-07
Census Tract,51001090100,08/2020,0,0,2023-01-07
Census Tract,51001090100,09/2020,0,0,2023-01-07
Census Tract,51001090100,10/2020,0,0,2023-01-07
Census Tract,51001090100,11/2020,0,0,2023-01-07
Census Tract,51001090100,12/2020,0,0,2023-01-07
Census Tract,51001090100,01/2021,0,0,2023-01-07
Census Tract,51001090100,02/2021,0,0,2023-01-07
Census Tract,51001090100,03/2021,0,0,2023-01-07
Census Tract,51001090100,04/2021,0,0,2023-01-07
Census Tract,51001090100,05/2021,0,0,2023-01-07
Census Tract,51001090100,06/2021,0,0,2023-01-07
Census Tract,51001090100,07/2021,0,0,2023-01-07
Census Tract,51001090100,08/2021,0,0,2023-01-07
Census Tract,51001090100,09/2021,0,0,2023-01-07
Census Tract,51001090100,10/2021,0,0,2023-01-07
Census Tract,51001090100,11/2021,0,0,2023-01-07
Census Tract,51001090100,12/2021,0,0,2023-01-07
Census Tract,51001090100,01/2022,0,0,2023-01-07
Census Tract,51001090100,02/2022,0,0,2023-01-07
Census Tract,51001090100,03/2022,0,0,2023-01-07
Census Tract,51001090100,04/2022,0,0,2023-01-07
Census Tract,51001090100,05/2022,0,0,2023-01-07
Census Tract,51001090100,06/2022,0,0,2023-01-07
Census Tract,51001090100,07/2022,0,0,2023-01-07
Census Tract,51001090100,08/2022,0,0,2023-01-07
Census Tract,51001090100,09/2022,0,0,2023-01-07
Census Tract,51001090100,10/2022,0,0,2023-01-07
Census Tract,51001090100,11/2022,0,0,2023-01-07
Census Tract,51001090100,12/2022,0,0,2023-01-07
Census Tract,51001090100,01/2023,0,0,2023-01-07
Census Tract,51001090200,01/2020,0,0,2023-01-07
Census Tract,51001090200,02/2020,0,0,2023-01-07
Census Tract,51001090200,03/2020,0,0,2023-01-07
Census Tract,51001090200,04/2020,0,0,2023-01-07
Census Tract,51001090200,05/2020,0,0,2023-01-07
Census Tract,51001090200,06/2020,0,0,2023-01-07
Census Tract,51001090200,07/2020,0,0,2023-01-07
Census Tract,51001090200,08/2020,0,0,2023-01-07
