type,GEOID,racial_majority,week,week_date,filings_2020,filings_avg,last_updated
County,10003,White,1,2019-12-29,49,64.75,2023-04-08
County,10003,White,2,2020-01-05,98,109,2023-04-08
County,10003,White,3,2020-01-12,302,260.25,2023-04-08
County,10003,White,4,2020-01-19,334,358.25,2023-04-08
County,10003,White,5,2020-01-26,135,224.5,2023-04-08
County,10003,White,6,2020-02-02,119,116,2023-04-08
County,10003,White,7,2020-02-09,185,193.25,2023-04-08
County,10003,White,8,2020-02-16,412,404.75,2023-04-08
County,10003,White,9,2020-02-23,213,170.25,2023-04-08
County,10003,White,10,2020-03-01,84,105.25,2023-04-08
County,10003,White,11,2020-03-08,66,102.25,2023-04-08
County,10003,White,12,2020-03-15,242,295.25,2023-04-08
County,10003,White,13,2020-03-22,19,195.75,2023-04-08
County,10003,White,14,2020-03-29,0,118,2023-04-08
County,10003,White,15,2020-04-05,1,77.5,2023-04-08
County,10003,White,16,2020-04-12,1,275.25,2023-04-08
County,10003,White,17,2020-04-19,0,319.5,2023-04-08
County,10003,White,18,2020-04-26,2,163,2023-04-08
County,10003,White,19,2020-05-03,1,90.25,2023-04-08
County,10003,White,20,2020-05-10,2,225,2023-04-08
County,10003,White,21,2020-05-17,4,354.5,2023-04-08
County,10003,White,22,2020-05-24,2,183.5,2023-04-08
County,10003,White,23,2020-05-31,0,136.75,2023-04-08
County,10003,White,24,2020-06-07,14,86.25,2023-04-08
County,10003,White,25,2020-06-14,6,411.5,2023-04-08
County,10003,White,26,2020-06-21,2,261.25,2023-04-08
County,10003,White,27,2020-06-28,27,163.5,2023-04-08
County,10003,White,28,2020-07-05,34,101.25,2023-04-08
County,10003,White,29,2020-07-12,97,297.25,2023-04-08
County,10003,White,30,2020-07-19,48,359.5,2023-04-08
County,10003,White,31,2020-07-26,101,185.75,2023-04-08
County,10003,White,32,2020-08-02,74,104.5,2023-04-08
County,10003,White,33,2020-08-09,42,205.25,2023-04-08
County,10003,White,34,2020-08-16,108,402.75,2023-04-08
County,10003,White,35,2020-08-23,154,260.5,2023-04-08
County,10003,White,36,2020-08-30,67,111.25,2023-04-08
County,10003,White,37,2020-09-06,82,111.5,2023-04-08
County,10003,White,38,2020-09-13,100,404.25,2023-04-08
County,10003,White,39,2020-09-20,135,310.5,2023-04-08
County,10003,White,40,2020-09-27,142,190,2023-04-08
County,10003,White,41,2020-10-04,64,108.75,2023-04-08
County,10003,White,42,2020-10-11,125,225.75,2023-04-08
County,10003,White,43,2020-10-18,115,379.5,2023-04-08
County,10003,White,44,2020-10-25,142,225.5,2023-04-08
County,10003,White,45,2020-11-01,66,116.5,2023-04-08
County,10003,White,46,2020-11-08,37,110.75,2023-04-08
County,10003,White,47,2020-11-15,153,420.5,2023-04-08
County,10003,White,48,2020-11-22,155,161.75,2023-04-08
County,10003,White,49,2020-11-29,84,156.5,2023-04-08
County,10003,White,50,2020-12-06,59,115.75,2023-04-08
County,10003,White,51,2020-12-13,105,380.75,2023-04-08
County,10003,White,52,2020-12-20,74,189.25,2023-04-08
County,10003,White,53,2020-12-27,95,157.25,2023-04-08
County,10003,White,54,2021-01-03,55,111.75,2023-04-08
County,10003,White,55,2021-01-10,51,191,2023-04-08
County,10003,White,56,2021-01-17,90,376,2023-04-08
County,10003,White,57,2021-01-24,134,258.25,2023-04-08
County,10003,White,58,2021-01-31,65,140,2023-04-08
County,10003,White,59,2021-02-07,68,109.5,2023-04-08
County,10003,White,60,2021-02-14,159,406.25,2023-04-08
County,10003,White,61,2021-02-21,121,254.75,2023-04-08
County,10003,White,62,2021-02-28,85,118.25,2023-04-08
County,10003,White,63,2021-03-07,87,80,2023-04-08
County,10003,White,64,2021-03-14,109,285.75,2023-04-08
County,10003,White,65,2021-03-21,104,200.75,2023-04-08
County,10003,White,66,2021-03-28,52,145.25,2023-04-08
County,10003,White,67,2021-04-04,34,75.75,2023-04-08
County,10003,White,68,2021-04-11,70,227.75,2023-04-08
County,10003,White,69,2021-04-18,130,327.5,2023-04-08
County,10003,White,70,2021-04-25,89,191.75,2023-04-08
County,10003,White,71,2021-05-02,49,99,2023-04-08
County,10003,White,72,2021-05-09,63,154.25,2023-04-08
County,10003,White,73,2021-05-16,70,384,2023-04-08
County,10003,White,74,2021-05-23,113,218.75,2023-04-08
County,10003,White,75,2021-05-30,55,140.25,2023-04-08
County,10003,White,76,2021-06-06,32,87,2023-04-08
County,10003,White,77,2021-06-13,30,367.25,2023-04-08
County,10003,White,78,2021-06-20,141,287.25,2023-04-08
County,10003,White,79,2021-06-27,101,200.75,2023-04-08
County,10003,White,80,2021-07-04,54,79.5,2023-04-08
